"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","Alameda County, California!!Total!!Estimate","Alameda County, California!!Total!!Margin of Error","Alameda County, California!!Male!!Estimate","Alameda County, California!!Male!!Margin of Error","Alameda County, California!!Female!!Estimate","Alameda County, California!!Female!!Margin of Error"
"Total population","313,914,040","*****","154,436,243","±25,554","159,477,797","±25,554","1,554,720","*****","762,552","±267","792,168","±267"
"AGE","","","","","","","","","","","",""
"    Under 5 years","6.3%","±0.1","6.6%","±0.1","6.1%","±0.1","6.3%","*****","6.6%","±0.1","6.1%","±0.1"
"    5 to 9 years","6.5%","±0.1","6.8%","±0.1","6.3%","±0.1","6.1%","±0.2","6.4%","±0.3","5.7%","±0.3"
"    10 to 14 years","6.6%","±0.1","6.9%","±0.1","6.4%","±0.1","6.1%","±0.2","6.2%","±0.3","5.9%","±0.3"
"    15 to 19 years","6.9%","±0.1","7.2%","±0.1","6.6%","±0.1","6.2%","±0.1","6.5%","±0.1","5.9%","±0.1"
"    20 to 24 years","7.2%","±0.1","7.4%","±0.1","6.9%","±0.1","7.2%","±0.1","7.3%","±0.1","7.0%","±0.1"
"    25 to 29 years","6.8%","±0.1","7.0%","±0.1","6.6%","±0.1","7.5%","±0.1","7.6%","±0.1","7.3%","±0.1"
"    30 to 34 years","6.6%","±0.1","6.8%","±0.1","6.5%","±0.1","7.8%","±0.1","7.8%","±0.1","7.8%","±0.1"
"    35 to 39 years","6.2%","±0.1","6.3%","±0.1","6.2%","±0.1","7.5%","±0.2","7.4%","±0.4","7.5%","±0.3"
"    40 to 44 years","6.7%","±0.1","6.8%","±0.1","6.7%","±0.1","7.4%","±0.2","7.6%","±0.4","7.2%","±0.3"
"    45 to 49 years","6.9%","±0.1","6.9%","±0.1","6.9%","±0.1","7.2%","±0.1","7.3%","±0.1","7.1%","±0.1"
"    50 to 54 years","7.2%","±0.1","7.2%","±0.1","7.2%","±0.1","7.2%","±0.1","7.2%","±0.1","7.1%","±0.1"
"    55 to 59 years","6.6%","±0.1","6.5%","±0.1","6.7%","±0.1","6.5%","±0.2","6.5%","±0.3","6.6%","±0.3"
"    60 to 64 years","5.7%","±0.1","5.6%","±0.1","5.9%","±0.1","5.4%","±0.2","5.2%","±0.3","5.6%","±0.3"
"    65 to 69 years","4.4%","±0.1","4.2%","±0.1","4.6%","±0.1","3.9%","±0.1","3.8%","±0.2","4.0%","±0.2"
"    70 to 74 years","3.2%","±0.1","3.0%","±0.1","3.4%","±0.1","2.7%","±0.1","2.4%","±0.2","2.9%","±0.2"
"    75 to 79 years","2.4%","±0.1","2.1%","±0.1","2.6%","±0.1","1.9%","±0.1","1.7%","±0.2","2.2%","±0.2"
"    80 to 84 years","1.9%","±0.1","1.5%","±0.1","2.2%","±0.1","1.6%","±0.1","1.3%","±0.1","1.9%","±0.2"
"    85 years and over","1.9%","±0.1","1.3%","±0.1","2.4%","±0.1","1.6%","±0.1","1.1%","±0.2","2.1%","±0.2"
"SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"    5 to 14 years","13.1%","±0.1","13.7%","±0.1","12.6%","±0.1","12.1%","±0.1","12.6%","±0.1","11.6%","±0.1"
"    15 to 17 years","4.0%","±0.1","4.2%","±0.1","3.8%","±0.1","3.6%","±0.1","3.8%","±0.1","3.4%","±0.1"
"    18 to 24 years","10.0%","±0.1","10.4%","±0.1","9.6%","±0.1","9.7%","±0.1","10.0%","±0.1","9.5%","±0.1"
"    15 to 44 years","40.4%","±0.1","41.5%","±0.1","39.4%","±0.1","43.5%","±0.1","44.3%","±0.1","42.7%","±0.1"
"    16 years and over","79.2%","±0.1","78.4%","±0.1","80.0%","±0.1","80.4%","±0.1","79.6%","±0.2","81.3%","±0.1"
"    18 years and over","76.5%","±0.1","75.6%","±0.1","77.4%","±0.1","77.9%","*****","77.0%","±0.1","78.9%","±0.1"
"    60 years and over","19.5%","±0.1","17.8%","±0.1","21.1%","±0.1","17.2%","±0.2","15.6%","±0.3","18.8%","±0.3"
"    62 years and over","17.1%","±0.1","15.4%","±0.1","18.7%","±0.1","14.9%","±0.2","13.3%","±0.2","16.4%","±0.2"
"    65 years and over","13.7%","±0.1","12.2%","±0.1","15.3%","±0.1","11.8%","±0.1","10.4%","±0.1","13.1%","±0.1"
"    75 years and over","6.1%","±0.1","4.9%","±0.1","7.2%","±0.1","5.2%","±0.1","4.2%","±0.1","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","","","","","","","",""
"    Median age (years)","37.4","±0.1","36.1","±0.1","38.8","±0.1","36.9","±0.2","36.0","±0.2","37.8","±0.2"
"    Sex ratio (males per 100 females)","96.8","±0.1","(X)","(X)","(X)","(X)","96.3","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.3","±0.1","(X)","(X)","(X)","(X)","51.1","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","21.9","±0.1","(X)","(X)","(X)","(X)","17.8","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","37.4","±0.1","(X)","(X)","(X)","(X)","33.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)","1.7%","(X)","(X)","(X)","(X)","(X)"
