"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Total!!Margin of Error","Alameda County, California!!Male!!Estimate","Alameda County, California!!Male!!Margin of Error","Alameda County, California!!Female!!Estimate","Alameda County, California!!Female!!Margin of Error"
"Total population","1,605,217","*****","786,730","±51","818,487","±51"
"AGE","","","","","",""
"    Under 5 years","6.1%","*****","6.3%","±0.1","5.8%","±0.1"
"    5 to 9 years","6.1%","±0.1","6.4%","±0.1","5.7%","±0.1"
"    10 to 14 years","5.9%","±0.1","6.0%","±0.1","5.7%","±0.1"
"    15 to 19 years","5.9%","±0.1","6.1%","±0.1","5.7%","±0.1"
"    20 to 24 years","6.7%","±0.1","6.9%","±0.1","6.5%","±0.1"
"    25 to 29 years","7.9%","*****","8.1%","±0.1","7.8%","±0.1"
"    30 to 34 years","8.1%","*****","8.1%","±0.1","8.0%","±0.1"
"    35 to 39 years","7.3%","±0.1","7.3%","±0.1","7.4%","±0.1"
"    40 to 44 years","7.5%","±0.1","7.7%","±0.1","7.2%","±0.1"
"    45 to 49 years","7.0%","*****","7.1%","±0.1","6.9%","±0.1"
"    50 to 54 years","7.0%","*****","7.0%","±0.1","7.0%","±0.1"
"    55 to 59 years","6.5%","±0.1","6.5%","±0.1","6.6%","±0.1"
"    60 to 64 years","5.5%","±0.1","5.4%","±0.1","5.7%","±0.1"
"    65 to 69 years","4.3%","±0.1","4.1%","±0.1","4.5%","±0.1"
"    70 to 74 years","2.9%","±0.1","2.6%","±0.1","3.1%","±0.1"
"    75 to 79 years","2.0%","±0.1","1.8%","±0.1","2.2%","±0.1"
"    80 to 84 years","1.5%","±0.1","1.3%","±0.1","1.8%","±0.1"
"    85 years and over","1.7%","±0.1","1.2%","±0.1","2.2%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.9%","*****","12.4%","±0.1","11.4%","±0.1"
"    15 to 17 years","3.4%","*****","3.6%","±0.1","3.3%","±0.1"
"    18 to 24 years","9.2%","*****","9.5%","±0.1","9.0%","±0.1"
"    15 to 44 years","43.5%","*****","44.2%","±0.1","42.7%","±0.1"
"    16 years and over","80.9%","±0.1","80.1%","±0.1","81.6%","±0.1"
"    18 years and over","78.6%","*****","77.7%","±0.1","79.4%","±0.1"
"    60 years and over","18.0%","±0.1","16.4%","±0.1","19.5%","±0.1"
"    62 years and over","15.7%","±0.1","14.1%","±0.1","17.2%","±0.1"
"    65 years and over","12.4%","*****","11.0%","±0.1","13.8%","±0.1"
"    75 years and over","5.3%","*****","4.3%","±0.1","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.2","±0.1","36.3","±0.1","38.1","±0.1"
"    Sex ratio (males per 100 females)","96.1","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","51.2","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","18.8","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","32.4","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.1%","(X)","(X)","(X)","(X)","(X)"
