"Label (Grouping)","Alpine County, California!!Total!!Estimate","Alpine County, California!!Total!!Margin of Error","Alpine County, California!!Male!!Estimate","Alpine County, California!!Male!!Margin of Error","Alpine County, California!!Female!!Estimate","Alpine County, California!!Female!!Margin of Error"
"Total population","1,184","±191","692","±124","492","±88"
"AGE","","","","","",""
"    Under 5 years","4.3%","±1.5","4.8%","±2.5","3.7%","±2.7"
"    5 to 9 years","4.9%","±2.0","4.9%","±2.5","4.9%","±2.9"
"    10 to 14 years","6.3%","±2.5","6.5%","±3.1","6.1%","±3.2"
"    15 to 19 years","10.9%","±3.5","12.9%","±5.8","8.1%","±3.6"
"    20 to 24 years","6.8%","±2.8","8.4%","±4.1","4.7%","±2.7"
"    25 to 29 years","5.0%","±3.1","4.8%","±4.4","5.3%","±3.2"
"    30 to 34 years","4.0%","±1.9","3.5%","±2.3","4.7%","±3.1"
"    35 to 39 years","4.5%","±2.3","4.6%","±3.5","4.3%","±2.7"
"    40 to 44 years","6.7%","±2.5","5.3%","±3.1","8.5%","±3.9"
"    45 to 49 years","3.5%","±2.0","2.7%","±2.3","4.5%","±3.6"
"    50 to 54 years","7.4%","±2.7","7.7%","±2.6","7.1%","±4.7"
"    55 to 59 years","8.0%","±4.2","6.5%","±5.8","10.2%","±4.5"
"    60 to 64 years","6.9%","±2.3","7.8%","±3.1","5.7%","±2.8"
"    65 to 69 years","8.5%","±4.0","7.7%","±4.0","9.8%","±5.4"
"    70 to 74 years","4.1%","±2.4","2.6%","±1.8","6.3%","±4.5"
"    75 to 79 years","2.5%","±1.8","2.9%","±2.8","2.0%","±2.0"
"    80 to 84 years","4.5%","±3.7","6.4%","±6.3","1.8%","±2.2"
"    85 years and over","1.1%","±1.4","0.1%","±0.3","2.4%","±3.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.2%","±3.3","11.4%","±4.0","11.0%","±4.0"
"    15 to 17 years","7.6%","±2.5","7.8%","±3.9","7.3%","±3.2"
"    18 to 24 years","10.1%","±4.1","13.4%","±6.5","5.5%","±2.8"
"    15 to 44 years","37.8%","±5.5","39.5%","±8.3","35.6%","±6.3"
"    16 years and over","81.7%","±3.8","79.8%","±5.0","84.3%","±4.5"
"    18 years and over","76.9%","±4.5","76.0%","±5.9","78.0%","±5.2"
"    60 years and over","27.7%","±5.9","27.5%","±7.1","28.0%","±6.8"
"    62 years and over","24.7%","±5.9","24.1%","±6.9","25.4%","±7.2"
"    65 years and over","20.8%","±5.9","19.7%","±6.9","22.4%","±7.2"
"    75 years and over","8.1%","±3.9","9.4%","±6.2","6.3%","±4.6"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","42.8","±5.8","39.0","±9.4","44.9","±6.4"
"    Sex ratio (males per 100 females)","140.7","±21.9","(X)","(X)","(X)","(X)"
"    Age dependency ratio","78.3","±18.3","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","37.0","±13.6","(X)","(X)","(X)","(X)"
"    Child dependency ratio","41.3","±10.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","1.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","3.4%","(X)","(X)","(X)","(X)","(X)"
