"Label (Grouping)","Amador County, California!!Total!!Estimate","Amador County, California!!Total!!Margin of Error","Amador County, California!!Male!!Estimate","Amador County, California!!Male!!Margin of Error","Amador County, California!!Female!!Estimate","Amador County, California!!Female!!Margin of Error"
"Total population","37,764","*****","20,542","±133","17,222","±133"
"AGE","","","","","",""
"    Under 5 years","3.6%","±0.1","2.7%","±0.3","4.6%","±0.5"
"    5 to 9 years","4.5%","±0.6","4.2%","±0.8","4.9%","±1.0"
"    10 to 14 years","4.9%","±0.6","4.7%","±0.7","5.1%","±1.1"
"    15 to 19 years","6.2%","±0.4","6.6%","±0.6","5.8%","±0.8"
"    20 to 24 years","4.3%","±0.4","4.8%","±0.4","3.8%","±0.7"
"    25 to 29 years","4.3%","±0.3","4.6%","±0.4","4.0%","±0.6"
"    30 to 34 years","4.8%","±0.3","5.6%","±0.4","3.8%","±0.5"
"    35 to 39 years","5.7%","±0.8","6.6%","±0.9","4.7%","±0.9"
"    40 to 44 years","6.1%","±0.8","7.0%","±1.0","5.0%","±0.9"
"    45 to 49 years","8.0%","±0.3","9.1%","±0.5","6.7%","±0.3"
"    50 to 54 years","8.7%","±0.4","9.0%","±0.6","8.2%","±0.4"
"    55 to 59 years","9.9%","±0.9","8.7%","±1.1","11.3%","±1.2"
"    60 to 64 years","8.2%","±0.8","7.9%","±1.0","8.5%","±1.2"
"    65 to 69 years","6.4%","±0.6","6.3%","±0.8","6.6%","±1.0"
"    70 to 74 years","5.6%","±0.6","4.9%","±0.8","6.5%","±1.0"
"    75 to 79 years","3.2%","±0.5","2.9%","±0.7","3.5%","±0.7"
"    80 to 84 years","3.1%","±0.5","2.6%","±0.5","3.8%","±0.8"
"    85 years and over","2.5%","±0.5","1.8%","±0.6","3.2%","±0.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","9.4%","±0.3","8.9%","±0.5","10.0%","±0.4"
"    15 to 17 years","3.8%","±0.3","3.9%","±0.5","3.7%","±0.4"
"    18 to 24 years","6.8%","±0.4","7.5%","±0.5","5.9%","±0.8"
"    15 to 44 years","31.5%","±0.6","35.1%","±0.8","27.1%","±0.8"
"    16 years and over","86.0%","±0.4","87.6%","±0.7","84.1%","±0.6"
"    18 years and over","83.2%","±0.3","84.5%","±0.7","81.8%","±0.5"
"    60 years and over","29.0%","±0.9","26.5%","±1.0","32.1%","±1.2"
"    62 years and over","25.4%","±0.8","23.0%","±0.9","28.3%","±1.1"
"    65 years and over","20.8%","±0.3","18.5%","±0.5","23.6%","±0.4"
"    75 years and over","8.8%","±0.2","7.4%","±0.3","10.5%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","48.4","±0.4","46.8","±0.6","51.2","±0.5"
"    Sex ratio (males per 100 females)","119.3","±1.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.2","±1.0","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","33.3","±0.7","(X)","(X)","(X)","(X)"
"        Child dependency ratio","26.8","±0.6","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.7%","(X)","(X)","(X)","(X)","(X)"
