"Label (Grouping)","Amador County, California!!Total!!Estimate","Amador County, California!!Total!!Margin of Error","Amador County, California!!Male!!Estimate","Amador County, California!!Male!!Margin of Error","Amador County, California!!Female!!Estimate","Amador County, California!!Female!!Margin of Error"
"Total population","36,963","*****","19,839","±125","17,124","±125"
"AGE","","","","","",""
"    Under 5 years","3.8%","±0.1","3.4%","±0.4","4.2%","±0.4"
"    5 to 9 years","4.4%","±0.5","4.8%","±0.6","3.9%","±0.8"
"    10 to 14 years","4.4%","±0.5","3.4%","±0.5","5.5%","±0.9"
"    15 to 19 years","5.3%","±0.3","5.8%","±0.4","4.6%","±0.5"
"    20 to 24 years","4.5%","±0.3","4.7%","±0.4","4.1%","±0.4"
"    25 to 29 years","4.4%","±0.3","4.7%","±0.4","3.9%","±0.4"
"    30 to 34 years","5.1%","±0.4","5.4%","±0.5","4.7%","±0.6"
"    35 to 39 years","5.5%","±0.6","5.5%","±0.8","5.4%","±0.9"
"    40 to 44 years","5.3%","±0.6","6.8%","±0.9","3.7%","±0.8"
"    45 to 49 years","7.2%","±0.4","8.5%","±0.7","5.6%","±0.2"
"    50 to 54 years","8.0%","±0.2","8.0%","±0.2","7.9%","±0.3"
"    55 to 59 years","8.3%","±0.8","8.4%","±1.1","8.2%","±1.0"
"    60 to 64 years","9.4%","±0.8","8.1%","±1.1","10.9%","±1.1"
"    65 to 69 years","8.9%","±0.7","8.8%","±0.8","9.1%","±1.1"
"    70 to 74 years","6.3%","±0.7","5.1%","±0.8","7.6%","±1.0"
"    75 to 79 years","3.5%","±0.5","3.4%","±0.6","3.6%","±0.7"
"    80 to 84 years","3.0%","±0.4","2.7%","±0.5","3.4%","±0.7"
"    85 years and over","3.0%","±0.5","2.4%","±0.6","3.7%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","8.8%","±0.2","8.2%","±0.2","9.4%","±0.2"
"    15 to 17 years","3.0%","±0.1","3.2%","±0.3","2.8%","±0.2"
"    18 to 24 years","6.7%","±0.3","7.3%","±0.4","5.9%","±0.4"
"    15 to 44 years","29.9%","±0.5","32.9%","±0.8","26.4%","±0.4"
"    16 years and over","86.3%","±0.3","87.4%","±0.5","85.0%","±0.6"
"    18 years and over","84.5%","±0.1","85.2%","±0.4","83.6%","±0.5"
"    60 years and over","34.2%","±0.8","30.5%","±1.1","38.4%","±1.1"
"    62 years and over","30.5%","±0.7","27.1%","±0.9","34.5%","±1.1"
"    65 years and over","24.7%","±0.2","22.4%","±0.3","27.4%","±0.4"
"    75 years and over","9.5%","±0.2","8.4%","±0.3","10.8%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","50.3","±0.2","48.1","±0.4","53.2","±0.4"
"    Sex ratio (males per 100 females)","115.9","±1.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","67.4","±0.6","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","41.4","±0.5","(X)","(X)","(X)","(X)"
"    Child dependency ratio","26.0","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
