"Label (Grouping)","Butte County, California!!Total!!Estimate","Butte County, California!!Total!!Margin of Error","Butte County, California!!Male!!Estimate","Butte County, California!!Male!!Margin of Error","Butte County, California!!Female!!Estimate","Butte County, California!!Female!!Margin of Error"
"Total population","226,864","*****","111,727","±805","115,137","±805"
"AGE","","","","","",""
"    Under 5 years","5.1%","±0.2","5.4%","±0.3","4.8%","±0.3"
"    5 to 9 years","6.4%","±0.7","6.7%","±1.0","6.2%","±0.9"
"    10 to 14 years","5.4%","±0.7","5.8%","±1.1","4.9%","±0.9"
"    15 to 19 years","7.0%","±0.5","7.1%","±0.6","7.0%","±0.7"
"    20 to 24 years","11.0%","±0.5","11.3%","±0.5","10.7%","±0.9"
"    25 to 29 years","6.6%","±0.2","7.3%","±0.4","6.0%","±0.1"
"    30 to 34 years","5.3%","±0.2","5.1%","±0.4","5.4%","±0.3"
"    35 to 39 years","5.5%","±0.6","4.8%","±0.9","6.2%","±0.9"
"    40 to 44 years","5.1%","±0.6","6.1%","±0.9","4.1%","±0.9"
"    45 to 49 years","5.8%","±0.2","5.8%","±0.4","5.8%","±0.4"
"    50 to 54 years","5.9%","±0.2","5.9%","±0.4","6.0%","±0.1"
"    55 to 59 years","6.8%","±0.7","6.5%","±1.2","7.0%","±0.8"
"    60 to 64 years","6.1%","±0.7","6.0%","±1.1","6.2%","±0.8"
"    65 to 69 years","6.1%","±0.6","6.0%","±0.7","6.2%","±0.9"
"    70 to 74 years","4.4%","±0.6","4.0%","±0.7","4.8%","±0.9"
"    75 to 79 years","2.6%","±0.5","2.3%","±0.6","2.8%","±0.7"
"    80 to 84 years","2.5%","±0.5","2.1%","±0.6","3.0%","±0.6"
"    85 years and over","2.5%","±0.5","1.9%","±0.6","3.0%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.8%","±0.3","12.5%","±0.6","11.1%","±0.3"
"    15 to 17 years","3.3%","±0.1","3.5%","±0.2","3.1%","±0.1"
"    18 to 24 years","14.7%","±0.3","14.9%","±0.5","14.6%","±0.7"
"    15 to 44 years","40.5%","±0.3","41.8%","±0.6","39.3%","±0.6"
"    16 years and over","82.0%","±0.3","80.8%","±0.7","83.3%","±0.5"
"    18 years and over","79.9%","±0.1","78.6%","±0.6","81.1%","±0.4"
"    60 years and over","24.2%","±0.7","22.3%","±1.2","26.0%","±0.8"
"    62 years and over","21.7%","±0.6","19.7%","±0.9","23.7%","±0.8"
"    65 years and over","18.1%","±0.2","16.3%","±0.3","19.8%","±0.3"
"    75 years and over","7.6%","±0.2","6.3%","±0.1","8.8%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.1","±0.5","36.6","±0.9","38.9","±0.6"
"    Sex ratio (males per 100 females)","97.0","±1.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.9","±0.7","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","29.3","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","32.6","±0.3","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
