"Label (Grouping)","Calaveras County, California!!Total!!Estimate","Calaveras County, California!!Total!!Margin of Error","Calaveras County, California!!Male!!Estimate","Calaveras County, California!!Male!!Margin of Error","Calaveras County, California!!Female!!Estimate","Calaveras County, California!!Female!!Margin of Error"
"Total population","45,507","*****","22,871","±196","22,636","±196"
"AGE","","","","","",""
"    Under 5 years","4.0%","±0.1","4.1%","±0.3","4.0%","±0.3"
"    5 to 9 years","5.1%","±0.7","5.5%","±0.9","4.8%","±1.1"
"    10 to 14 years","5.8%","±0.7","6.1%","±1.0","5.5%","±1.1"
"    15 to 19 years","6.4%","±0.3","6.9%","±0.6","5.9%","±0.5"
"    20 to 24 years","4.4%","±0.3","4.8%","±0.5","4.1%","±0.3"
"    25 to 29 years","3.9%","±0.3","4.0%","±0.3","3.9%","±0.5"
"    30 to 34 years","3.6%","±0.3","3.6%","±0.4","3.5%","±0.3"
"    35 to 39 years","3.6%","±0.6","3.5%","±0.8","3.6%","±0.8"
"    40 to 44 years","6.5%","±0.7","6.3%","±0.8","6.7%","±1.0"
"    45 to 49 years","7.4%","±0.4","7.4%","±0.5","7.5%","±0.5"
"    50 to 54 years","9.0%","±0.4","8.5%","±0.5","9.5%","±0.5"
"    55 to 59 years","9.4%","±0.9","9.1%","±1.2","9.8%","±1.3"
"    60 to 64 years","9.1%","±1.0","9.1%","±1.2","9.2%","±1.5"
"    65 to 69 years","7.6%","±0.6","7.3%","±0.9","7.8%","±0.8"
"    70 to 74 years","5.5%","±0.7","5.5%","±1.0","5.5%","±0.8"
"    75 to 79 years","3.7%","±0.5","3.5%","±0.8","4.0%","±0.7"
"    80 to 84 years","2.2%","±0.4","2.5%","±0.6","1.9%","±0.6"
"    85 years and over","2.5%","±0.5","2.3%","±0.6","2.8%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.9%","±0.3","11.6%","±0.4","10.3%","±0.3"
"    15 to 17 years","4.3%","±0.2","4.6%","±0.4","4.0%","±0.3"
"    18 to 24 years","6.6%","±0.4","7.1%","±0.4","6.0%","±0.4"
"    15 to 44 years","28.5%","±0.5","29.3%","±0.6","27.7%","±0.8"
"    16 years and over","83.6%","±0.4","82.9%","±0.6","84.3%","±0.6"
"    18 years and over","80.7%","±0.2","79.8%","±0.5","81.7%","±0.4"
"    60 years and over","30.7%","±1.0","30.1%","±1.2","31.3%","±1.5"
"    62 years and over","27.0%","±0.8","25.5%","±1.0","28.6%","±1.3"
"    65 years and over","21.6%","±0.5","21.1%","±0.5","22.1%","±0.6"
"    75 years and over","8.5%","±0.3","8.3%","±0.5","8.7%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","49.5","±0.3","48.6","±0.7","50.3","±0.3"
"    Sex ratio (males per 100 females)","101.0","±1.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.0","±1.3","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","36.5","±1.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","32.6","±0.4","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.7%","(X)","(X)","(X)","(X)","(X)"
