"Label (Grouping)","Colusa County, California!!Total!!Estimate","Colusa County, California!!Total!!Margin of Error","Colusa County, California!!Male!!Estimate","Colusa County, California!!Male!!Margin of Error","Colusa County, California!!Female!!Estimate","Colusa County, California!!Female!!Margin of Error"
"Total population","21,329","*****","11,019","±52","10,310","±52"
"AGE","","","","","",""
"    Under 5 years","8.6%","±0.1","9.1%","±0.2","8.1%","±0.3"
"    5 to 9 years","8.4%","±0.8","8.3%","±1.0","8.5%","±1.3"
"    10 to 14 years","7.5%","±0.8","7.8%","±1.0","7.2%","±1.3"
"    15 to 19 years","8.4%","±0.4","9.2%","±0.6","7.6%","±0.5"
"    20 to 24 years","6.0%","±0.4","6.3%","±0.6","5.6%","±0.4"
"    25 to 29 years","6.4%","±0.1","6.3%","±0.1","6.6%","±0.2"
"    30 to 34 years","6.0%","±0.1","5.8%","±0.1","6.3%","±0.2"
"    35 to 39 years","5.9%","±0.9","5.5%","±1.1","6.4%","±1.0"
"    40 to 44 years","6.9%","±0.8","7.1%","±1.1","6.7%","±1.0"
"    45 to 49 years","6.4%","±0.2","6.2%","±0.2","6.6%","±0.4"
"    50 to 54 years","6.6%","±0.2","6.4%","±0.1","6.9%","±0.3"
"    55 to 59 years","5.4%","±0.8","5.6%","±1.0","5.2%","±1.0"
"    60 to 64 years","5.5%","±0.7","5.3%","±1.0","5.7%","±0.9"
"    65 to 69 years","4.3%","±0.5","4.8%","±0.7","3.8%","±0.7"
"    70 to 74 years","2.2%","±0.5","2.0%","±0.7","2.5%","±0.7"
"    75 to 79 years","1.7%","±0.4","1.3%","±0.5","2.0%","±0.5"
"    80 to 84 years","2.4%","±0.5","2.3%","±0.7","2.6%","±0.6"
"    85 years and over","1.3%","±0.4","0.9%","±0.4","1.7%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.9%","±0.2","16.0%","±0.2","15.7%","±0.3"
"    15 to 17 years","5.3%","±0.2","5.5%","±0.2","5.1%","±0.3"
"    18 to 24 years","9.1%","±0.2","10.0%","±0.5","8.1%","±0.1"
"    15 to 44 years","39.7%","±0.3","40.2%","±0.5","39.2%","±0.5"
"    16 years and over","73.6%","±0.4","72.8%","±0.7","74.5%","±0.7"
"    18 years and over","70.2%","±0.2","69.4%","±0.5","71.1%","±0.3"
"    60 years and over","17.4%","±0.8","16.6%","±1.0","18.3%","±1.0"
"    62 years and over","15.4%","±0.8","14.7%","±1.0","16.1%","±1.0"
"    65 years and over","11.9%","±0.3","11.3%","±0.4","12.7%","±0.3"
"    75 years and over","5.4%","±0.3","4.5%","±0.5","6.4%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.9","±0.5","32.1","±0.6","35.1","±0.4"
"    Sex ratio (males per 100 females)","106.9","±1.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","71.6","±1.0","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.5","±0.5","(X)","(X)","(X)","(X)"
"        Child dependency ratio","51.1","±0.6","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
