"Label (Grouping)","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Total!!Margin of Error","Contra Costa County, California!!Male!!Estimate","Contra Costa County, California!!Male!!Margin of Error","Contra Costa County, California!!Female!!Estimate","Contra Costa County, California!!Female!!Margin of Error"
"Total population","1,052,047","*****","513,441","±122","538,606","±122"
"AGE","","","","","",""
"    Under 5 years","6.4%","*****","6.6%","±0.1","6.1%","±0.1"
"    5 to 9 years","6.9%","±0.1","7.2%","±0.2","6.7%","±0.2"
"    10 to 14 years","7.0%","±0.1","7.4%","±0.2","6.6%","±0.2"
"    15 to 19 years","7.0%","±0.1","7.4%","±0.1","6.6%","±0.1"
"    20 to 24 years","5.8%","±0.1","6.1%","±0.1","5.5%","±0.1"
"    25 to 29 years","6.1%","*****","6.3%","±0.1","6.0%","±0.1"
"    30 to 34 years","6.2%","±0.1","6.2%","±0.1","6.2%","±0.1"
"    35 to 39 years","6.7%","±0.1","6.5%","±0.2","6.9%","±0.2"
"    40 to 44 years","7.5%","±0.1","7.6%","±0.2","7.4%","±0.2"
"    45 to 49 years","7.9%","±0.1","7.9%","±0.1","7.9%","±0.1"
"    50 to 54 years","7.6%","±0.1","7.6%","±0.1","7.6%","±0.1"
"    55 to 59 years","6.6%","±0.1","6.3%","±0.2","6.9%","±0.1"
"    60 to 64 years","5.7%","±0.1","5.7%","±0.2","5.6%","±0.1"
"    65 to 69 years","4.0%","±0.1","3.8%","±0.1","4.1%","±0.1"
"    70 to 74 years","2.9%","±0.1","2.7%","±0.1","3.1%","±0.1"
"    75 to 79 years","2.2%","±0.1","1.9%","±0.1","2.4%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.4%","±0.1","2.0%","±0.1"
"    85 years and over","1.9%","±0.1","1.3%","±0.1","2.4%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.9%","*****","14.5%","±0.1","13.3%","±0.1"
"    15 to 17 years","4.4%","*****","4.7%","±0.1","4.2%","±0.1"
"    18 to 24 years","8.4%","*****","8.9%","±0.1","7.9%","±0.1"
"    15 to 44 years","39.3%","*****","40.2%","±0.1","38.5%","±0.1"
"    16 years and over","78.3%","±0.1","77.2%","±0.1","79.3%","±0.1"
"    18 years and over","75.3%","*****","74.1%","±0.1","76.4%","±0.1"
"    60 years and over","18.3%","±0.1","16.9%","±0.2","19.6%","±0.1"
"    62 years and over","15.9%","±0.1","14.4%","±0.1","17.2%","±0.2"
"    65 years and over","12.6%","±0.1","11.2%","±0.1","14.0%","±0.1"
"    75 years and over","5.7%","±0.1","4.7%","±0.1","6.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.5","±0.1","37.1","±0.2","39.6","±0.2"
"    Sex ratio (males per 100 females)","95.3","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.5","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.1","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","39.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"
