"Label (Grouping)","Del Norte County, California!!Total!!Estimate","Del Norte County, California!!Total!!Margin of Error","Del Norte County, California!!Male!!Estimate","Del Norte County, California!!Male!!Margin of Error","Del Norte County, California!!Female!!Estimate","Del Norte County, California!!Female!!Margin of Error"
"Total population","27,628","*****","15,168","±144","12,460","±144"
"AGE","","","","","",""
"    Under 5 years","5.9%","±0.5","5.9%","±0.9","5.9%","±0.1"
"    5 to 9 years","5.8%","±0.7","5.5%","±0.8","6.1%","±1.1"
"    10 to 14 years","5.8%","±0.8","4.8%","±0.8","7.1%","±1.4"
"    15 to 19 years","6.0%","±0.7","5.6%","±1.1","6.4%","±0.8"
"    20 to 24 years","6.4%","±0.8","7.9%","±0.9","4.6%","±1.5"
"    25 to 29 years","6.7%","±0.7","7.4%","±0.6","5.8%","±1.3"
"    30 to 34 years","8.1%","±0.5","9.8%","±0.9","6.0%","±0.6"
"    35 to 39 years","7.6%","±0.8","9.3%","±1.1","5.6%","±1.0"
"    40 to 44 years","4.5%","±0.8","5.1%","±1.1","3.7%","±1.0"
"    45 to 49 years","6.9%","±0.5","6.4%","±0.5","7.4%","±1.0"
"    50 to 54 years","7.2%","±0.4","6.9%","±0.4","7.6%","±0.7"
"    55 to 59 years","7.4%","±0.8","6.2%","±1.1","8.9%","±1.1"
"    60 to 64 years","6.6%","±0.7","6.0%","±1.0","7.4%","±1.1"
"    65 to 69 years","4.9%","±0.6","4.8%","±0.7","5.1%","±0.9"
"    70 to 74 years","4.2%","±0.6","3.7%","±0.8","4.8%","±1.0"
"    75 to 79 years","1.8%","±0.5","1.4%","±0.6","2.4%","±0.8"
"    80 to 84 years","2.3%","±0.5","1.7%","±0.6","3.0%","±0.9"
"    85 years and over","2.0%","±0.5","1.8%","±0.6","2.3%","±0.9"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.6%","±0.5","10.3%","±0.3","13.2%","±0.8"
"    15 to 17 years","3.7%","±0.3","3.8%","±0.7","3.6%","±0.5"
"    18 to 24 years","8.6%","±0.7","9.6%","±0.8","7.4%","±1.5"
"    15 to 44 years","39.2%","±0.6","45.0%","±0.9","32.1%","±1.2"
"    16 years and over","81.0%","±0.4","82.1%","±0.8","79.5%","±1.1"
"    18 years and over","78.8%","*****","80.0%","±0.7","77.3%","±0.9"
"    60 years and over","21.9%","±0.8","19.4%","±1.2","24.9%","±1.1"
"    62 years and over","18.9%","±0.8","16.7%","±1.0","21.6%","±1.1"
"    65 years and over","15.3%","±0.3","13.4%","±0.4","17.5%","±0.4"
"    75 years and over","6.1%","±0.3","4.9%","±0.4","7.6%","±0.5"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.1","±0.6","37.0","±0.6","43.4","±1.7"
"    Sex ratio (males per 100 females)","121.7","±2.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","57.4","±0.8","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","24.1","±0.6","(X)","(X)","(X)","(X)"
"    Child dependency ratio","33.4","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.4%","(X)","(X)","(X)","(X)","(X)"
