"Label (Grouping)","El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Total!!Margin of Error","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Male!!Margin of Error","El Dorado County, California!!Female!!Estimate","El Dorado County, California!!Female!!Margin of Error"
"Total population","180,441","*****","90,422","±118","90,019","±118"
"AGE","","","","","",""
"    Under 5 years","5.2%","±0.1","5.4%","±0.1","4.9%","±0.1"
"    5 to 9 years","6.1%","±0.3","6.3%","±0.4","5.9%","±0.4"
"    10 to 14 years","6.9%","±0.3","7.0%","±0.4","6.8%","±0.4"
"    15 to 19 years","6.9%","±0.1","7.3%","±0.2","6.6%","±0.2"
"    20 to 24 years","5.1%","±0.1","5.5%","±0.1","4.6%","±0.2"
"    25 to 29 years","4.8%","±0.1","4.9%","±0.1","4.7%","±0.1"
"    30 to 34 years","4.8%","±0.1","4.8%","±0.1","4.8%","±0.1"
"    35 to 39 years","5.5%","±0.3","5.3%","±0.4","5.7%","±0.4"
"    40 to 44 years","6.7%","±0.3","6.8%","±0.4","6.7%","±0.5"
"    45 to 49 years","8.5%","±0.1","8.3%","±0.2","8.7%","±0.1"
"    50 to 54 years","9.2%","±0.1","9.0%","±0.1","9.4%","±0.1"
"    55 to 59 years","8.0%","±0.3","7.8%","±0.4","8.3%","±0.5"
"    60 to 64 years","7.5%","±0.3","7.7%","±0.4","7.3%","±0.5"
"    65 to 69 years","5.4%","±0.3","5.2%","±0.4","5.5%","±0.3"
"    70 to 74 years","3.3%","±0.2","3.3%","±0.3","3.4%","±0.3"
"    75 to 79 years","2.5%","±0.2","2.4%","±0.3","2.6%","±0.2"
"    80 to 84 years","1.8%","±0.2","1.7%","±0.3","2.0%","±0.3"
"    85 years and over","1.8%","±0.2","1.4%","±0.3","2.2%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.0%","±0.1","13.3%","±0.1","12.7%","±0.1"
"    15 to 17 years","4.5%","±0.1","4.6%","±0.1","4.3%","±0.1"
"    18 to 24 years","7.5%","±0.1","8.1%","±0.1","6.8%","±0.2"
"    15 to 44 years","33.8%","±0.1","34.5%","±0.2","33.0%","±0.1"
"    16 years and over","80.5%","±0.2","80.1%","±0.2","80.9%","±0.2"
"    18 years and over","77.4%","±0.1","76.7%","±0.1","78.0%","±0.1"
"    60 years and over","22.3%","±0.3","21.7%","±0.4","23.0%","±0.5"
"    62 years and over","19.1%","±0.3","18.2%","±0.4","19.9%","±0.4"
"    65 years and over","14.8%","±0.1","14.0%","±0.1","15.7%","±0.1"
"    75 years and over","6.2%","±0.1","5.5%","±0.1","6.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","43.5","±0.2","42.5","±0.3","44.5","±0.2"
"    Sex ratio (males per 100 females)","100.4","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.9","±0.2","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","23.7","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.2","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
