"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","Fresno County, California!!Total!!Estimate","Fresno County, California!!Total!!Margin of Error","Fresno County, California!!Male!!Estimate","Fresno County, California!!Male!!Margin of Error","Fresno County, California!!Female!!Estimate","Fresno County, California!!Female!!Margin of Error"
"Total population","313,914,040","*****","154,436,243","±25,554","159,477,797","±25,554","947,895","*****","473,298","±304","474,597","±304"
"AGE","","","","","","","","","","","",""
"    Under 5 years","6.3%","±0.1","6.6%","±0.1","6.1%","±0.1","8.4%","±0.1","8.5%","±0.1","8.2%","±0.1"
"    5 to 9 years","6.5%","±0.1","6.8%","±0.1","6.3%","±0.1","8.4%","±0.3","8.4%","±0.4","8.4%","±0.4"
"    10 to 14 years","6.6%","±0.1","6.9%","±0.1","6.4%","±0.1","7.7%","±0.3","8.2%","±0.4","7.2%","±0.4"
"    15 to 19 years","6.9%","±0.1","7.2%","±0.1","6.6%","±0.1","7.9%","±0.1","8.1%","±0.1","7.7%","±0.1"
"    20 to 24 years","7.2%","±0.1","7.4%","±0.1","6.9%","±0.1","8.5%","±0.1","8.6%","±0.1","8.3%","±0.1"
"    25 to 29 years","6.8%","±0.1","7.0%","±0.1","6.6%","±0.1","7.5%","±0.1","7.8%","±0.1","7.2%","±0.1"
"    30 to 34 years","6.6%","±0.1","6.8%","±0.1","6.5%","±0.1","6.9%","±0.1","7.0%","±0.1","6.8%","±0.1"
"    35 to 39 years","6.2%","±0.1","6.3%","±0.1","6.2%","±0.1","6.0%","±0.3","6.4%","±0.4","5.7%","±0.4"
"    40 to 44 years","6.7%","±0.1","6.8%","±0.1","6.7%","±0.1","6.0%","±0.3","5.8%","±0.4","6.3%","±0.4"
"    45 to 49 years","6.9%","±0.1","6.9%","±0.1","6.9%","±0.1","6.0%","±0.1","6.1%","±0.1","6.0%","±0.1"
"    50 to 54 years","7.2%","±0.1","7.2%","±0.1","7.2%","±0.1","6.1%","±0.1","6.0%","±0.1","6.1%","±0.1"
"    55 to 59 years","6.6%","±0.1","6.5%","±0.1","6.7%","±0.1","5.3%","±0.3","5.3%","±0.3","5.4%","±0.4"
"    60 to 64 years","5.7%","±0.1","5.6%","±0.1","5.9%","±0.1","4.6%","±0.2","4.4%","±0.3","4.7%","±0.4"
"    65 to 69 years","4.4%","±0.1","4.2%","±0.1","4.6%","±0.1","3.3%","±0.1","3.4%","±0.2","3.2%","±0.2"
"    70 to 74 years","3.2%","±0.1","3.0%","±0.1","3.4%","±0.1","2.5%","±0.2","2.1%","±0.2","2.9%","±0.2"
"    75 to 79 years","2.4%","±0.1","2.1%","±0.1","2.6%","±0.1","1.8%","±0.2","1.7%","±0.2","1.9%","±0.2"
"    80 to 84 years","1.9%","±0.1","1.5%","±0.1","2.2%","±0.1","1.4%","±0.2","1.1%","±0.2","1.6%","±0.2"
"    85 years and over","1.9%","±0.1","1.3%","±0.1","2.4%","±0.1","1.6%","±0.2","1.1%","±0.2","2.1%","±0.3"
"SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"    5 to 14 years","13.1%","±0.1","13.7%","±0.1","12.6%","±0.1","16.1%","±0.1","16.5%","±0.1","15.7%","±0.1"
"    15 to 17 years","4.0%","±0.1","4.2%","±0.1","3.8%","±0.1","4.8%","±0.1","4.9%","±0.1","4.8%","±0.1"
"    18 to 24 years","10.0%","±0.1","10.4%","±0.1","9.6%","±0.1","11.5%","±0.1","11.8%","±0.1","11.2%","±0.1"
"    15 to 44 years","40.4%","±0.1","41.5%","±0.1","39.4%","±0.1","42.9%","±0.1","43.8%","±0.1","42.0%","±0.1"
"    16 years and over","79.2%","±0.1","78.4%","±0.1","80.0%","±0.1","73.9%","±0.2","73.2%","±0.3","74.6%","±0.2"
"    18 years and over","76.5%","±0.1","75.6%","±0.1","77.4%","±0.1","70.7%","*****","70.0%","±0.1","71.3%","±0.1"
"    60 years and over","19.5%","±0.1","17.8%","±0.1","21.1%","±0.1","15.1%","±0.3","13.7%","±0.3","16.5%","±0.4"
"    62 years and over","17.1%","±0.1","15.4%","±0.1","18.7%","±0.1","13.3%","±0.2","12.0%","±0.3","14.5%","±0.3"
"    65 years and over","13.7%","±0.1","12.2%","±0.1","15.3%","±0.1","10.6%","±0.1","9.4%","±0.1","11.8%","±0.1"
"    75 years and over","6.1%","±0.1","4.9%","±0.1","7.2%","±0.1","4.8%","±0.1","3.9%","±0.1","5.7%","±0.1"
"SUMMARY INDICATORS","","","","","","","","","","","",""
"    Median age (years)","37.4","±0.1","36.1","±0.1","38.8","±0.1","31.0","±0.1","30.2","±0.1","31.8","±0.2"
"    Sex ratio (males per 100 females)","96.8","±0.1","(X)","(X)","(X)","(X)","99.7","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.3","±0.1","(X)","(X)","(X)","(X)","66.4","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","21.9","±0.1","(X)","(X)","(X)","(X)","17.6","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","37.4","±0.1","(X)","(X)","(X)","(X)","48.8","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)"
