"Label (Grouping)","Glenn County, California!!Total!!Estimate","Glenn County, California!!Total!!Margin of Error","Glenn County, California!!Male!!Estimate","Glenn County, California!!Male!!Margin of Error","Glenn County, California!!Female!!Estimate","Glenn County, California!!Female!!Margin of Error"
"Total population","28,078","*****","14,207","±75","13,871","±75"
"AGE","","","","","",""
"    Under 5 years","7.5%","±0.2","7.8%","±0.3","7.2%","±0.2"
"    5 to 9 years","6.4%","±0.7","7.0%","±1.0","5.8%","±1.0"
"    10 to 14 years","9.0%","±0.7","9.2%","±1.1","8.7%","±1.0"
"    15 to 19 years","7.4%","±0.3","7.8%","±0.2","7.0%","±0.7"
"    20 to 24 years","7.0%","±0.3","6.4%","±0.2","7.6%","±0.7"
"    25 to 29 years","6.2%","±0.1","6.5%","±0.2","5.9%","±0.2"
"    30 to 34 years","4.9%","±0.3","5.8%","±0.1","4.0%","±0.5"
"    35 to 39 years","5.8%","±0.8","4.7%","±1.1","6.9%","±1.3"
"    40 to 44 years","6.8%","±0.8","7.3%","±1.2","6.2%","±1.2"
"    45 to 49 years","6.9%","±0.3","6.6%","±0.3","7.1%","±0.4"
"    50 to 54 years","7.4%","±0.3","7.3%","±0.4","7.6%","±0.4"
"    55 to 59 years","5.8%","±0.7","5.7%","±1.0","5.9%","±0.8"
"    60 to 64 years","5.6%","±0.7","5.8%","±1.0","5.4%","±0.8"
"    65 to 69 years","4.2%","±0.6","4.3%","±0.8","4.1%","±0.7"
"    70 to 74 years","3.0%","±0.5","2.9%","±0.8","3.1%","±0.6"
"    75 to 79 years","2.0%","±0.5","1.8%","±0.6","2.2%","±0.7"
"    80 to 84 years","2.0%","±0.5","1.3%","±0.5","2.7%","±0.7"
"    85 years and over","2.0%","±0.5","1.6%","±0.6","2.4%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.4%","±0.2","16.2%","±0.5","14.5%","±0.3"
"    15 to 17 years","5.0%","±0.3","4.8%","±0.1","5.2%","±0.5"
"    18 to 24 years","9.5%","±0.3","9.4%","±0.2","9.5%","±0.5"
"    15 to 44 years","38.1%","±0.4","38.6%","±0.4","37.7%","±0.7"
"    16 years and over","75.4%","±0.5","74.3%","±0.7","76.5%","±0.7"
"    18 years and over","72.1%","±0.2","71.2%","±0.4","73.1%","±0.3"
"    60 years and over","18.8%","±0.8","17.8%","±1.0","19.9%","±0.9"
"    62 years and over","16.3%","±0.7","14.9%","±0.9","17.6%","±0.8"
"    65 years and over","13.2%","±0.2","12.0%","±0.2","14.5%","±0.3"
"    75 years and over","6.0%","±0.2","4.8%","±0.3","7.2%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.5","±0.5","34.6","±0.5","38.1","±0.7"
"    Sex ratio (males per 100 females)","102.4","±1.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.7","±0.7","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","22.4","±0.4","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.3","±0.5","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.3%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
