"Label (Grouping)","Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Total!!Margin of Error","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Male!!Margin of Error","Humboldt County, California!!Female!!Estimate","Humboldt County, California!!Female!!Margin of Error"
"Total population","134,827","*****","67,616","±763","67,211","±763"
"AGE","","","","","",""
"    Under 5 years","5.4%","±0.1","6.0%","±0.7","4.8%","±0.7"
"    5 to 9 years","5.8%","±0.6","6.0%","±0.9","5.6%","±1.1"
"    10 to 14 years","5.2%","±0.7","5.3%","±0.9","5.1%","±1.1"
"    15 to 19 years","6.6%","±0.5","6.4%","±0.9","6.7%","±0.6"
"    20 to 24 years","8.8%","±0.6","8.7%","±0.9","9.0%","±0.9"
"    25 to 29 years","7.0%","±0.6","7.1%","±0.9","6.9%","±0.9"
"    30 to 34 years","7.3%","±0.7","7.7%","±0.8","6.9%","±0.8"
"    35 to 39 years","6.4%","±1.0","6.9%","±1.5","6.0%","±1.1"
"    40 to 44 years","6.2%","±1.0","7.1%","±1.5","5.2%","±1.0"
"    45 to 49 years","5.4%","±0.3","5.1%","±0.3","5.7%","±0.5"
"    50 to 54 years","6.9%","±0.4","6.6%","±0.5","7.3%","±0.7"
"    55 to 59 years","8.1%","±0.7","8.4%","±1.1","7.8%","±1.0"
"    60 to 64 years","6.5%","±0.7","5.8%","±1.0","7.1%","±1.0"
"    65 to 69 years","5.2%","±0.6","5.3%","±0.8","5.1%","±0.8"
"    70 to 74 years","3.0%","±0.6","2.5%","±0.7","3.4%","±0.8"
"    75 to 79 years","2.1%","±0.4","1.8%","±0.6","2.5%","±0.5"
"    80 to 84 years","2.2%","±0.4","1.4%","±0.7","3.0%","±0.9"
"    85 years and over","1.8%","±0.4","1.7%","±0.9","2.0%","±0.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.0%","±0.4","11.3%","±0.7","10.7%","±0.4"
"    15 to 17 years","3.3%","±0.3","3.0%","±0.4","3.6%","±0.4"
"    18 to 24 years","12.1%","±0.6","12.1%","±1.0","12.1%","±0.9"
"    15 to 44 years","42.3%","±0.6","43.9%","±0.9","40.7%","±0.9"
"    16 years and over","82.7%","±0.5","82.0%","±1.1","83.5%","±0.8"
"    18 years and over","80.3%","±0.3","79.6%","±1.0","80.9%","±0.8"
"    60 years and over","20.8%","±0.7","18.6%","±1.1","22.9%","±1.0"
"    62 years and over","17.9%","±0.7","16.3%","±1.0","19.4%","±0.8"
"    65 years and over","14.3%","±0.3","12.8%","±0.5","15.8%","±0.4"
"    75 years and over","6.2%","±0.2","4.9%","±0.3","7.4%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.1","±0.5","37.4","±0.7","38.9","±1.1"
"    Sex ratio (males per 100 females)","100.6","±2.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","51.7","±1.0","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","21.7","±0.5","(X)","(X)","(X)","(X)"
"        Child dependency ratio","29.9","±0.7","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
