"Label (Grouping)","Imperial County, California!!Total!!Estimate","Imperial County, California!!Total!!Margin of Error","Imperial County, California!!Male!!Estimate","Imperial County, California!!Male!!Margin of Error","Imperial County, California!!Female!!Estimate","Imperial County, California!!Female!!Margin of Error"
"Total population","178,807","*****","91,324","±95","87,483","±95"
"AGE","","","","","",""
"    Under 5 years","8.3%","*****","8.3%","±0.1","8.4%","±0.1"
"    5 to 9 years","8.2%","±0.4","7.9%","±0.5","8.5%","±0.6"
"    10 to 14 years","7.4%","±0.4","7.6%","±0.5","7.2%","±0.6"
"    15 to 19 years","7.7%","±0.1","7.9%","±0.1","7.5%","±0.1"
"    20 to 24 years","8.1%","±0.1","8.8%","±0.1","7.5%","±0.1"
"    25 to 29 years","7.2%","±0.1","7.9%","±0.1","6.4%","±0.1"
"    30 to 34 years","6.8%","±0.1","7.3%","±0.2","6.3%","±0.1"
"    35 to 39 years","6.1%","±0.4","6.4%","±0.4","5.8%","±0.5"
"    40 to 44 years","6.1%","±0.4","6.3%","±0.5","5.8%","±0.5"
"    45 to 49 years","6.0%","±0.1","5.9%","±0.2","6.1%","±0.1"
"    50 to 54 years","5.9%","±0.1","5.8%","±0.1","6.1%","±0.1"
"    55 to 59 years","5.5%","±0.3","5.2%","±0.4","5.8%","±0.5"
"    60 to 64 years","4.7%","±0.3","4.3%","±0.3","5.1%","±0.5"
"    65 to 69 years","3.6%","±0.3","3.2%","±0.3","4.1%","±0.4"
"    70 to 74 years","2.9%","±0.2","2.6%","±0.3","3.2%","±0.3"
"    75 to 79 years","2.2%","±0.2","1.9%","±0.3","2.6%","±0.3"
"    80 to 84 years","1.5%","±0.2","1.4%","±0.2","1.7%","±0.3"
"    85 years and over","1.6%","±0.2","1.3%","±0.2","2.0%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.6%","±0.1","15.5%","±0.1","15.7%","±0.1"
"    15 to 17 years","4.8%","±0.1","4.9%","±0.1","4.6%","±0.1"
"    18 to 24 years","11.1%","±0.1","11.8%","±0.1","10.3%","±0.1"
"    15 to 44 years","42.0%","±0.1","44.6%","±0.1","39.4%","±0.1"
"    16 years and over","74.5%","±0.2","74.6%","±0.3","74.4%","±0.3"
"    18 years and over","71.3%","*****","71.3%","±0.1","71.3%","±0.1"
"    60 years and over","16.6%","±0.3","14.7%","±0.4","18.6%","±0.5"
"    62 years and over","14.8%","±0.3","13.1%","±0.3","16.6%","±0.5"
"    65 years and over","11.9%","±0.1","10.4%","±0.1","13.5%","±0.1"
"    75 years and over","5.4%","±0.1","4.5%","±0.1","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.2","±0.2","31.0","±0.2","33.6","±0.2"
"    Sex ratio (males per 100 females)","104.4","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.4","±0.2","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","20.1","±0.2","(X)","(X)","(X)","(X)"
"    Child dependency ratio","48.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
