"Label (Grouping)","Inyo County, California!!Total!!Estimate","Inyo County, California!!Total!!Margin of Error","Inyo County, California!!Male!!Estimate","Inyo County, California!!Male!!Margin of Error","Inyo County, California!!Female!!Estimate","Inyo County, California!!Female!!Margin of Error"
"Total population","18,326","*****","9,235","±85","9,091","±85"
"AGE","","","","","",""
"    Under 5 years","5.8%","±0.2","6.0%","±0.2","5.7%","±0.2"
"    5 to 9 years","5.0%","±0.7","5.2%","±1.1","4.7%","±1.2"
"    10 to 14 years","6.1%","±0.8","6.2%","±1.0","6.0%","±1.2"
"    15 to 19 years","5.7%","±0.6","5.9%","±0.7","5.4%","±1.1"
"    20 to 24 years","5.2%","±0.6","5.3%","±0.9","5.1%","±0.7"
"    25 to 29 years","5.2%","±0.4","5.5%","±0.8","4.9%","±0.3"
"    30 to 34 years","5.9%","±0.1","6.0%","±0.2","5.7%","±0.1"
"    35 to 39 years","5.2%","±0.6","5.7%","±0.9","4.8%","±1.1"
"    40 to 44 years","5.5%","±0.6","5.2%","±0.9","5.8%","±1.0"
"    45 to 49 years","5.3%","±0.3","5.3%","±0.2","5.3%","±0.5"
"    50 to 54 years","7.3%","±0.4","7.3%","±0.1","7.4%","±0.7"
"    55 to 59 years","7.4%","±0.7","7.4%","±1.2","7.5%","±1.1"
"    60 to 64 years","8.8%","±0.8","8.7%","±1.2","8.9%","±1.1"
"    65 to 69 years","7.1%","±0.5","6.6%","±0.8","7.7%","±0.9"
"    70 to 74 years","4.6%","±0.5","5.2%","±0.8","4.0%","±0.8"
"    75 to 79 years","3.6%","±0.7","3.6%","±0.8","3.7%","±0.9"
"    80 to 84 years","2.6%","±0.6","2.1%","±0.7","3.1%","±0.9"
"    85 years and over","3.6%","±0.8","2.9%","±0.9","4.3%","±1.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.0%","±0.2","11.3%","±0.2","10.7%","±0.2"
"    15 to 17 years","3.7%","±0.2","3.9%","±0.6","3.6%","±0.7"
"    18 to 24 years","7.2%","±0.4","7.4%","±0.8","7.0%","±0.3"
"    15 to 44 years","32.7%","±0.5","33.7%","±0.6","31.7%","±0.9"
"    16 years and over","81.9%","±0.4","81.7%","±0.6","82.0%","±0.5"
"    18 years and over","79.4%","±0.2","78.8%","±0.6","80.0%","±0.6"
"    60 years and over","30.4%","±0.8","29.1%","±1.2","31.7%","±1.1"
"    62 years and over","26.4%","±0.7","25.4%","±1.2","27.3%","±1.1"
"    65 years and over","21.6%","±0.2","20.4%","±0.3","22.8%","±0.3"
"    75 years and over","9.8%","±0.3","8.6%","±0.4","11.1%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","45.4","±0.5","44.2","±0.6","48.0","±0.9"
"    Sex ratio (males per 100 females)","101.6","±1.9","(X)","(X)","(X)","(X)"
"    Age dependency ratio","72.9","±0.6","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","37.3","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","35.6","±0.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.8%","(X)","(X)","(X)","(X)","(X)"
