"Label (Grouping)","Kern County, California!!Total!!Estimate","Kern County, California!!Total!!Margin of Error","Kern County, California!!Male!!Estimate","Kern County, California!!Male!!Margin of Error","Kern County, California!!Female!!Estimate","Kern County, California!!Female!!Margin of Error"
"Total population","856,158","*****","439,678","±665","416,480","±665"
"AGE","","","","","",""
"    Under 5 years","8.6%","±0.1","8.6%","±0.1","8.7%","±0.1"
"    5 to 9 years","8.3%","±0.3","8.3%","±0.5","8.3%","±0.5"
"    10 to 14 years","8.0%","±0.3","7.9%","±0.5","8.2%","±0.5"
"    15 to 19 years","8.0%","±0.1","8.2%","±0.3","7.9%","±0.2"
"    20 to 24 years","8.2%","±0.1","8.5%","±0.3","7.9%","±0.1"
"    25 to 29 years","7.6%","±0.1","8.1%","±0.1","7.0%","±0.1"
"    30 to 34 years","7.0%","±0.1","7.4%","±0.1","6.5%","±0.1"
"    35 to 39 years","7.0%","±0.3","6.9%","±0.5","7.0%","±0.5"
"    40 to 44 years","5.8%","±0.4","5.9%","±0.5","5.6%","±0.5"
"    45 to 49 years","6.2%","±0.1","6.2%","±0.1","6.1%","±0.1"
"    50 to 54 years","6.3%","±0.1","6.2%","±0.1","6.3%","±0.1"
"    55 to 59 years","5.1%","±0.3","4.9%","±0.4","5.3%","±0.4"
"    60 to 64 years","4.6%","±0.3","4.4%","±0.4","4.8%","±0.4"
"    65 to 69 years","3.3%","±0.2","2.9%","±0.3","3.7%","±0.3"
"    70 to 74 years","2.2%","±0.2","2.3%","±0.2","2.2%","±0.3"
"    75 to 79 years","1.6%","±0.2","1.4%","±0.2","1.9%","±0.3"
"    80 to 84 years","1.1%","±0.2","0.8%","±0.2","1.5%","±0.2"
"    85 years and over","1.1%","±0.2","1.0%","±0.2","1.2%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.3%","±0.1","16.1%","±0.1","16.5%","±0.1"
"    15 to 17 years","4.9%","±0.1","4.8%","±0.1","5.1%","±0.1"
"    18 to 24 years","11.3%","±0.1","11.9%","±0.1","10.7%","±0.1"
"    15 to 44 years","43.5%","±0.1","45.1%","±0.1","41.9%","±0.1"
"    16 years and over","73.3%","±0.2","73.5%","±0.3","73.2%","±0.3"
"    18 years and over","70.1%","±0.1","70.4%","±0.1","69.8%","±0.1"
"    60 years and over","14.0%","±0.3","12.8%","±0.4","15.3%","±0.4"
"    62 years and over","12.0%","±0.3","10.9%","±0.4","13.0%","±0.3"
"    65 years and over","9.4%","±0.1","8.4%","±0.1","10.5%","±0.1"
"    75 years and over","3.9%","±0.1","3.2%","±0.1","4.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.8","±0.1","30.3","±0.2","31.5","±0.3"
"    Sex ratio (males per 100 females)","105.6","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.7","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","15.5","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","49.2","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
