"Label (Grouping)","Kings County, California!!Total!!Estimate","Kings County, California!!Total!!Margin of Error","Kings County, California!!Male!!Estimate","Kings County, California!!Male!!Margin of Error","Kings County, California!!Female!!Estimate","Kings County, California!!Female!!Margin of Error"
"Total population","150,261","*****","83,207","±83","67,054","±83"
"AGE","","","","","",""
"    Under 5 years","8.0%","±0.1","7.3%","±0.1","8.8%","±0.1"
"    5 to 9 years","7.9%","±0.3","7.4%","±0.4","8.6%","±0.5"
"    10 to 14 years","7.3%","±0.3","6.5%","±0.4","8.3%","±0.5"
"    15 to 19 years","7.1%","±0.1","6.4%","±0.1","7.8%","±0.2"
"    20 to 24 years","8.7%","±0.1","9.4%","±0.1","7.7%","±0.2"
"    25 to 29 years","8.7%","±0.1","9.5%","±0.1","7.7%","±0.1"
"    30 to 34 years","7.9%","±0.1","8.5%","±0.1","7.2%","±0.1"
"    35 to 39 years","7.8%","±0.4","8.3%","±0.4","7.2%","±0.5"
"    40 to 44 years","6.0%","±0.4","6.8%","±0.4","4.9%","±0.5"
"    45 to 49 years","6.4%","±0.1","7.0%","±0.1","5.6%","±0.1"
"    50 to 54 years","6.1%","±0.1","6.3%","±0.1","5.8%","±0.1"
"    55 to 59 years","5.2%","±0.3","5.2%","±0.3","5.1%","±0.4"
"    60 to 64 years","4.0%","±0.3","3.7%","±0.3","4.2%","±0.4"
"    65 to 69 years","3.1%","±0.2","2.7%","±0.2","3.6%","±0.3"
"    70 to 74 years","2.2%","±0.2","2.0%","±0.2","2.4%","±0.3"
"    75 to 79 years","1.6%","±0.2","1.4%","±0.2","1.8%","±0.3"
"    80 to 84 years","1.2%","±0.1","0.9%","±0.2","1.6%","±0.2"
"    85 years and over","1.1%","±0.2","0.6%","±0.1","1.7%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.2%","±0.1","13.9%","±0.1","16.8%","±0.1"
"    15 to 17 years","4.3%","±0.1","3.9%","±0.1","4.9%","±0.1"
"    18 to 24 years","11.4%","±0.1","11.9%","±0.1","10.7%","±0.1"
"    15 to 44 years","46.1%","±0.1","49.0%","±0.1","42.6%","±0.1"
"    16 years and over","75.2%","±0.2","77.2%","±0.2","72.7%","±0.2"
"    18 years and over","72.5%","*****","74.9%","±0.1","69.5%","±0.1"
"    60 years and over","13.0%","±0.3","11.3%","±0.3","15.3%","±0.4"
"    62 years and over","11.1%","±0.2","9.3%","±0.2","13.3%","±0.3"
"    65 years and over","9.1%","±0.1","7.5%","±0.1","11.0%","±0.1"
"    75 years and over","3.8%","±0.1","2.8%","±0.1","5.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.4","±0.2","32.1","±0.3","30.6","±0.2"
"    Sex ratio (males per 100 females)","124.1","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","57.7","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","14.3","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
