"Label (Grouping)","Lake County, California!!Total!!Estimate","Lake County, California!!Total!!Margin of Error","Lake County, California!!Male!!Estimate","Lake County, California!!Male!!Margin of Error","Lake County, California!!Female!!Estimate","Lake County, California!!Female!!Margin of Error"
"Total population","64,076","*****","31,982","±163","32,094","±163"
"AGE","","","","","",""
"    Under 5 years","5.6%","±0.1","5.7%","±0.2","5.6%","±0.3"
"    5 to 9 years","5.5%","±0.6","5.4%","±0.9","5.5%","±0.7"
"    10 to 14 years","5.6%","±0.6","6.2%","±0.9","5.0%","±0.7"
"    15 to 19 years","5.9%","±0.2","6.2%","±0.4","5.5%","±0.4"
"    20 to 24 years","5.3%","±0.3","5.5%","±0.3","5.1%","±0.4"
"    25 to 29 years","5.6%","±0.3","6.1%","±0.5","5.1%","±0.1"
"    30 to 34 years","5.3%","±0.2","5.6%","±0.3","5.0%","±0.2"
"    35 to 39 years","5.2%","±0.5","5.5%","±0.6","4.9%","±0.7"
"    40 to 44 years","4.9%","±0.5","4.3%","±0.6","5.4%","±0.7"
"    45 to 49 years","6.1%","±0.2","5.9%","±0.2","6.2%","±0.3"
"    50 to 54 years","7.6%","±0.2","7.5%","±0.3","7.7%","±0.3"
"    55 to 59 years","8.8%","±0.5","8.4%","±0.7","9.1%","±0.8"
"    60 to 64 years","8.3%","±0.5","8.1%","±0.7","8.5%","±0.8"
"    65 to 69 years","7.5%","±0.5","7.9%","±0.7","7.2%","±0.7"
"    70 to 74 years","4.8%","±0.5","4.3%","±0.8","5.3%","±0.7"
"    75 to 79 years","3.4%","±0.5","3.0%","±0.6","3.9%","±0.6"
"    80 to 84 years","2.4%","±0.4","2.2%","±0.4","2.6%","±0.6"
"    85 years and over","2.2%","±0.3","2.1%","±0.5","2.4%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.1%","±0.1","11.5%","±0.1","10.6%","±0.2"
"    15 to 17 years","3.7%","±0.1","3.7%","±0.2","3.6%","±0.2"
"    18 to 24 years","7.5%","±0.3","8.0%","±0.4","7.0%","±0.3"
"    15 to 44 years","32.1%","±0.2","33.3%","±0.4","31.0%","±0.4"
"    16 years and over","82.0%","±0.3","81.5%","±0.4","82.5%","±0.5"
"    18 years and over","79.7%","±0.2","79.1%","±0.2","80.3%","±0.3"
"    60 years and over","28.8%","±0.5","27.7%","±0.8","29.9%","±0.8"
"    62 years and over","25.4%","±0.6","24.6%","±0.7","26.2%","±0.9"
"    65 years and over","20.5%","±0.2","19.6%","±0.3","21.4%","±0.3"
"    75 years and over","8.1%","±0.3","7.4%","±0.3","8.9%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","45.8","±0.3","44.3","±0.5","47.4","±0.4"
"    Sex ratio (males per 100 females)","99.7","±1.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.0","±0.6","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","34.6","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","34.4","±0.3","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
