"Label (Grouping)","Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Total!!Margin of Error","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Male!!Margin of Error","Los Angeles County, California!!Female!!Estimate","Los Angeles County, California!!Female!!Margin of Error"
"Total population","10,137,915","*****","4,994,405","±689","5,143,510","±689"
"AGE","","","","","",""
"    Under 5 years","6.2%","*****","6.4%","±0.1","6.0%","±0.1"
"    5 to 9 years","6.1%","±0.1","6.3%","±0.1","5.9%","±0.1"
"    10 to 14 years","6.1%","±0.1","6.3%","±0.1","5.8%","±0.1"
"    15 to 19 years","6.5%","±0.1","6.7%","±0.1","6.3%","±0.1"
"    20 to 24 years","7.3%","±0.1","7.5%","±0.1","7.1%","±0.1"
"    25 to 29 years","8.4%","±0.1","8.6%","±0.1","8.1%","±0.1"
"    30 to 34 years","7.5%","*****","7.8%","±0.1","7.3%","±0.1"
"    35 to 39 years","7.0%","±0.1","7.1%","±0.1","6.9%","±0.1"
"    40 to 44 years","6.7%","±0.1","6.7%","±0.1","6.6%","±0.1"
"    45 to 49 years","6.9%","*****","7.0%","±0.1","6.9%","±0.1"
"    50 to 54 years","6.7%","*****","6.7%","±0.1","6.7%","±0.1"
"    55 to 59 years","6.3%","±0.1","6.2%","±0.1","6.4%","±0.1"
"    60 to 64 years","5.4%","±0.1","5.2%","±0.1","5.6%","±0.1"
"    65 to 69 years","4.3%","±0.1","4.0%","±0.1","4.5%","±0.1"
"    70 to 74 years","3.1%","±0.1","2.8%","±0.1","3.4%","±0.1"
"    75 to 79 years","2.2%","±0.1","1.9%","±0.1","2.4%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.3%","±0.1","2.0%","±0.1"
"    85 years and over","1.8%","±0.1","1.3%","±0.1","2.2%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.2%","*****","12.6%","±0.1","11.8%","±0.1"
"    15 to 17 years","3.8%","*****","4.0%","±0.1","3.7%","±0.1"
"    18 to 24 years","9.9%","±0.1","10.2%","±0.1","9.7%","±0.1"
"    15 to 44 years","43.3%","*****","44.4%","±0.1","42.2%","±0.1"
"    16 years and over","80.4%","±0.1","79.7%","±0.1","81.1%","±0.1"
"    18 years and over","77.8%","*****","76.9%","±0.1","78.6%","±0.1"
"    60 years and over","18.3%","±0.1","16.5%","±0.1","20.1%","±0.1"
"    62 years and over","15.9%","±0.1","14.2%","±0.1","17.6%","±0.1"
"    65 years and over","12.9%","*****","11.3%","±0.1","14.5%","±0.1"
"    75 years and over","5.6%","±0.1","4.6%","±0.1","6.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.3","±0.1","35.2","±0.1","37.5","±0.2"
"    Sex ratio (males per 100 females)","97.1","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","54.2","*****","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","19.9","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","34.3","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.4%","(X)","(X)","(X)","(X)","(X)"
