"Label (Grouping)","Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Total!!Margin of Error","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Male!!Margin of Error","Los Angeles County, California!!Female!!Estimate","Los Angeles County, California!!Female!!Margin of Error"
"Total population","10,057,155","*****","4,954,616","*****","5,102,539","*****"
"AGE","","","","","",""
"    Under 5 years","6.3%","*****","6.6%","*****","6.1%","*****"
"    5 to 9 years","6.2%","±0.1","6.4%","±0.1","6.0%","±0.1"
"    10 to 14 years","6.3%","±0.1","6.5%","±0.1","6.1%","±0.1"
"    15 to 19 years","6.8%","*****","7.0%","*****","6.6%","*****"
"    20 to 24 years","7.7%","*****","7.9%","*****","7.4%","*****"
"    25 to 29 years","8.1%","*****","8.4%","*****","7.8%","*****"
"    30 to 34 years","7.5%","*****","7.7%","*****","7.3%","*****"
"    35 to 39 years","6.9%","±0.1","7.0%","±0.1","6.8%","±0.1"
"    40 to 44 years","7.0%","±0.1","7.1%","±0.1","7.0%","±0.1"
"    45 to 49 years","6.9%","*****","7.0%","*****","6.9%","*****"
"    50 to 54 years","6.8%","*****","6.8%","*****","6.8%","*****"
"    55 to 59 years","6.2%","±0.1","6.1%","±0.1","6.3%","±0.1"
"    60 to 64 years","5.2%","±0.1","4.9%","±0.1","5.4%","±0.1"
"    65 to 69 years","4.0%","±0.1","3.7%","±0.1","4.2%","±0.1"
"    70 to 74 years","2.8%","±0.1","2.6%","±0.1","3.1%","±0.1"
"    75 to 79 years","2.1%","±0.1","1.8%","±0.1","2.3%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.3%","±0.1","1.9%","±0.1"
"    85 years and over","1.7%","±0.1","1.2%","±0.1","2.2%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.5%","*****","13.0%","*****","12.1%","*****"
"    15 to 17 years","4.0%","*****","4.2%","*****","3.9%","*****"
"    18 to 24 years","10.4%","*****","10.7%","*****","10.1%","*****"
"    15 to 44 years","43.9%","*****","45.0%","*****","42.8%","*****"
"    16 years and over","79.9%","±0.1","79.2%","±0.1","80.6%","±0.1"
"    18 years and over","77.2%","*****","76.3%","*****","78.0%","*****"
"    60 years and over","17.4%","±0.1","15.6%","±0.1","19.1%","±0.1"
"    62 years and over","15.1%","±0.1","13.4%","±0.1","16.8%","±0.1"
"    65 years and over","12.2%","*****","10.7%","*****","13.7%","*****"
"    75 years and over","5.4%","*****","4.4%","*****","6.4%","*****"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.8","±0.1","34.7","±0.1","37.0","±0.1"
"    Sex ratio (males per 100 females)","97.1","*****","(X)","(X)","(X)","(X)"
"    Age dependency ratio","53.9","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","18.8","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","35.2","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.0%","(X)","(X)","(X)","(X)","(X)"
