"Label (Grouping)","Madera County, California!!Total!!Estimate","Madera County, California!!Total!!Margin of Error","Madera County, California!!Male!!Estimate","Madera County, California!!Male!!Margin of Error","Madera County, California!!Female!!Estimate","Madera County, California!!Female!!Margin of Error"
"Total population","150,615","*****","72,557","±179","78,058","±179"
"AGE","","","","","",""
"    Under 5 years","8.0%","±0.1","8.3%","±0.1","7.8%","±0.2"
"    5 to 9 years","7.6%","±0.4","7.7%","±0.6","7.6%","±0.5"
"    10 to 14 years","7.9%","±0.4","8.7%","±0.6","7.2%","±0.5"
"    15 to 19 years","7.9%","±0.1","8.6%","±0.2","7.2%","±0.2"
"    20 to 24 years","7.2%","±0.1","7.6%","±0.1","6.8%","±0.2"
"    25 to 29 years","7.0%","±0.1","6.6%","±0.1","7.3%","±0.2"
"    30 to 34 years","6.7%","±0.1","6.4%","±0.2","7.0%","±0.2"
"    35 to 39 years","6.2%","±0.4","6.1%","±0.6","6.4%","±0.5"
"    40 to 44 years","6.5%","±0.4","6.0%","±0.6","7.0%","±0.5"
"    45 to 49 years","6.6%","±0.2","6.3%","±0.2","6.9%","±0.2"
"    50 to 54 years","6.2%","±0.1","5.9%","±0.1","6.4%","±0.2"
"    55 to 59 years","5.5%","±0.3","6.0%","±0.5","5.1%","±0.4"
"    60 to 64 years","5.0%","±0.4","4.5%","±0.5","5.4%","±0.4"
"    65 to 69 years","4.0%","±0.2","3.8%","±0.3","4.1%","±0.3"
"    70 to 74 years","2.7%","±0.2","2.8%","±0.3","2.6%","±0.3"
"    75 to 79 years","2.2%","±0.2","2.4%","±0.3","2.0%","±0.2"
"    80 to 84 years","1.4%","±0.2","1.2%","±0.2","1.6%","±0.2"
"    85 years and over","1.3%","±0.2","0.9%","±0.2","1.7%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.6%","±0.1","16.4%","±0.2","14.8%","±0.1"
"    15 to 17 years","4.8%","±0.1","5.3%","±0.1","4.4%","±0.2"
"    18 to 24 years","10.3%","±0.1","11.0%","±0.1","9.6%","±0.2"
"    15 to 44 years","41.5%","±0.2","41.3%","±0.2","41.7%","±0.2"
"    16 years and over","74.8%","±0.2","74.0%","±0.3","75.7%","±0.3"
"    18 years and over","71.6%","*****","70.0%","±0.2","73.0%","±0.2"
"    60 years and over","16.6%","±0.3","15.8%","±0.5","17.3%","±0.4"
"    62 years and over","14.5%","±0.3","14.0%","±0.5","15.0%","±0.3"
"    65 years and over","11.6%","±0.1","11.2%","±0.2","11.9%","±0.1"
"    75 years and over","4.9%","±0.1","4.6%","±0.2","5.3%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.2","±0.2","31.5","±0.3","34.4","±0.2"
"    Sex ratio (males per 100 females)","93.0","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","66.8","±0.2","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","19.4","±0.2","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.7%","(X)","(X)","(X)","(X)","(X)"
