"Label (Grouping)","Marin County, California!!Total!!Estimate","Marin County, California!!Total!!Margin of Error","Marin County, California!!Male!!Estimate","Marin County, California!!Male!!Margin of Error","Marin County, California!!Female!!Estimate","Marin County, California!!Female!!Margin of Error"
"Total population","252,759","*****","124,430","±151","128,329","±151"
"AGE","","","","","",""
"    Under 5 years","5.5%","±0.1","5.7%","±0.1","5.3%","±0.1"
"    5 to 9 years","5.9%","±0.2","6.0%","±0.3","5.9%","±0.3"
"    10 to 14 years","5.8%","±0.2","6.1%","±0.3","5.5%","±0.3"
"    15 to 19 years","5.2%","±0.1","5.4%","±0.1","4.9%","±0.1"
"    20 to 24 years","4.1%","±0.1","4.6%","±0.1","3.5%","±0.1"
"    25 to 29 years","4.6%","±0.1","5.1%","±0.1","4.1%","±0.1"
"    30 to 34 years","5.1%","±0.1","5.4%","±0.2","4.9%","±0.2"
"    35 to 39 years","6.5%","±0.3","6.5%","±0.4","6.5%","±0.5"
"    40 to 44 years","7.9%","±0.3","8.1%","±0.4","7.7%","±0.5"
"    45 to 49 years","8.3%","±0.1","8.4%","±0.2","8.2%","±0.1"
"    50 to 54 years","8.4%","±0.1","8.3%","±0.1","8.5%","±0.1"
"    55 to 59 years","8.3%","±0.3","8.1%","±0.4","8.6%","±0.4"
"    60 to 64 years","7.5%","±0.3","7.2%","±0.4","7.8%","±0.4"
"    65 to 69 years","5.6%","±0.2","5.3%","±0.3","5.9%","±0.3"
"    70 to 74 years","3.7%","±0.2","3.7%","±0.3","3.7%","±0.3"
"    75 to 79 years","2.8%","±0.2","2.4%","±0.2","3.1%","±0.2"
"    80 to 84 years","2.4%","±0.2","2.0%","±0.2","2.8%","±0.2"
"    85 years and over","2.5%","±0.2","1.8%","±0.2","3.1%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.7%","±0.1","12.1%","±0.1","11.4%","±0.1"
"    15 to 17 years","3.4%","±0.1","3.5%","±0.1","3.3%","±0.1"
"    18 to 24 years","5.8%","±0.1","6.5%","±0.1","5.2%","±0.1"
"    15 to 44 years","33.4%","±0.1","35.2%","±0.2","31.7%","±0.2"
"    16 years and over","81.7%","±0.1","81.3%","±0.2","82.2%","±0.2"
"    18 years and over","79.4%","*****","78.7%","±0.1","80.1%","±0.1"
"    60 years and over","24.4%","±0.3","22.4%","±0.5","26.4%","±0.4"
"    62 years and over","21.1%","±0.2","19.2%","±0.3","22.9%","±0.3"
"    65 years and over","16.9%","±0.1","15.2%","±0.1","18.6%","±0.1"
"    75 years and over","7.6%","±0.1","6.2%","±0.1","9.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","44.6","±0.1","43.1","±0.2","46.0","±0.2"
"    Sex ratio (males per 100 females)","97.0","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.1","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","27.1","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
