"Label (Grouping)","Mariposa County, California!!Total!!Estimate","Mariposa County, California!!Total!!Margin of Error","Mariposa County, California!!Male!!Estimate","Mariposa County, California!!Male!!Margin of Error","Mariposa County, California!!Female!!Estimate","Mariposa County, California!!Female!!Margin of Error"
"Total population","17,645","*****","8,881","±164","8,764","±164"
"AGE","","","","","",""
"    Under 5 years","4.1%","±0.3","4.6%","±0.6","3.7%","±0.4"
"    5 to 9 years","4.4%","±0.7","5.2%","±1.1","3.5%","±0.9"
"    10 to 14 years","4.6%","±0.7","3.9%","±1.2","5.2%","±1.0"
"    15 to 19 years","5.5%","±1.0","5.2%","±1.2","5.9%","±1.4"
"    20 to 24 years","4.7%","±0.8","5.1%","±1.0","4.2%","±1.1"
"    25 to 29 years","4.7%","±0.6","4.7%","±0.4","4.8%","±1.0"
"    30 to 34 years","5.2%","±0.7","5.7%","±1.1","4.6%","±0.6"
"    35 to 39 years","4.9%","±0.9","4.9%","±1.4","4.9%","±1.0"
"    40 to 44 years","4.4%","±0.9","4.4%","±1.2","4.3%","±1.1"
"    45 to 49 years","6.1%","±0.7","5.3%","±0.4","7.0%","±1.4"
"    50 to 54 years","8.2%","±0.6","8.7%","±1.1","7.7%","±0.7"
"    55 to 59 years","8.8%","±1.0","8.4%","±1.6","9.2%","±1.3"
"    60 to 64 years","9.6%","±1.0","10.0%","±1.6","9.2%","±1.2"
"    65 to 69 years","9.1%","±0.9","9.7%","±1.3","8.5%","±1.3"
"    70 to 74 years","6.1%","±0.9","5.4%","±1.1","6.7%","±1.2"
"    75 to 79 years","4.4%","±0.8","3.3%","±0.8","5.5%","±1.3"
"    80 to 84 years","3.7%","±0.7","3.7%","±0.8","3.6%","±1.2"
"    85 years and over","1.6%","±0.5","1.7%","±0.7","1.5%","±0.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","8.9%","±0.5","9.2%","±0.9","8.7%","±0.9"
"    15 to 17 years","3.5%","±0.4","3.3%","±0.7","3.6%","±0.6"
"    18 to 24 years","6.7%","±0.7","6.9%","±0.8","6.5%","±0.8"
"    15 to 44 years","29.4%","±0.9","30.0%","±1.2","28.8%","±1.6"
"    16 years and over","85.5%","±0.4","84.5%","±1.2","86.6%","±1.1"
"    18 years and over","83.5%","±0.2","82.9%","±1.1","84.0%","±1.1"
"    60 years and over","34.4%","±1.1","33.8%","±1.8","35.0%","±1.5"
"    62 years and over","30.0%","±0.9","29.5%","±1.6","30.4%","±1.4"
"    65 years and over","24.8%","±0.5","23.9%","±0.7","25.8%","±0.9"
"    75 years and over","9.7%","±0.4","8.8%","±0.3","10.6%","±0.7"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","50.6","±0.4","50.4","±0.6","51.0","±0.8"
"    Sex ratio (males per 100 females)","101.3","±3.8","(X)","(X)","(X)","(X)"
"    Age dependency ratio","70.5","±1.3","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","42.3","±1.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","28.2","±0.5","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.3%","(X)","(X)","(X)","(X)","(X)"
