"Label (Grouping)","Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Total!!Margin of Error","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Male!!Margin of Error","Mendocino County, California!!Female!!Estimate","Mendocino County, California!!Female!!Margin of Error"
"Total population","87,428","*****","43,667","±746","43,761","±746"
"AGE","","","","","",""
"    Under 5 years","5.8%","±0.1","5.6%","±0.2","5.9%","±0.2"
"    5 to 9 years","6.0%","±1.0","5.2%","±1.4","6.8%","±1.3"
"    10 to 14 years","6.4%","±1.0","7.3%","±1.4","5.6%","±1.4"
"    15 to 19 years","6.5%","±0.7","6.6%","±1.8","6.4%","±1.8"
"    20 to 24 years","6.0%","±0.8","6.4%","±1.8","5.6%","±1.5"
"    25 to 29 years","4.7%","±0.7","5.1%","±1.2","4.3%","±0.6"
"    30 to 34 years","5.2%","±0.7","5.2%","±0.9","5.1%","±0.8"
"    35 to 39 years","5.5%","±1.0","5.4%","±1.4","5.6%","±1.6"
"    40 to 44 years","6.9%","±1.3","7.9%","±1.9","5.9%","±1.7"
"    45 to 49 years","5.7%","±0.7","5.7%","±1.0","5.7%","±0.9"
"    50 to 54 years","7.7%","±0.9","7.7%","±1.5","7.7%","±1.3"
"    55 to 59 years","7.5%","±1.1","7.1%","±1.5","7.8%","±1.5"
"    60 to 64 years","9.0%","±1.2","9.0%","±1.5","8.9%","±1.5"
"    65 to 69 years","6.3%","±0.8","6.0%","±1.1","6.7%","±1.0"
"    70 to 74 years","3.8%","±0.8","3.5%","±1.0","4.0%","±1.1"
"    75 to 79 years","2.6%","±0.6","2.4%","±1.0","2.8%","±0.8"
"    80 to 84 years","2.0%","±0.7","1.8%","±0.9","2.1%","±0.9"
"    85 years and over","2.5%","±0.6","1.9%","±0.7","3.1%","±0.9"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.4%","±0.2","12.5%","±0.4","12.3%","±0.4"
"    15 to 17 years","3.7%","±0.2","3.9%","±1.1","3.5%","±1.2"
"    18 to 24 years","8.8%","±0.7","9.2%","±1.2","8.4%","±0.6"
"    15 to 44 years","34.8%","±1.1","36.7%","±1.8","32.9%","±1.9"
"    16 years and over","80.0%","±0.6","80.6%","±0.8","79.4%","±0.8"
"    18 years and over","78.1%","±0.3","78.0%","±1.0","78.3%","±0.9"
"    60 years and over","26.2%","±1.2","24.6%","±1.7","27.7%","±1.5"
"    62 years and over","22.6%","±1.2","21.1%","±1.5","24.1%","±1.5"
"    65 years and over","17.2%","±0.7","15.6%","±0.9","18.8%","±0.8"
"    75 years and over","7.1%","±0.4","6.2%","±0.8","8.0%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","43.0","±0.8","41.8","±0.7","44.4","±0.9"
"    Sex ratio (males per 100 females)","99.8","±3.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.2","±2.0","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","28.3","±1.4","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.9","±0.7","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.4%","(X)","(X)","(X)","(X)","(X)"
