"Label (Grouping)","Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Total!!Margin of Error","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Male!!Margin of Error","Mendocino County, California!!Female!!Estimate","Mendocino County, California!!Female!!Margin of Error"
"Total population","87,409","*****","43,634","±123","43,775","±123"
"AGE","","","","","",""
"    Under 5 years","5.9%","±0.1","6.1%","±0.1","5.7%","±0.1"
"    5 to 9 years","6.4%","±0.4","6.3%","±0.7","6.5%","±0.5"
"    10 to 14 years","5.7%","±0.4","6.1%","±0.6","5.3%","±0.5"
"    15 to 19 years","6.0%","±0.2","6.4%","±0.3","5.7%","±0.2"
"    20 to 24 years","5.4%","±0.1","5.7%","±0.2","5.1%","±0.1"
"    25 to 29 years","5.6%","±0.1","6.0%","±0.2","5.2%","±0.1"
"    30 to 34 years","6.1%","±0.1","6.2%","±0.1","5.9%","±0.2"
"    35 to 39 years","6.2%","±0.5","6.8%","±0.5","5.5%","±0.7"
"    40 to 44 years","5.5%","±0.5","5.1%","±0.5","5.9%","±0.7"
"    45 to 49 years","5.7%","±0.1","5.8%","±0.1","5.7%","±0.1"
"    50 to 54 years","6.8%","±0.1","6.7%","±0.2","7.0%","±0.1"
"    55 to 59 years","7.2%","±0.5","6.9%","±0.7","7.5%","±0.6"
"    60 to 64 years","8.5%","±0.5","8.2%","±0.7","8.8%","±0.6"
"    65 to 69 years","7.4%","±0.4","7.0%","±0.6","7.7%","±0.6"
"    70 to 74 years","4.4%","±0.4","4.5%","±0.5","4.3%","±0.6"
"    75 to 79 years","2.9%","±0.3","3.0%","±0.4","2.8%","±0.4"
"    80 to 84 years","1.8%","±0.3","1.4%","±0.3","2.3%","±0.4"
"    85 years and over","2.4%","±0.3","1.7%","±0.3","3.1%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.1%","±0.1","12.4%","±0.3","11.8%","±0.1"
"    15 to 17 years","3.7%","±0.1","4.0%","±0.2","3.5%","±0.1"
"    18 to 24 years","7.7%","±0.1","8.1%","±0.2","7.2%","±0.2"
"    15 to 44 years","34.7%","±0.2","36.2%","±0.2","33.3%","±0.2"
"    16 years and over","80.8%","±0.2","80.4%","±0.3","81.2%","±0.3"
"    18 years and over","78.2%","±0.1","77.5%","±0.2","78.9%","±0.1"
"    60 years and over","27.4%","±0.5","25.9%","±0.6","29.0%","±0.7"
"    62 years and over","24.0%","±0.4","22.6%","±0.5","25.4%","±0.6"
"    65 years and over","18.9%","±0.1","17.6%","±0.1","20.2%","±0.1"
"    75 years and over","7.1%","±0.1","6.1%","±0.3","8.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","42.3","±0.4","40.4","±0.6","44.3","±0.3"
"    Sex ratio (males per 100 females)","99.7","±0.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.7","±0.2","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","31.9","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","36.7","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.4%","(X)","(X)","(X)","(X)","(X)"
