"Label (Grouping)","Merced County, California!!Total!!Estimate","Merced County, California!!Total!!Margin of Error","Merced County, California!!Male!!Estimate","Merced County, California!!Male!!Margin of Error","Merced County, California!!Female!!Estimate","Merced County, California!!Female!!Margin of Error"
"Total population","268,672","*****","135,524","±608","133,148","±608"
"AGE","","","","","",""
"    Under 5 years","8.1%","±0.2","8.3%","±0.4","7.8%","±0.2"
"    5 to 9 years","8.6%","±0.8","8.8%","±0.9","8.5%","±1.1"
"    10 to 14 years","8.1%","±0.8","8.1%","±1.0","8.2%","±1.2"
"    15 to 19 years","8.4%","±0.4","8.6%","±0.5","8.2%","±0.6"
"    20 to 24 years","7.9%","±0.4","8.0%","±0.5","7.7%","±0.5"
"    25 to 29 years","7.7%","±0.2","8.3%","±0.4","7.2%","±0.1"
"    30 to 34 years","6.7%","±0.2","6.8%","±0.1","6.6%","±0.3"
"    35 to 39 years","5.9%","±0.7","5.7%","±1.0","6.1%","±0.8"
"    40 to 44 years","6.3%","±0.6","6.3%","±0.9","6.3%","±0.8"
"    45 to 49 years","5.6%","±0.2","5.6%","±0.2","5.5%","±0.3"
"    50 to 54 years","5.8%","±0.3","5.8%","±0.4","5.7%","±0.3"
"    55 to 59 years","5.1%","±0.6","5.1%","±0.7","5.0%","±0.8"
"    60 to 64 years","5.0%","±0.6","4.6%","±0.7","5.4%","±0.7"
"    65 to 69 years","3.7%","±0.3","3.9%","±0.6","3.4%","±0.5"
"    70 to 74 years","2.5%","±0.3","2.0%","±0.5","3.0%","±0.5"
"    75 to 79 years","1.7%","±0.3","2.0%","±0.5","1.4%","±0.4"
"    80 to 84 years","1.4%","±0.4","0.9%","±0.4","1.8%","±0.6"
"    85 years and over","1.5%","±0.4","1.0%","±0.3","2.1%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.8%","±0.2","16.9%","±0.3","16.7%","±0.3"
"    15 to 17 years","5.0%","±0.1","5.2%","±0.2","4.8%","±0.2"
"    18 to 24 years","11.3%","±0.2","11.4%","±0.4","11.2%","±0.2"
"    15 to 44 years","43.0%","±0.3","43.8%","±0.5","42.2%","±0.4"
"    16 years and over","73.2%","±0.4","72.6%","±0.5","73.7%","±0.6"
"    18 years and over","70.1%","±0.1","69.6%","±0.4","70.7%","±0.3"
"    60 years and over","15.8%","±0.6","14.5%","±0.7","17.1%","±0.8"
"    62 years and over","13.3%","±0.5","12.1%","±0.5","14.5%","±0.6"
"    65 years and over","10.8%","±0.1","9.8%","±0.2","11.8%","±0.2"
"    75 years and over","4.6%","±0.2","3.9%","±0.3","5.3%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.9","±0.3","29.9","±0.5","31.6","±0.5"
"    Sex ratio (males per 100 females)","101.8","±0.9","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.5","±0.6","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","18.2","±0.3","(X)","(X)","(X)","(X)"
"    Child dependency ratio","50.4","±0.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.8%","(X)","(X)","(X)","(X)","(X)"
