"Label (Grouping)","Modoc County, California!!Total!!Estimate","Modoc County, California!!Total!!Margin of Error","Modoc County, California!!Male!!Estimate","Modoc County, California!!Male!!Margin of Error","Modoc County, California!!Female!!Estimate","Modoc County, California!!Female!!Margin of Error"
"Total population","9,545","*****","4,829","±90","4,716","±90"
"AGE","","","","","",""
"    Under 5 years","5.0%","±0.2","4.8%","±0.7","5.3%","±0.8"
"    5 to 9 years","4.8%","±1.5","4.5%","±1.9","5.2%","±2.2"
"    10 to 14 years","7.5%","±1.4","8.8%","±1.9","6.3%","±2.0"
"    15 to 19 years","6.1%","±1.1","7.3%","±2.2","4.9%","±1.8"
"    20 to 24 years","4.7%","±0.9","4.6%","±1.7","4.9%","±0.6"
"    25 to 29 years","4.2%","±1.0","4.2%","±1.8","4.1%","±0.7"
"    30 to 34 years","4.7%","±0.5","4.7%","±0.7","4.8%","±0.7"
"    35 to 39 years","4.9%","±1.0","6.2%","±1.6","3.6%","±1.1"
"    40 to 44 years","5.3%","±1.1","5.4%","±1.7","5.3%","±1.1"
"    45 to 49 years","8.0%","±0.8","6.4%","±0.7","9.6%","±1.2"
"    50 to 54 years","7.9%","±0.6","7.7%","±0.9","8.1%","±0.7"
"    55 to 59 years","9.0%","±1.5","9.1%","±2.2","9.0%","±1.8"
"    60 to 64 years","7.5%","±1.5","6.9%","±2.4","8.0%","±1.9"
"    65 to 69 years","7.7%","±1.2","6.4%","±1.6","8.9%","±1.7"
"    70 to 74 years","4.4%","±1.2","5.8%","±1.8","3.0%","±1.5"
"    75 to 79 years","4.2%","±1.1","4.1%","±1.2","4.3%","±1.8"
"    80 to 84 years","1.6%","±0.6","1.6%","±0.9","1.6%","±0.8"
"    85 years and over","2.3%","±0.8","1.5%","±0.8","3.2%","±1.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.4%","±0.7","13.2%","±1.4","11.5%","±1.0"
"    15 to 17 years","4.7%","±0.7","5.6%","±1.4","3.7%","±1.4"
"    18 to 24 years","6.2%","±1.2","6.3%","±1.7","6.1%","±1.1"
"    15 to 44 years","30.0%","±1.2","32.4%","±1.9","27.6%","±1.7"
"    16 years and over","81.4%","±0.9","81.3%","±1.4","81.6%","±1.4"
"    18 years and over","77.9%","±0.4","76.4%","±1.2","79.5%","±1.4"
"    60 years and over","27.7%","±1.5","26.4%","±2.5","29.0%","±1.9"
"    62 years and over","24.6%","±1.2","24.2%","±1.9","25.0%","±1.9"
"    65 years and over","20.2%","±0.5","19.4%","±0.9","20.9%","±1.0"
"    75 years and over","8.1%","±0.5","7.2%","±0.5","9.0%","±0.9"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","46.8","±0.7","44.2","±2.0","47.8","±0.7"
"    Sex ratio (males per 100 females)","102.4","±3.8","(X)","(X)","(X)","(X)"
"    Age dependency ratio","73.3","±1.6","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","35.0","±1.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","38.3","±1.0","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)"
