"Label (Grouping)","Mono County, California!!Total!!Estimate","Mono County, California!!Total!!Margin of Error","Mono County, California!!Male!!Estimate","Mono County, California!!Male!!Margin of Error","Mono County, California!!Female!!Estimate","Mono County, California!!Female!!Margin of Error"
"Total population","14,051","*****","7,551","±251","6,500","±251"
"AGE","","","","","",""
"    Under 5 years","4.4%","±1.0","1.8%","±1.2","7.4%","±2.1"
"    5 to 9 years","6.0%","±1.1","5.3%","±1.6","6.7%","±2.0"
"    10 to 14 years","7.0%","±1.4","8.2%","±2.5","5.5%","±2.0"
"    15 to 19 years","4.6%","±1.6","5.3%","±2.4","3.8%","±2.4"
"    20 to 24 years","12.0%","±2.1","10.6%","±2.9","13.7%","±3.1"
"    25 to 29 years","3.7%","±1.7","5.1%","±2.7","2.0%","±2.0"
"    30 to 34 years","8.2%","±1.2","8.3%","±2.0","8.1%","±1.4"
"    35 to 39 years","5.2%","±1.6","4.1%","±1.6","6.4%","±2.9"
"    40 to 44 years","6.3%","±1.4","8.3%","±1.8","3.9%","±2.2"
"    45 to 49 years","5.7%","±0.8","6.2%","±1.1","5.1%","±1.2"
"    50 to 54 years","9.3%","±1.5","8.3%","±1.3","10.5%","±3.0"
"    55 to 59 years","8.7%","±1.4","8.1%","±1.9","9.4%","±1.9"
"    60 to 64 years","5.9%","±1.5","7.1%","±2.0","4.6%","±1.7"
"    65 to 69 years","3.9%","±1.4","4.5%","±1.6","3.3%","±1.7"
"    70 to 74 years","4.7%","±1.5","3.8%","±1.6","5.8%","±1.9"
"    75 to 79 years","1.7%","±0.5","2.6%","±0.7","0.7%","±0.7"
"    80 to 84 years","1.6%","±0.6","0.9%","±0.6","2.3%","±1.0"
"    85 years and over","1.3%","±0.9","1.7%","±1.5","0.8%","±0.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.9%","±1.6","13.5%","±2.2","12.2%","±2.4"
"    15 to 17 years","2.5%","±0.7","2.8%","±1.0","2.2%","±1.6"
"    18 to 24 years","14.1%","±2.0","13.1%","±3.0","15.3%","±2.5"
"    15 to 44 years","39.9%","±1.8","41.7%","±1.9","37.8%","±3.5"
"    16 years and over","82.0%","±0.8","84.1%","±2.4","79.6%","±2.6"
"    18 years and over","80.2%","±0.7","81.9%","±2.4","78.2%","±2.9"
"    60 years and over","19.2%","±1.5","20.5%","±2.1","17.6%","±1.8"
"    62 years and over","16.4%","±1.2","17.6%","±1.9","14.9%","±1.0"
"    65 years and over","13.2%","±0.7","13.4%","±1.2","13.0%","±0.9"
"    75 years and over","4.6%","±0.7","5.1%","±1.4","3.9%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.9","±2.2","40.4","±1.1","36.6","±2.6"
"    Sex ratio (males per 100 females)","116.2","±8.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","49.3","±2.3","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","19.7","±1.3","(X)","(X)","(X)","(X)"
"    Child dependency ratio","29.6","±1.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
