"Label (Grouping)","Monterey County, California!!Total!!Estimate","Monterey County, California!!Total!!Margin of Error","Monterey County, California!!Male!!Estimate","Monterey County, California!!Male!!Margin of Error","Monterey County, California!!Female!!Estimate","Monterey County, California!!Female!!Margin of Error"
"Total population","426,762","*****","219,690","±413","207,072","±413"
"AGE","","","","","",""
"    Under 5 years","7.9%","±0.1","7.9%","±0.1","8.0%","±0.1"
"    5 to 9 years","7.8%","±0.4","7.7%","±0.7","7.9%","±0.6"
"    10 to 14 years","6.8%","±0.4","7.0%","±0.7","6.5%","±0.6"
"    15 to 19 years","7.5%","±0.2","7.4%","±0.2","7.6%","±0.3"
"    20 to 24 years","7.9%","±0.1","8.5%","±0.2","7.2%","±0.3"
"    25 to 29 years","7.5%","±0.2","7.8%","±0.2","7.2%","±0.3"
"    30 to 34 years","7.5%","±0.1","7.9%","±0.2","7.1%","±0.2"
"    35 to 39 years","6.6%","±0.3","7.2%","±0.6","6.1%","±0.6"
"    40 to 44 years","6.3%","±0.3","6.3%","±0.6","6.2%","±0.5"
"    45 to 49 years","6.1%","±0.1","6.2%","±0.2","6.0%","±0.1"
"    50 to 54 years","6.3%","±0.1","6.3%","±0.2","6.3%","±0.1"
"    55 to 59 years","5.5%","±0.4","5.2%","±0.5","5.8%","±0.6"
"    60 to 64 years","5.2%","±0.4","5.1%","±0.5","5.4%","±0.6"
"    65 to 69 years","3.3%","±0.3","3.3%","±0.3","3.3%","±0.4"
"    70 to 74 years","2.7%","±0.3","2.2%","±0.3","3.1%","±0.4"
"    75 to 79 years","1.8%","±0.2","1.6%","±0.3","2.0%","±0.3"
"    80 to 84 years","1.4%","±0.2","1.2%","±0.2","1.7%","±0.3"
"    85 years and over","2.0%","±0.3","1.3%","±0.3","2.7%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.6%","±0.1","14.7%","±0.1","14.4%","±0.1"
"    15 to 17 years","4.2%","±0.1","4.2%","±0.1","4.2%","±0.1"
"    18 to 24 years","11.1%","±0.2","11.6%","±0.2","10.6%","±0.3"
"    15 to 44 years","43.2%","±0.2","45.0%","±0.2","41.3%","±0.2"
"    16 years and over","76.1%","±0.2","75.9%","±0.3","76.4%","±0.4"
"    18 years and over","73.3%","±0.1","73.2%","±0.2","73.4%","±0.1"
"    60 years and over","16.4%","±0.4","14.7%","±0.5","18.2%","±0.6"
"    62 years and over","14.4%","±0.3","12.6%","±0.5","16.3%","±0.5"
"    65 years and over","11.2%","±0.1","9.6%","±0.1","12.8%","±0.2"
"    75 years and over","5.2%","±0.1","4.1%","±0.1","6.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.0","±0.3","32.1","±0.4","34.0","±0.3"
"    Sex ratio (males per 100 females)","106.1","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.0","±0.3","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","18.0","±0.2","(X)","(X)","(X)","(X)"
"        Child dependency ratio","43.0","±0.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
