"Label (Grouping)","Nevada County, California!!Total!!Estimate","Nevada County, California!!Total!!Margin of Error","Nevada County, California!!Male!!Estimate","Nevada County, California!!Male!!Margin of Error","Nevada County, California!!Female!!Estimate","Nevada County, California!!Female!!Margin of Error"
"Total population","98,639","*****","48,833","±167","49,806","±167"
"AGE","","","","","",""
"    Under 5 years","4.3%","±0.1","4.7%","±0.2","3.9%","±0.1"
"    5 to 9 years","4.7%","±0.4","5.1%","±0.6","4.3%","±0.6"
"    10 to 14 years","5.4%","±0.4","5.2%","±0.5","5.6%","±0.6"
"    15 to 19 years","5.6%","±0.2","6.4%","±0.5","4.9%","±0.2"
"    20 to 24 years","4.7%","±0.3","5.0%","±0.5","4.3%","±0.2"
"    25 to 29 years","4.5%","±0.1","4.6%","±0.2","4.4%","±0.2"
"    30 to 34 years","5.2%","±0.1","5.4%","±0.2","5.0%","±0.2"
"    35 to 39 years","5.1%","±0.5","5.1%","±0.8","5.2%","±0.5"
"    40 to 44 years","5.3%","±0.5","5.6%","±0.7","5.1%","±0.5"
"    45 to 49 years","5.8%","±0.1","5.9%","±0.1","5.8%","±0.1"
"    50 to 54 years","7.4%","±0.1","7.1%","±0.2","7.8%","±0.1"
"    55 to 59 years","8.7%","±0.6","8.2%","±0.8","9.1%","±0.7"
"    60 to 64 years","9.8%","±0.6","9.4%","±0.8","10.2%","±0.7"
"    65 to 69 years","8.2%","±0.4","8.2%","±0.6","8.2%","±0.5"
"    70 to 74 years","5.8%","±0.4","5.7%","±0.5","5.9%","±0.5"
"    75 to 79 years","3.5%","±0.4","3.2%","±0.5","3.8%","±0.5"
"    80 to 84 years","2.8%","±0.3","2.7%","±0.4","2.8%","±0.5"
"    85 years and over","3.1%","±0.3","2.4%","±0.4","3.8%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.1%","±0.1","10.3%","±0.2","9.8%","±0.2"
"    15 to 17 years","3.4%","±0.1","3.8%","±0.2","3.0%","±0.1"
"    18 to 24 years","6.9%","±0.1","7.6%","±0.2","6.2%","±0.2"
"    15 to 44 years","30.5%","±0.2","32.2%","±0.3","28.8%","±0.3"
"    16 years and over","84.6%","±0.2","83.9%","±0.4","85.3%","±0.4"
"    18 years and over","82.2%","±0.1","81.2%","±0.2","83.2%","±0.2"
"    60 years and over","33.2%","±0.6","31.7%","±0.8","34.7%","±0.7"
"    62 years and over","29.6%","±0.5","28.6%","±0.6","30.6%","±0.7"
"    65 years and over","23.4%","±0.1","22.3%","±0.2","24.5%","±0.2"
"    75 years and over","9.4%","±0.1","8.3%","±0.2","10.4%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","49.5","±0.2","47.9","±0.5","51.1","±0.3"
"    Sex ratio (males per 100 females)","98.0","±0.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","70.1","±0.6","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","39.8","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","30.3","±0.3","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.5%","(X)","(X)","(X)","(X)","(X)"
