"Label (Grouping)","Orange County, California!!Total!!Estimate","Orange County, California!!Total!!Margin of Error","Orange County, California!!Male!!Estimate","Orange County, California!!Male!!Margin of Error","Orange County, California!!Female!!Estimate","Orange County, California!!Female!!Margin of Error"
"Total population","3,021,840","*****","1,495,127","*****","1,526,713","*****"
"AGE","","","","","",""
"    Under 5 years","6.4%","*****","6.6%","*****","6.2%","*****"
"    5 to 9 years","6.6%","±0.1","6.9%","±0.1","6.4%","±0.1"
"    10 to 14 years","6.9%","±0.1","7.1%","±0.1","6.7%","±0.1"
"    15 to 19 years","7.4%","±0.1","7.7%","*****","7.1%","±0.1"
"    20 to 24 years","7.2%","±0.1","7.5%","*****","6.9%","±0.1"
"    25 to 29 years","7.2%","*****","7.5%","*****","6.9%","*****"
"    30 to 34 years","6.6%","*****","6.8%","*****","6.5%","*****"
"    35 to 39 years","7.1%","±0.1","7.2%","±0.1","7.0%","±0.1"
"    40 to 44 years","7.5%","±0.1","7.4%","±0.1","7.5%","±0.1"
"    45 to 49 years","7.6%","*****","7.6%","*****","7.6%","*****"
"    50 to 54 years","7.1%","*****","7.1%","*****","7.1%","*****"
"    55 to 59 years","5.9%","±0.1","5.9%","±0.1","5.9%","±0.1"
"    60 to 64 years","4.8%","±0.1","4.6%","±0.1","5.1%","±0.1"
"    65 to 69 years","3.6%","±0.1","3.4%","±0.1","3.7%","±0.1"
"    70 to 74 years","2.7%","±0.1","2.5%","±0.1","3.0%","±0.1"
"    75 to 79 years","2.1%","±0.1","1.9%","±0.1","2.3%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.3%","±0.1","2.0%","±0.1"
"    85 years and over","1.7%","±0.1","1.2%","±0.1","2.2%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.5%","*****","14.0%","*****","13.1%","*****"
"    15 to 17 years","4.5%","*****","4.6%","*****","4.3%","*****"
"    18 to 24 years","10.1%","*****","10.5%","*****","9.7%","*****"
"    15 to 44 years","43.0%","*****","44.0%","*****","42.0%","*****"
"    16 years and over","78.7%","±0.1","78.0%","±0.1","79.4%","±0.1"
"    18 years and over","75.6%","*****","74.8%","*****","76.5%","*****"
"    60 years and over","16.6%","±0.1","14.8%","±0.1","18.2%","±0.1"
"    62 years and over","14.5%","±0.1","12.9%","±0.1","16.1%","±0.1"
"    65 years and over","11.7%","*****","10.3%","*****","13.1%","*****"
"    75 years and over","5.4%","±0.1","4.4%","±0.1","6.5%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.2","±0.1","35.0","±0.1","37.4","±0.2"
"    Sex ratio (males per 100 females)","97.9","*****","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.5","*****","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","18.3","*****","(X)","(X)","(X)","(X)"
"        Child dependency ratio","38.2","*****","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
