"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Percent!!Estimate","Santa Clara County, California!!Percent!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Percent Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Santa Clara County, California!!Percent Female!!Estimate","Santa Clara County, California!!Percent Female!!Margin of Error"
"Total population","1,885,508","*****","(X)","(X)","963,131","±1,167","(X)","(X)","922,377","±1,167","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","100,945","±572","5.4%","±0.1","53,361","±717","5.5%","±0.1","47,584","±527","5.2%","±0.1"
"        5 to 9 years","103,344","±3,969","5.5%","±0.2","52,907","±2,570","5.5%","±0.3","50,437","±3,084","5.5%","±0.3"
"        10 to 14 years","122,010","±4,044","6.5%","±0.2","63,245","±2,625","6.6%","±0.3","58,765","±3,192","6.4%","±0.3"
"        15 to 19 years","117,260","±1,131","6.2%","±0.1","60,295","±964","6.3%","±0.1","56,965","±726","6.2%","±0.1"
"        20 to 24 years","110,196","±994","5.8%","±0.1","57,273","±922","5.9%","±0.1","52,923","±431","5.7%","±0.1"
"        25 to 29 years","141,448","±694","7.5%","±0.1","76,114","±355","7.9%","±0.1","65,334","±503","7.1%","±0.1"
"        30 to 34 years","155,616","±539","8.3%","±0.1","83,945","±298","8.7%","±0.1","71,671","±397","7.8%","±0.1"
"        35 to 39 years","147,440","±4,261","7.8%","±0.2","76,918","±2,893","8.0%","±0.3","70,522","±2,973","7.6%","±0.3"
"        40 to 44 years","127,597","±4,399","6.8%","±0.2","66,687","±2,885","6.9%","±0.3","60,910","±2,960","6.6%","±0.3"
"        45 to 49 years","127,639","±326","6.8%","±0.1","64,967","±314","6.7%","±0.1","62,672","±163","6.8%","±0.1"
"        50 to 54 years","127,969","±604","6.8%","±0.1","65,103","±309","6.8%","±0.1","62,866","±444","6.8%","±0.1"
"        55 to 59 years","126,199","±5,032","6.7%","±0.3","63,822","±3,364","6.6%","±0.4","62,377","±3,168","6.8%","±0.3"
"        60 to 64 years","104,673","±4,956","5.6%","±0.3","54,050","±3,323","5.6%","±0.3","50,623","±3,154","5.5%","±0.3"
"        65 to 69 years","88,931","±3,180","4.7%","±0.2","41,478","±2,101","4.3%","±0.2","47,453","±2,409","5.1%","±0.3"
"        70 to 74 years","67,501","±3,276","3.6%","±0.2","33,026","±2,170","3.4%","±0.2","34,475","±2,478","3.7%","±0.3"
"        75 to 79 years","49,234","±2,415","2.6%","±0.1","20,374","±1,429","2.1%","±0.1","28,860","±2,035","3.1%","±0.2"
"        80 to 84 years","31,615","±2,339","1.7%","±0.1","15,008","±1,684","1.6%","±0.2","16,607","±1,700","1.8%","±0.2"
"        85 years and over","35,891","±2,450","1.9%","±0.1","14,558","±1,433","1.5%","±0.1","21,333","±1,902","2.3%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","225,354","±622","12.0%","±0.1","116,152","±752","12.1%","±0.1","109,202","±869","11.8%","±0.1"
"        15 to 17 years","72,860","±801","3.9%","±0.1","37,620","±798","3.9%","±0.1","35,240","±395","3.8%","±0.1"
"        Under 18 years","399,159","±739","21.2%","±0.1","207,133","±1,496","21.5%","±0.1","192,026","±1,070","20.8%","±0.1"
"        18 to 24 years","154,596","±833","8.2%","±0.1","79,948","±768","8.3%","±0.1","74,648","±422","8.1%","±0.1"
"        15 to 44 years","799,557","±919","42.4%","±0.1","421,232","±906","43.7%","±0.1","378,325","±356","41.0%","±0.1"
"        16 years and over","1,535,714","±2,281","81.4%","±0.1","780,623","±1,950","81.1%","±0.2","755,091","±1,492","81.9%","±0.2"
"        18 years and over","1,486,349","±739","78.8%","±0.1","755,998","±874","78.5%","±0.1","730,351","±411","79.2%","±0.1"
"        21 years and over","1,421,123","±1,978","75.4%","±0.1","722,174","±1,725","75.0%","±0.2","698,949","±1,366","75.8%","±0.2"
"        60 years and over","377,845","±5,033","20.0%","±0.3","178,494","±3,364","18.5%","±0.3","199,351","±3,164","21.6%","±0.3"
"        62 years and over","331,832","±3,563","17.6%","±0.2","154,389","±2,426","16.0%","±0.2","177,443","±2,656","19.2%","±0.3"
"        65 years and over","273,172","±411","14.5%","±0.1","124,444","±454","12.9%","±0.1","148,728","±239","16.1%","±0.1"
"        75 years and over","116,740","±447","6.2%","±0.1","49,940","±417","5.2%","±0.1","66,800","±150","7.2%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.2","±0.2","(X)","(X)","37.3","±0.2","(X)","(X)","39.2","±0.2","(X)","(X)"
"        Sex ratio (males per 100 females)","104.4","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","55.4","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","22.5","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","32.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
