"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Percent!!Estimate","Santa Clara County, California!!Percent!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Percent Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Santa Clara County, California!!Percent Female!!Estimate","Santa Clara County, California!!Percent Female!!Margin of Error","ZCTA5 95112!!Total!!Estimate","ZCTA5 95112!!Total!!Margin of Error","ZCTA5 95112!!Percent!!Estimate","ZCTA5 95112!!Percent!!Margin of Error","ZCTA5 95112!!Male!!Estimate","ZCTA5 95112!!Male!!Margin of Error","ZCTA5 95112!!Percent Male!!Estimate","ZCTA5 95112!!Percent Male!!Margin of Error","ZCTA5 95112!!Female!!Estimate","ZCTA5 95112!!Female!!Margin of Error","ZCTA5 95112!!Percent Female!!Estimate","ZCTA5 95112!!Percent Female!!Margin of Error"
"Total population","1,924,379","*****","(X)","(X)","974,741","±256","(X)","(X)","949,638","±256","(X)","(X)","59,959","±2,281","(X)","(X)","31,472","±1,597","(X)","(X)","28,487","±1,423","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","113,558","±281","5.9%","±0.1","58,467","±294","6.0%","±0.1","55,091","±226","5.8%","±0.1","2,848","±513","4.7%","±0.8","1,310","±348","4.2%","±1.1","1,538","±343","5.4%","±1.1"
"        5 to 9 years","116,187","±1,859","6.0%","±0.1","60,081","±1,310","6.2%","±0.1","56,106","±1,408","5.9%","±0.1","2,339","±391","3.9%","±0.6","1,239","±261","3.9%","±0.8","1,100","±282","3.9%","±1.0"
"        10 to 14 years","121,890","±1,856","6.3%","±0.1","62,244","±1,304","6.4%","±0.1","59,646","±1,407","6.3%","±0.1","2,397","±413","4.0%","±0.7","1,279","±306","4.1%","±0.9","1,118","±207","3.9%","±0.7"
"        15 to 19 years","114,160","±115","5.9%","±0.1","58,505","±138","6.0%","±0.1","55,655","±122","5.9%","±0.1","4,681","±564","7.8%","±0.9","2,503","±342","8.0%","±1.0","2,178","±397","7.6%","±1.3"
"        20 to 24 years","117,877","±114","6.1%","±0.1","61,802","±92","6.3%","±0.1","56,075","±73","5.9%","±0.1","9,733","±1,152","16.2%","±1.6","4,894","±695","15.6%","±1.9","4,839","±834","17.0%","±2.4"
"        25 to 29 years","155,965","*****","8.1%","*****","84,712","*****","8.7%","±0.1","71,253","*****","7.5%","±0.1","6,455","±667","10.8%","±1.1","3,621","±558","11.5%","±1.6","2,834","±430","9.9%","±1.5"
"        30 to 34 years","156,698","*****","8.1%","*****","83,617","*****","8.6%","±0.1","73,081","*****","7.7%","±0.1","5,765","±733","9.6%","±1.2","3,153","±466","10.0%","±1.3","2,612","±447","9.2%","±1.5"
"        35 to 39 years","143,104","±2,402","7.4%","±0.1","74,825","±1,628","7.7%","±0.2","68,279","±1,519","7.2%","±0.2","4,202","±485","7.0%","±0.8","2,442","±353","7.8%","±1.1","1,760","±277","6.2%","±1.0"
"        40 to 44 years","135,007","±2,403","7.0%","±0.1","68,152","±1,628","7.0%","±0.2","66,855","±1,519","7.0%","±0.2","3,159","±571","5.3%","±0.9","1,822","±440","5.8%","±1.4","1,337","±290","4.7%","±1.0"
"        45 to 49 years","134,779","±94","7.0%","±0.1","67,825","*****","7.0%","±0.1","66,954","±92","7.1%","±0.1","3,063","±487","5.1%","±0.8","1,609","±345","5.1%","±1.1","1,454","±248","5.1%","±0.9"
"        50 to 54 years","128,417","±94","6.7%","±0.1","65,242","*****","6.7%","±0.1","63,175","±93","6.7%","±0.1","3,362","±391","5.6%","±0.7","1,917","±332","6.1%","±1.1","1,445","±243","5.1%","±0.9"
"        55 to 59 years","122,505","±1,699","6.4%","±0.1","60,665","±1,166","6.2%","±0.1","61,840","±1,234","6.5%","±0.1","3,374","±416","5.6%","±0.7","1,849","±322","5.9%","±1.0","1,525","±228","5.4%","±0.8"
"        60 to 64 years","104,244","±1,699","5.4%","±0.1","52,702","±1,166","5.4%","±0.1","51,542","±1,234","5.4%","±0.1","2,705","±350","4.5%","±0.6","1,446","±260","4.6%","±0.8","1,259","±238","4.4%","±0.8"
"        65 to 69 years","83,532","±1,377","4.3%","±0.1","40,060","±917","4.1%","±0.1","43,472","±840","4.6%","±0.1","2,025","±285","3.4%","±0.5","884","±187","2.8%","±0.6","1,141","±215","4.0%","±0.7"
"        70 to 74 years","61,207","±1,368","3.2%","±0.1","27,231","±917","2.8%","±0.1","33,976","±839","3.6%","±0.1","1,511","±253","2.5%","±0.4","581","±147","1.8%","±0.5","930","±188","3.3%","±0.7"
"        75 to 79 years","45,079","±1,297","2.3%","±0.1","21,240","±910","2.2%","±0.1","23,839","±925","2.5%","±0.1","817","±211","1.4%","±0.4","487","±147","1.5%","±0.5","330","±146","1.2%","±0.5"
"        80 to 84 years","32,202","±1,195","1.7%","±0.1","13,198","±714","1.4%","±0.1","19,004","±839","2.0%","±0.1","746","±260","1.2%","±0.4","221","±108","0.7%","±0.3","525","±252","1.8%","±0.9"
"        85 years and over","37,968","±1,173","2.0%","±0.1","14,173","±714","1.5%","±0.1","23,795","±911","2.5%","±0.1","777","±214","1.3%","±0.4","215","±120","0.7%","±0.4","562","±151","2.0%","±0.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","238,077","±280","12.4%","±0.1","122,325","±280","12.5%","±0.1","115,752","*****","12.2%","±0.1","4,736","±619","7.9%","±1.0","2,518","±437","8.0%","±1.4","2,218","±339","7.8%","±1.2"
"        15 to 17 years","70,353","*****","3.7%","*****","35,931","±100","3.7%","±0.1","34,422","±100","3.6%","±0.1","1,253","±257","2.1%","±0.4","804","±208","2.6%","±0.6","449","±132","1.6%","±0.5"
"        Under 18 years","421,988","*****","21.9%","*****","216,723","±256","22.2%","±0.1","205,265","±256","21.6%","±0.1","8,837","±883","14.7%","±1.3","4,632","±607","14.7%","±1.8","4,205","±494","14.8%","±1.6"
"        18 to 24 years","161,684","*****","8.4%","*****","84,376","*****","8.7%","±0.1","77,308","*****","8.1%","±0.1","13,161","±1,301","21.9%","±1.7","6,593","±722","20.9%","±1.9","6,568","±943","23.1%","±2.5"
