"Label (Grouping)","Placer County, California!!Total!!Estimate","Placer County, California!!Total!!Margin of Error","Placer County, California!!Male!!Estimate","Placer County, California!!Male!!Margin of Error","Placer County, California!!Female!!Estimate","Placer County, California!!Female!!Margin of Error"
"Total population","370,571","*****","180,790","±97","189,781","±97"
"AGE","","","","","",""
"    Under 5 years","5.4%","±0.1","5.6%","±0.1","5.2%","±0.1"
"    5 to 9 years","6.5%","±0.2","6.8%","±0.3","6.1%","±0.3"
"    10 to 14 years","6.8%","±0.2","7.1%","±0.3","6.6%","±0.3"
"    15 to 19 years","6.6%","±0.1","6.9%","±0.1","6.2%","±0.1"
"    20 to 24 years","5.5%","±0.1","5.8%","±0.1","5.1%","±0.1"
"    25 to 29 years","5.2%","±0.1","5.5%","±0.1","5.0%","±0.1"
"    30 to 34 years","5.8%","±0.1","5.9%","±0.1","5.7%","±0.1"
"    35 to 39 years","6.2%","±0.2","6.2%","±0.3","6.2%","±0.3"
"    40 to 44 years","6.6%","±0.2","6.6%","±0.3","6.5%","±0.3"
"    45 to 49 years","7.0%","±0.1","7.0%","±0.1","7.0%","±0.1"
"    50 to 54 years","7.4%","±0.1","7.4%","±0.1","7.3%","±0.1"
"    55 to 59 years","7.0%","±0.2","6.7%","±0.3","7.3%","±0.3"
"    60 to 64 years","6.2%","±0.2","6.2%","±0.3","6.3%","±0.3"
"    65 to 69 years","5.6%","±0.2","5.3%","±0.2","5.9%","±0.2"
"    70 to 74 years","4.5%","±0.2","4.3%","±0.2","4.7%","±0.2"
"    75 to 79 years","3.2%","±0.1","3.0%","±0.2","3.3%","±0.2"
"    80 to 84 years","2.2%","±0.1","2.1%","±0.2","2.4%","±0.2"
"    85 years and over","2.3%","±0.1","1.7%","±0.2","3.0%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.3%","±0.1","13.9%","±0.1","12.7%","±0.1"
"    15 to 17 years","4.2%","±0.1","4.4%","±0.1","4.1%","±0.1"
"    18 to 24 years","7.8%","±0.1","8.3%","±0.1","7.3%","±0.1"
"    15 to 44 years","35.9%","±0.1","36.9%","±0.1","34.8%","±0.1"
"    16 years and over","79.8%","±0.1","78.9%","±0.2","80.7%","±0.1"
"    18 years and over","77.0%","*****","76.0%","±0.1","78.0%","±0.1"
"    60 years and over","24.1%","±0.2","22.5%","±0.3","25.6%","±0.3"
"    62 years and over","21.5%","±0.2","19.9%","±0.2","23.1%","±0.3"
"    65 years and over","17.9%","±0.1","16.3%","±0.1","19.3%","±0.1"
"    75 years and over","7.8%","±0.1","6.8%","±0.1","8.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","41.5","±0.2","40.1","±0.3","42.8","±0.2"
"    Sex ratio (males per 100 females)","95.3","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.0","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","30.2","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","38.8","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
