"Label (Grouping)","Plumas County, California!!Total!!Estimate","Plumas County, California!!Total!!Margin of Error","Plumas County, California!!Male!!Estimate","Plumas County, California!!Male!!Margin of Error","Plumas County, California!!Female!!Estimate","Plumas County, California!!Female!!Margin of Error"
"Total population","19,926","*****","10,031","±119","9,895","±119"
"AGE","","","","","",""
"    Under 5 years","4.5%","±0.4","4.9%","±0.7","4.2%","±0.5"
"    5 to 9 years","4.6%","±0.7","4.7%","±0.8","4.5%","±1.3"
"    10 to 14 years","5.7%","±0.9","5.9%","±1.0","5.5%","±1.4"
"    15 to 19 years","5.4%","±0.8","6.5%","±0.8","4.3%","±1.4"
"    20 to 24 years","4.5%","±0.8","3.9%","±0.2","5.1%","±1.6"
"    25 to 29 years","4.2%","±0.6","4.3%","±0.8","4.1%","±0.7"
"    30 to 34 years","4.8%","±0.7","5.0%","±1.0","4.6%","±0.7"
"    35 to 39 years","4.5%","±1.0","4.6%","±1.5","4.4%","±1.1"
"    40 to 44 years","5.9%","±1.0","5.7%","±1.3","6.2%","±1.2"
"    45 to 49 years","6.5%","±0.5","6.5%","±0.8","6.6%","±0.4"
"    50 to 54 years","8.8%","±0.5","8.2%","±0.7","9.4%","±0.6"
"    55 to 59 years","10.5%","±1.3","11.3%","±1.5","9.8%","±2.0"
"    60 to 64 years","8.5%","±1.3","7.8%","±1.5","9.2%","±2.0"
"    65 to 69 years","8.5%","±0.9","8.5%","±1.2","8.4%","±1.1"
"    70 to 74 years","4.8%","±0.8","5.0%","±1.1","4.7%","±1.1"
"    75 to 79 years","3.2%","±0.6","3.4%","±0.8","2.9%","±0.9"
"    80 to 84 years","3.1%","±0.6","2.8%","±0.8","3.4%","±1.0"
"    85 years and over","1.9%","±0.6","1.1%","±0.6","2.7%","±0.9"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.3%","±0.7","10.6%","±0.9","10.0%","±1.2"
"    15 to 17 years","3.4%","±0.4","3.6%","±0.5","3.1%","±0.5"
"    18 to 24 years","6.6%","±0.5","6.9%","±0.7","6.3%","±0.6"
"    15 to 44 years","29.4%","±0.7","30.0%","±0.9","28.7%","±1.0"
"    16 years and over","83.8%","±0.8","83.5%","±0.9","84.0%","±1.4"
"    18 years and over","81.8%","±0.6","80.9%","±0.8","82.7%","±1.1"
"    60 years and over","29.9%","±1.3","28.6%","±1.5","31.3%","±2.0"
"    62 years and over","26.4%","±0.9","25.7%","±1.4","27.2%","±1.4"
"    65 years and over","21.4%","±0.4","20.8%","±0.6","22.1%","±0.6"
"    75 years and over","8.1%","±0.3","7.3%","±0.4","9.0%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","49.4","±0.6","48.1","±1.0","50.3","±0.6"
"    Sex ratio (males per 100 females)","101.4","±2.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.6","±1.5","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","35.5","±0.8","(X)","(X)","(X)","(X)"
"        Child dependency ratio","30.2","±1.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
