"Label (Grouping)","Riverside County, California!!Total!!Estimate","Riverside County, California!!Total!!Margin of Error","Riverside County, California!!Male!!Estimate","Riverside County, California!!Male!!Margin of Error","Riverside County, California!!Female!!Estimate","Riverside County, California!!Female!!Margin of Error"
"Total population","2,192,982","*****","1,091,924","*****","1,101,058","*****"
"AGE","","","","","",""
"    Under 5 years","7.4%","*****","7.6%","*****","7.3%","*****"
"    5 to 9 years","7.6%","±0.1","7.7%","±0.2","7.5%","±0.1"
"    10 to 14 years","8.1%","±0.1","8.3%","±0.2","7.8%","±0.1"
"    15 to 19 years","8.4%","±0.1","8.7%","±0.1","8.1%","*****"
"    20 to 24 years","7.1%","±0.1","7.4%","±0.1","6.9%","±0.1"
"    25 to 29 years","6.6%","±0.1","6.7%","*****","6.5%","±0.1"
"    30 to 34 years","6.4%","*****","6.4%","*****","6.4%","*****"
"    35 to 39 years","6.6%","±0.1","6.5%","±0.2","6.7%","±0.1"
"    40 to 44 years","6.8%","±0.1","6.9%","±0.2","6.7%","±0.1"
"    45 to 49 years","6.9%","*****","7.0%","*****","6.8%","*****"
"    50 to 54 years","6.4%","*****","6.4%","*****","6.3%","*****"
"    55 to 59 years","5.3%","±0.1","5.2%","±0.1","5.4%","±0.1"
"    60 to 64 years","4.5%","±0.1","4.3%","±0.1","4.6%","±0.1"
"    65 to 69 years","3.6%","±0.1","3.4%","±0.1","3.9%","±0.1"
"    70 to 74 years","2.9%","±0.1","2.7%","±0.1","3.0%","±0.1"
"    75 to 79 years","2.3%","±0.1","2.2%","±0.1","2.5%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.5%","±0.1","1.9%","±0.1"
"    85 years and over","1.4%","±0.1","1.1%","±0.1","1.8%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.7%","*****","16.0%","*****","15.3%","*****"
"    15 to 17 years","5.1%","*****","5.3%","*****","5.0%","*****"
"    18 to 24 years","10.4%","±0.1","10.8%","*****","10.0%","±0.1"
"    15 to 44 years","41.9%","*****","42.6%","*****","41.2%","*****"
"    16 years and over","75.2%","±0.1","74.6%","±0.1","75.8%","±0.1"
"    18 years and over","71.8%","*****","71.1%","*****","72.5%","*****"
"    60 years and over","16.4%","±0.1","15.1%","±0.1","17.7%","±0.1"
"    62 years and over","14.5%","±0.1","13.3%","±0.1","15.7%","±0.1"
"    65 years and over","11.9%","*****","10.8%","*****","13.1%","*****"
"    75 years and over","5.4%","±0.1","4.7%","±0.1","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.7","±0.1","32.7","±0.1","34.7","±0.2"
"    Sex ratio (males per 100 females)","99.2","*****","(X)","(X)","(X)","(X)"
"    Age dependency ratio","67.1","*****","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","19.9","*****","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.1","*****","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
