"Label (Grouping)","Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Total!!Margin of Error","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Male!!Margin of Error","Sacramento County, California!!Female!!Estimate","Sacramento County, California!!Female!!Margin of Error"
"Total population","1,479,300","*****","722,955","*****","756,345","*****"
"AGE","","","","","",""
"    Under 5 years","6.7%","*****","7.0%","*****","6.4%","*****"
"    5 to 9 years","6.8%","±0.1","7.1%","±0.1","6.5%","±0.2"
"    10 to 14 years","6.8%","±0.1","7.1%","±0.1","6.5%","±0.2"
"    15 to 19 years","6.5%","*****","6.8%","*****","6.2%","*****"
"    20 to 24 years","7.0%","*****","7.3%","*****","6.8%","*****"
"    25 to 29 years","7.8%","*****","7.9%","*****","7.6%","*****"
"    30 to 34 years","7.4%","*****","7.5%","*****","7.2%","*****"
"    35 to 39 years","6.5%","±0.1","6.6%","±0.1","6.3%","±0.2"
"    40 to 44 years","6.5%","±0.1","6.5%","±0.1","6.6%","±0.2"
"    45 to 49 years","6.5%","*****","6.6%","*****","6.4%","*****"
"    50 to 54 years","6.8%","*****","6.8%","*****","6.9%","*****"
"    55 to 59 years","6.4%","±0.1","6.2%","±0.1","6.5%","±0.1"
"    60 to 64 years","5.5%","±0.1","5.2%","±0.1","5.8%","±0.1"
"    65 to 69 years","4.3%","±0.1","4.0%","±0.1","4.7%","±0.1"
"    70 to 74 years","2.9%","±0.1","2.7%","±0.1","3.1%","±0.1"
"    75 to 79 years","2.2%","±0.1","1.9%","±0.1","2.4%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.4%","±0.1","1.8%","±0.1"
"    85 years and over","1.8%","±0.1","1.2%","±0.1","2.3%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.6%","*****","14.2%","*****","13.0%","*****"
"    15 to 17 years","4.1%","*****","4.3%","*****","3.9%","*****"
"    18 to 24 years","9.4%","*****","9.9%","*****","9.1%","*****"
"    15 to 44 years","41.7%","*****","42.7%","*****","40.7%","*****"
"    16 years and over","78.4%","±0.1","77.4%","±0.1","79.4%","±0.1"
"    18 years and over","75.6%","*****","74.5%","*****","76.6%","*****"
"    60 years and over","18.3%","±0.1","16.5%","±0.1","20.1%","±0.1"
"    62 years and over","16.0%","±0.1","14.2%","±0.1","17.6%","±0.1"
"    65 years and over","12.8%","*****","11.2%","*****","14.3%","*****"
"    75 years and over","5.5%","±0.1","4.5%","*****","6.5%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.7","±0.1","34.5","±0.1","37.0","±0.1"
"    Sex ratio (males per 100 females)","95.6","*****","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.2","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","20.4","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","38.8","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
