"Label (Grouping)","San Benito County, California!!Total!!Estimate","San Benito County, California!!Total!!Margin of Error","San Benito County, California!!Male!!Estimate","San Benito County, California!!Male!!Margin of Error","San Benito County, California!!Female!!Estimate","San Benito County, California!!Female!!Margin of Error"
"Total population","58,051","*****","29,062","±86","28,989","±86"
"AGE","","","","","",""
"    Under 5 years","6.8%","±0.1","6.9%","±0.1","6.6%","±0.1"
"    5 to 9 years","7.4%","±0.6","6.7%","±0.8","8.1%","±0.8"
"    10 to 14 years","8.0%","±0.6","8.8%","±0.8","7.2%","±0.8"
"    15 to 19 years","7.7%","±0.1","7.9%","±0.2","7.5%","±0.2"
"    20 to 24 years","7.0%","±0.2","7.2%","±0.2","6.7%","±0.2"
"    25 to 29 years","6.5%","±0.1","6.6%","±0.1","6.3%","±0.3"
"    30 to 34 years","6.6%","±0.1","6.8%","±0.2","6.4%","±0.1"
"    35 to 39 years","6.4%","±0.6","6.3%","±0.8","6.4%","±0.7"
"    40 to 44 years","6.6%","±0.6","6.6%","±0.8","6.5%","±0.7"
"    45 to 49 years","7.0%","±0.2","6.7%","±0.1","7.3%","±0.2"
"    50 to 54 years","7.2%","±0.1","7.1%","±0.2","7.2%","±0.2"
"    55 to 59 years","6.4%","±0.4","6.9%","±0.5","5.9%","±0.6"
"    60 to 64 years","5.4%","±0.4","5.0%","±0.5","5.9%","±0.6"
"    65 to 69 years","3.8%","±0.3","3.7%","±0.4","3.9%","±0.5"
"    70 to 74 years","2.9%","±0.3","2.9%","±0.4","2.9%","±0.4"
"    75 to 79 years","1.9%","±0.3","1.7%","±0.3","2.1%","±0.4"
"    80 to 84 years","1.2%","±0.2","1.3%","±0.3","1.2%","±0.3"
"    85 years and over","1.5%","±0.2","0.9%","±0.2","2.0%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.4%","±0.1","15.5%","±0.1","15.3%","±0.2"
"    15 to 17 years","4.9%","±0.1","5.0%","±0.1","4.8%","±0.1"
"    18 to 24 years","9.8%","±0.2","10.1%","±0.2","9.4%","±0.3"
"    15 to 44 years","40.7%","±0.2","41.5%","±0.3","39.9%","±0.3"
"    16 years and over","76.2%","±0.3","75.8%","±0.4","76.6%","±0.4"
"    18 years and over","72.9%","±0.1","72.6%","±0.2","73.3%","±0.2"
"    60 years and over","16.7%","±0.4","15.4%","±0.6","17.9%","±0.6"
"    62 years and over","14.4%","±0.4","13.7%","±0.6","15.1%","±0.5"
"    65 years and over","11.2%","±0.1","10.5%","±0.1","12.0%","±0.1"
"    75 years and over","4.6%","±0.1","3.9%","±0.1","5.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.1","±0.2","34.3","±0.4","35.9","±0.5"
"    Sex ratio (males per 100 females)","100.3","±0.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","62.0","±0.3","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","18.2","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.8","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.7%","(X)","(X)","(X)","(X)","(X)"
