"Label (Grouping)","San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Total!!Margin of Error","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Male!!Margin of Error","San Bernardino County, California!!Female!!Estimate","San Bernardino County, California!!Female!!Margin of Error"
"Total population","2,041,029","*****","1,015,499","±102","1,025,530","±102"
"AGE","","","","","",""
"    Under 5 years","7.8%","*****","8.0%","±0.1","7.6%","±0.1"
"    5 to 9 years","7.7%","±0.1","7.9%","±0.2","7.5%","±0.2"
"    10 to 14 years","8.3%","±0.1","8.5%","±0.2","8.0%","±0.2"
"    15 to 19 years","8.7%","±0.1","9.0%","±0.1","8.4%","±0.1"
"    20 to 24 years","8.0%","±0.1","8.3%","±0.1","7.6%","±0.1"
"    25 to 29 years","7.2%","*****","7.4%","±0.1","7.1%","±0.1"
"    30 to 34 years","6.7%","*****","6.7%","±0.1","6.7%","±0.1"
"    35 to 39 years","6.7%","±0.1","6.7%","±0.1","6.7%","±0.1"
"    40 to 44 years","6.7%","±0.1","6.7%","±0.1","6.8%","±0.1"
"    45 to 49 years","6.9%","±0.1","6.9%","±0.1","7.0%","±0.1"
"    50 to 54 years","6.6%","±0.1","6.5%","±0.1","6.7%","±0.1"
"    55 to 59 years","5.4%","±0.1","5.2%","±0.1","5.5%","±0.1"
"    60 to 64 years","4.3%","±0.1","4.3%","±0.1","4.4%","±0.1"
"    65 to 69 years","3.0%","±0.1","2.8%","±0.1","3.2%","±0.1"
"    70 to 74 years","2.2%","±0.1","2.1%","±0.1","2.3%","±0.1"
"    75 to 79 years","1.6%","±0.1","1.4%","±0.1","1.8%","±0.1"
"    80 to 84 years","1.2%","±0.1","1.0%","±0.1","1.4%","±0.1"
"    85 years and over","1.1%","±0.1","0.7%","±0.1","1.4%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.9%","*****","16.4%","±0.1","15.5%","±0.1"
"    15 to 17 years","5.3%","*****","5.5%","±0.1","5.2%","±0.1"
"    18 to 24 years","11.3%","*****","11.8%","±0.1","10.8%","±0.1"
"    15 to 44 years","44.0%","±0.1","44.8%","±0.1","43.3%","±0.1"
"    16 years and over","74.6%","±0.1","73.9%","±0.1","75.2%","±0.1"
"    18 years and over","70.9%","*****","70.1%","±0.1","71.7%","±0.1"
"    60 years and over","13.3%","±0.1","12.2%","±0.1","14.4%","±0.1"
"    62 years and over","11.4%","±0.1","10.3%","±0.1","12.5%","±0.1"
"    65 years and over","9.0%","±0.1","8.0%","±0.1","10.0%","±0.1"
"    75 years and over","3.8%","±0.1","3.1%","±0.1","4.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.7","±0.1","30.6","±0.1","32.8","±0.1"
"    Sex ratio (males per 100 females)","99.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.5","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","14.5","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
