"Label (Grouping)","San Diego County, California!!Total!!Estimate","San Diego County, California!!Total!!Margin of Error","San Diego County, California!!Male!!Estimate","San Diego County, California!!Male!!Margin of Error","San Diego County, California!!Female!!Estimate","San Diego County, California!!Female!!Margin of Error"
"Total population","3,177,063","*****","1,596,686","±373","1,580,377","±373"
"AGE","","","","","",""
"    Under 5 years","6.6%","*****","6.7%","±0.1","6.4%","±0.1"
"    5 to 9 years","6.3%","±0.2","6.4%","±0.2","6.1%","±0.3"
"    10 to 14 years","6.1%","±0.2","6.2%","±0.2","6.1%","±0.3"
"    15 to 19 years","6.9%","±0.1","7.2%","±0.1","6.5%","±0.1"
"    20 to 24 years","8.7%","±0.1","9.5%","±0.1","7.9%","±0.1"
"    25 to 29 years","8.2%","*****","8.6%","±0.1","7.8%","±0.1"
"    30 to 34 years","7.4%","±0.1","7.6%","±0.1","7.2%","±0.1"
"    35 to 39 years","6.8%","±0.2","6.9%","±0.3","6.6%","±0.2"
"    40 to 44 years","6.6%","±0.2","6.5%","±0.3","6.7%","±0.2"
"    45 to 49 years","6.6%","±0.1","6.6%","±0.1","6.7%","±0.1"
"    50 to 54 years","6.8%","±0.1","6.7%","±0.1","6.9%","±0.1"
"    55 to 59 years","6.2%","±0.2","5.9%","±0.2","6.5%","±0.2"
"    60 to 64 years","4.9%","±0.2","4.8%","±0.2","5.1%","±0.2"
"    65 to 69 years","3.7%","±0.1","3.4%","±0.1","3.9%","±0.2"
"    70 to 74 years","2.7%","±0.1","2.5%","±0.1","3.0%","±0.2"
"    75 to 79 years","1.9%","±0.1","1.6%","±0.1","2.2%","±0.1"
"    80 to 84 years","1.8%","±0.1","1.5%","±0.1","2.0%","±0.1"
"    85 years and over","1.9%","±0.1","1.4%","±0.1","2.4%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.4%","*****","12.6%","±0.1","12.2%","±0.1"
"    15 to 17 years","3.9%","*****","4.0%","±0.1","3.8%","±0.1"
"    18 to 24 years","11.7%","*****","12.7%","±0.1","10.7%","±0.1"
"    15 to 44 years","44.5%","±0.1","46.2%","±0.1","42.8%","±0.1"
"    16 years and over","79.8%","±0.1","79.5%","±0.1","80.2%","±0.1"
"    18 years and over","77.1%","*****","76.7%","±0.1","77.6%","±0.1"
"    60 years and over","16.9%","±0.2","15.2%","±0.2","18.6%","±0.2"
"    62 years and over","14.9%","±0.2","13.2%","±0.2","16.5%","±0.2"
"    65 years and over","12.0%","±0.1","10.4%","±0.1","13.5%","±0.1"
"    75 years and over","5.5%","±0.1","4.5%","±0.1","6.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.9","±0.1","33.5","±0.2","36.4","±0.1"
"    Sex ratio (males per 100 females)","101.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","53.4","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","18.3","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.1","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.1%","(X)","(X)","(X)","(X)","(X)"
