"Label (Grouping)","San Diego County, California!!Total!!Estimate","San Diego County, California!!Total!!Margin of Error","San Diego County, California!!Male!!Estimate","San Diego County, California!!Male!!Margin of Error","San Diego County, California!!Female!!Estimate","San Diego County, California!!Female!!Margin of Error"
"Total population","3,317,749","*****","1,667,581","±1,080","1,650,168","±1,080"
"AGE","","","","","",""
"    Under 5 years","6.4%","±0.1","6.6%","±0.1","6.3%","±0.1"
"    5 to 9 years","6.0%","±0.2","5.9%","±0.2","6.0%","±0.2"
"    10 to 14 years","6.0%","±0.2","6.2%","±0.2","5.8%","±0.2"
"    15 to 19 years","6.3%","±0.1","6.5%","±0.1","6.1%","±0.1"
"    20 to 24 years","7.9%","±0.1","8.9%","±0.1","7.0%","±0.1"
"    25 to 29 years","8.7%","±0.1","9.0%","±0.1","8.3%","±0.1"
"    30 to 34 years","7.7%","±0.1","8.0%","±0.1","7.5%","±0.1"
"    35 to 39 years","6.9%","±0.2","7.0%","±0.3","6.8%","±0.2"
"    40 to 44 years","6.2%","±0.2","6.2%","±0.3","6.2%","±0.2"
"    45 to 49 years","6.4%","±0.1","6.3%","±0.1","6.5%","±0.1"
"    50 to 54 years","6.4%","±0.1","6.3%","±0.1","6.4%","±0.1"
"    55 to 59 years","6.1%","±0.2","6.0%","±0.3","6.3%","±0.2"
"    60 to 64 years","5.6%","±0.2","5.3%","±0.3","5.9%","±0.2"
"    65 to 69 years","4.6%","±0.1","4.3%","±0.2","4.8%","±0.2"
"    70 to 74 years","3.2%","±0.1","2.8%","±0.2","3.5%","±0.2"
"    75 to 79 years","2.2%","±0.1","1.8%","±0.1","2.5%","±0.2"
"    80 to 84 years","1.6%","±0.1","1.5%","±0.1","1.7%","±0.1"
"    85 years and over","1.9%","±0.1","1.3%","±0.1","2.5%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.9%","±0.1","12.1%","±0.1","11.8%","±0.1"
"    15 to 17 years","3.6%","±0.1","3.6%","±0.1","3.5%","±0.1"
"    18 to 24 years","10.7%","±0.1","11.8%","±0.1","9.5%","±0.1"
"    15 to 44 years","43.7%","±0.1","45.6%","±0.1","41.8%","±0.1"
"    16 years and over","80.4%","±0.1","80.1%","±0.1","80.8%","±0.1"
"    18 years and over","78.0%","*****","77.7%","±0.1","78.4%","±0.1"
"    60 years and over","19.0%","±0.2","17.1%","±0.3","20.9%","±0.2"
"    62 years and over","16.6%","±0.1","14.8%","±0.2","18.4%","±0.2"
"    65 years and over","13.4%","±0.1","11.8%","±0.1","15.1%","±0.1"
"    75 years and over","5.7%","±0.1","4.7%","±0.1","6.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.7","±0.2","34.3","±0.2","37.2","±0.2"
"    Sex ratio (males per 100 females)","101.1","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","54.8","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","20.8","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","34.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.9%","(X)","(X)","(X)","(X)","(X)"
