"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Total!!Margin of Error","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Male!!Margin of Error","San Francisco County, California!!Female!!Estimate","San Francisco County, California!!Female!!Margin of Error"
"Total population","323,127,515","*****","159,061,631","±26,978","164,065,884","±26,978","870,887","*****","443,777","±659","427,110","±659"
"AGE","","","","","","","","","","","",""
"    Under 5 years","6.1%","±0.1","6.4%","±0.1","5.9%","±0.1","4.6%","±0.1","4.6%","±0.1","4.5%","±0.1"
"    5 to 9 years","6.3%","±0.1","6.6%","±0.1","6.1%","±0.1","3.8%","±0.2","3.8%","±0.3","3.8%","±0.3"
"    10 to 14 years","6.4%","±0.1","6.7%","±0.1","6.2%","±0.1","3.2%","±0.2","3.1%","±0.3","3.3%","±0.3"
"    15 to 19 years","6.7%","±0.1","6.9%","±0.1","6.4%","±0.1","3.5%","±0.1","3.5%","±0.1","3.6%","±0.2"
"    20 to 24 years","6.9%","±0.1","7.2%","±0.1","6.6%","±0.1","5.7%","±0.1","5.4%","±0.1","6.0%","±0.2"
"    25 to 29 years","7.0%","±0.1","7.2%","±0.1","6.8%","±0.1","11.9%","±0.1","12.0%","±0.1","11.9%","±0.1"
"    30 to 34 years","6.7%","±0.1","6.9%","±0.1","6.6%","±0.1","11.4%","±0.1","11.7%","±0.1","11.1%","±0.1"
"    35 to 39 years","6.5%","±0.1","6.5%","±0.1","6.4%","±0.1","8.8%","±0.4","9.3%","±0.5","8.2%","±0.5"
"    40 to 44 years","6.1%","±0.1","6.2%","±0.1","6.1%","±0.1","7.0%","±0.4","7.2%","±0.5","6.8%","±0.5"
"    45 to 49 years","6.5%","±0.1","6.5%","±0.1","6.4%","±0.1","7.1%","±0.1","7.6%","±0.1","6.6%","±0.1"
"    50 to 54 years","6.8%","±0.1","6.7%","±0.1","6.8%","±0.1","6.5%","±0.1","7.0%","±0.1","5.9%","±0.1"
"    55 to 59 years","6.7%","±0.1","6.6%","±0.1","6.8%","±0.1","5.8%","±0.3","5.8%","±0.4","5.8%","±0.4"
"    60 to 64 years","6.1%","±0.1","5.9%","±0.1","6.3%","±0.1","5.8%","±0.3","6.0%","±0.4","5.7%","±0.4"
"    65 to 69 years","5.2%","±0.1","5.0%","±0.1","5.4%","±0.1","4.8%","±0.2","4.7%","±0.3","5.0%","±0.3"
"    70 to 74 years","3.7%","±0.1","3.5%","±0.1","3.9%","±0.1","3.3%","±0.2","2.9%","±0.3","3.7%","±0.3"
"    75 to 79 years","2.6%","±0.1","2.3%","±0.1","2.8%","±0.1","2.5%","±0.2","2.4%","±0.2","2.5%","±0.3"
"    80 to 84 years","1.8%","±0.1","1.5%","±0.1","2.1%","±0.1","1.8%","±0.2","1.6%","±0.2","2.0%","±0.3"
"    85 years and over","1.9%","±0.1","1.4%","±0.1","2.5%","±0.1","2.5%","±0.2","1.6%","±0.2","3.5%","±0.3"
"SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"    5 to 14 years","12.7%","±0.1","13.2%","±0.1","12.3%","±0.1","7.0%","±0.1","7.0%","±0.1","7.0%","±0.1"
"    15 to 17 years","3.9%","±0.1","4.1%","±0.1","3.8%","±0.1","2.0%","±0.1","1.9%","±0.1","2.0%","±0.1"
"    18 to 24 years","9.6%","±0.1","10.0%","±0.1","9.2%","±0.1","7.3%","±0.1","6.9%","±0.1","7.6%","±0.1"
"    15 to 44 years","39.8%","±0.1","40.9%","±0.1","38.8%","±0.1","48.4%","±0.1","49.0%","±0.1","47.6%","±0.1"
"    16 years and over","79.8%","±0.1","79.0%","±0.1","80.6%","±0.1","87.6%","±0.1","87.6%","±0.2","87.6%","±0.2"
"    18 years and over","77.2%","±0.1","76.3%","±0.1","78.1%","±0.1","86.5%","±0.1","86.5%","±0.1","86.4%","±0.1"
"    60 years and over","21.3%","±0.1","19.6%","±0.1","23.0%","±0.1","20.7%","±0.3","19.0%","±0.4","22.4%","±0.4"
"    62 years and over","18.8%","±0.1","17.1%","±0.1","20.4%","±0.1","18.3%","±0.3","16.7%","±0.4","20.0%","±0.4"
"    65 years and over","15.2%","±0.1","13.7%","±0.1","16.7%","±0.1","14.9%","±0.1","13.0%","±0.1","16.7%","±0.1"
"    75 years and over","6.4%","±0.1","5.3%","±0.1","7.4%","±0.1","6.7%","±0.1","5.5%","±0.1","8.0%","±0.1"
"SUMMARY INDICATORS","","","","","","","","","","","",""
"    Median age (years)","37.9","±0.1","36.6","±0.1","39.2","±0.2","38.0","±0.3","37.7","±0.3","38.2","±0.4"
"    Sex ratio (males per 100 females)","96.9","±0.1","(X)","(X)","(X)","(X)","103.9","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.3","±0.1","(X)","(X)","(X)","(X)","39.7","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","24.6","±0.1","(X)","(X)","(X)","(X)","20.7","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","36.8","±0.1","(X)","(X)","(X)","(X)","18.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","(X)"
