"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Total!!Margin of Error","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Male!!Margin of Error","San Francisco County, California!!Female!!Estimate","San Francisco County, California!!Female!!Margin of Error"
"Total population","850,282","*****","433,226","±123","417,056","±123"
"AGE","","","","","",""
"    Under 5 years","4.6%","±0.1","4.6%","±0.1","4.5%","±0.1"
"    5 to 9 years","3.7%","±0.1","3.7%","±0.1","3.7%","±0.1"
"    10 to 14 years","3.3%","±0.1","3.2%","±0.1","3.3%","±0.1"
"    15 to 19 years","3.6%","±0.1","3.5%","±0.1","3.8%","±0.1"
"    20 to 24 years","6.2%","±0.1","5.9%","±0.1","6.4%","±0.1"
"    25 to 29 years","11.6%","±0.1","11.7%","±0.1","11.6%","±0.1"
"    30 to 34 years","11.0%","±0.1","11.3%","±0.1","10.7%","±0.1"
"    35 to 39 years","8.5%","±0.2","9.0%","±0.2","8.0%","±0.2"
"    40 to 44 years","7.6%","±0.2","7.8%","±0.2","7.3%","±0.2"
"    45 to 49 years","7.0%","±0.1","7.6%","±0.1","6.4%","±0.1"
"    50 to 54 years","6.5%","±0.1","7.0%","±0.1","6.1%","±0.1"
"    55 to 59 years","6.1%","±0.1","6.2%","±0.2","5.9%","±0.2"
"    60 to 64 years","5.9%","±0.1","5.9%","±0.2","6.0%","±0.2"
"    65 to 69 years","4.6%","±0.1","4.4%","±0.2","4.8%","±0.2"
"    70 to 74 years","3.0%","±0.1","2.7%","±0.2","3.3%","±0.2"
"    75 to 79 years","2.5%","±0.1","2.4%","±0.1","2.6%","±0.2"
"    80 to 84 years","1.9%","±0.1","1.6%","±0.1","2.3%","±0.1"
"    85 years and over","2.3%","±0.1","1.5%","±0.1","3.2%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","7.0%","±0.1","6.9%","±0.1","7.0%","±0.1"
"    15 to 17 years","2.0%","±0.1","2.0%","±0.1","2.0%","±0.1"
"    18 to 24 years","7.8%","±0.1","7.4%","±0.1","8.3%","±0.1"
"    15 to 44 years","48.5%","±0.1","49.2%","±0.1","47.8%","±0.1"
"    16 years and over","87.8%","±0.1","87.8%","±0.1","87.9%","±0.1"
"    18 years and over","86.5%","*****","86.5%","±0.1","86.5%","±0.1"
"    60 years and over","20.3%","±0.1","18.4%","±0.2","22.3%","±0.2"
"    62 years and over","17.9%","±0.1","16.0%","±0.2","19.9%","±0.2"
"    65 years and over","14.4%","±0.1","12.6%","±0.1","16.3%","±0.1"
"    75 years and over","6.8%","±0.1","5.4%","±0.1","8.1%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.4","±0.2","38.2","±0.2","38.5","±0.2"
"    Sex ratio (males per 100 females)","103.9","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","38.6","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","19.9","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","18.7","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.1%","(X)","(X)","(X)","(X)","(X)"
