"Label (Grouping)","San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Total!!Margin of Error","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Male!!Margin of Error","San Joaquin County, California!!Female!!Estimate","San Joaquin County, California!!Female!!Margin of Error"
"Total population","714,860","*****","355,719","±121","359,141","±121"
"AGE","","","","","",""
"    Under 5 years","7.3%","*****","7.6%","±0.1","7.1%","±0.1"
"    5 to 9 years","7.8%","±0.2","7.8%","±0.2","7.7%","±0.2"
"    10 to 14 years","8.0%","±0.2","8.4%","±0.2","7.6%","±0.2"
"    15 to 19 years","7.7%","±0.1","8.0%","±0.1","7.4%","±0.1"
"    20 to 24 years","7.3%","±0.1","7.6%","±0.1","7.0%","±0.1"
"    25 to 29 years","6.9%","±0.1","7.0%","±0.1","6.7%","±0.1"
"    30 to 34 years","6.7%","±0.1","6.8%","±0.1","6.6%","±0.1"
"    35 to 39 years","6.5%","±0.2","6.4%","±0.3","6.5%","±0.3"
"    40 to 44 years","6.4%","±0.2","6.4%","±0.2","6.4%","±0.3"
"    45 to 49 years","6.4%","±0.1","6.5%","±0.1","6.3%","±0.1"
"    50 to 54 years","6.5%","±0.1","6.5%","±0.1","6.5%","±0.1"
"    55 to 59 years","5.8%","±0.1","5.8%","±0.2","5.9%","±0.2"
"    60 to 64 years","5.0%","±0.1","4.8%","±0.2","5.2%","±0.2"
"    65 to 69 years","3.9%","±0.1","3.7%","±0.1","4.2%","±0.1"
"    70 to 74 years","2.9%","±0.1","2.6%","±0.1","3.1%","±0.1"
"    75 to 79 years","2.0%","±0.1","1.8%","±0.1","2.2%","±0.1"
"    80 to 84 years","1.4%","±0.1","1.2%","±0.1","1.6%","±0.1"
"    85 years and over","1.5%","±0.1","1.1%","±0.1","1.9%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.8%","±0.1","16.2%","±0.1","15.3%","±0.1"
"    15 to 17 years","4.8%","±0.1","4.9%","±0.1","4.6%","±0.1"
"    18 to 24 years","10.2%","±0.1","10.7%","±0.1","9.8%","±0.1"
"    15 to 44 years","41.4%","±0.1","42.3%","±0.1","40.6%","±0.1"
"    16 years and over","75.3%","±0.1","74.6%","±0.1","75.9%","±0.1"
"    18 years and over","72.1%","*****","71.3%","±0.1","72.9%","±0.1"
"    60 years and over","16.7%","±0.1","15.2%","±0.2","18.3%","±0.2"
"    62 years and over","14.5%","±0.1","13.1%","±0.2","15.9%","±0.2"
"    65 years and over","11.7%","*****","10.4%","±0.1","13.1%","±0.1"
"    75 years and over","4.9%","±0.1","4.0%","±0.1","5.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.7","±0.2","32.7","±0.1","34.8","±0.1"
"    Sex ratio (males per 100 females)","99.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.7","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","19.5","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","46.2","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
