"Label (Grouping)","San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Total!!Margin of Error","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Male!!Margin of Error","San Luis Obispo County, California!!Female!!Estimate","San Luis Obispo County, California!!Female!!Margin of Error"
"Total population","282,887","*****","142,925","±884","139,962","±884"
"AGE","","","","","",""
"    Under 5 years","4.6%","±0.2","4.7%","±0.3","4.6%","±0.2"
"    5 to 9 years","4.9%","±0.6","5.1%","±0.8","4.6%","±0.9"
"    10 to 14 years","5.4%","±0.5","5.1%","±0.7","5.7%","±0.7"
"    15 to 19 years","8.0%","±0.9","8.2%","±1.7","7.8%","±0.4"
"    20 to 24 years","10.4%","±0.9","11.2%","±1.7","9.5%","±0.3"
"    25 to 29 years","5.8%","±0.3","6.3%","±0.5","5.3%","±0.3"
"    30 to 34 years","5.7%","±0.2","6.0%","±0.3","5.3%","±0.2"
"    35 to 39 years","6.3%","±0.5","6.3%","±0.7","6.3%","±0.8"
"    40 to 44 years","4.3%","±0.5","4.6%","±0.7","4.0%","±0.7"
"    45 to 49 years","5.3%","±0.1","5.4%","±0.2","5.3%","±0.2"
"    50 to 54 years","6.3%","±0.2","6.4%","±0.4","6.2%","±0.2"
"    55 to 59 years","6.8%","±0.6","6.5%","±0.8","7.0%","±0.8"
"    60 to 64 years","7.1%","±0.7","6.5%","±0.8","7.6%","±0.9"
"    65 to 69 years","7.6%","±0.5","7.5%","±0.7","7.8%","±0.7"
"    70 to 74 years","3.9%","±0.5","3.6%","±0.6","4.2%","±0.7"
"    75 to 79 years","3.3%","±0.4","2.8%","±0.6","3.8%","±0.7"
"    80 to 84 years","1.9%","±0.3","1.8%","±0.5","2.1%","±0.6"
"    85 years and over","2.4%","±0.3","2.0%","±0.4","2.8%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.2%","±0.3","10.2%","±0.4","10.3%","±0.4"
"    15 to 17 years","3.0%","±0.2","3.0%","±0.2","3.1%","±0.2"
"    18 to 24 years","15.4%","±0.3","16.5%","±0.4","14.2%","±0.4"
"    15 to 44 years","40.5%","±0.3","42.6%","±0.4","38.3%","±0.4"
"    16 years and over","84.0%","±0.3","84.1%","±0.5","83.9%","±0.6"
"    18 years and over","82.1%","±0.2","82.1%","±0.3","82.1%","±0.4"
"    60 years and over","26.2%","±0.6","24.2%","±0.9","28.3%","±0.8"
"    62 years and over","23.4%","±0.6","21.4%","±0.8","25.4%","±0.9"
"    65 years and over","19.1%","±0.2","17.6%","±0.4","20.7%","±0.3"
"    75 years and over","7.6%","±0.3","6.6%","±0.4","8.7%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.8","±0.4","37.6","±0.8","41.1","±1.0"
"    Sex ratio (males per 100 females)","102.1","±1.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","58.9","±0.8","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","30.4","±0.5","(X)","(X)","(X)","(X)"
"    Child dependency ratio","28.5","±0.5","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
