"Label (Grouping)","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Total!!Margin of Error","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Male!!Margin of Error","San Mateo County, California!!Female!!Estimate","San Mateo County, California!!Female!!Margin of Error"
"Total population","754,748","*****","371,545","±106","383,203","±106"
"AGE","","","","","",""
"    Under 5 years","6.1%","*****","6.3%","±0.1","5.8%","±0.1"
"    5 to 9 years","6.2%","±0.1","6.5%","±0.2","5.9%","±0.2"
"    10 to 14 years","5.8%","±0.1","5.9%","±0.2","5.7%","±0.2"
"    15 to 19 years","5.4%","±0.1","5.6%","±0.1","5.1%","±0.1"
"    20 to 24 years","5.6%","±0.1","5.9%","±0.1","5.3%","±0.1"
"    25 to 29 years","6.8%","±0.1","7.2%","±0.1","6.4%","±0.1"
"    30 to 34 years","7.4%","±0.1","7.6%","±0.1","7.2%","±0.1"
"    35 to 39 years","7.5%","±0.2","7.6%","±0.2","7.3%","±0.2"
"    40 to 44 years","7.1%","±0.2","7.2%","±0.2","7.0%","±0.2"
"    45 to 49 years","7.3%","±0.1","7.3%","±0.1","7.2%","±0.1"
"    50 to 54 years","7.4%","*****","7.3%","±0.1","7.4%","±0.1"
"    55 to 59 years","6.9%","±0.1","6.7%","±0.2","7.0%","±0.2"
"    60 to 64 years","6.0%","±0.1","5.9%","±0.2","6.1%","±0.2"
"    65 to 69 years","4.6%","±0.1","4.4%","±0.1","4.8%","±0.1"
"    70 to 74 years","3.4%","±0.1","3.0%","±0.1","3.8%","±0.1"
"    75 to 79 years","2.6%","±0.1","2.3%","±0.1","2.8%","±0.1"
"    80 to 84 years","1.8%","±0.1","1.5%","±0.1","2.1%","±0.1"
"    85 years and over","2.2%","±0.1","1.5%","±0.1","2.8%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.0%","±0.1","12.5%","±0.1","11.6%","±0.1"
"    15 to 17 years","3.4%","±0.1","3.6%","±0.1","3.3%","±0.1"
"    18 to 24 years","7.5%","±0.1","7.9%","±0.1","7.2%","±0.1"
"    15 to 44 years","39.7%","±0.1","41.1%","±0.1","38.4%","±0.1"
"    16 years and over","80.7%","±0.1","80.0%","±0.1","81.4%","±0.1"
"    18 years and over","78.5%","*****","77.7%","±0.1","79.3%","±0.1"
"    60 years and over","20.7%","±0.1","18.8%","±0.2","22.5%","±0.2"
"    62 years and over","18.1%","±0.1","16.3%","±0.2","19.8%","±0.1"
"    65 years and over","14.6%","*****","12.9%","±0.1","16.4%","±0.1"
"    75 years and over","6.6%","±0.1","5.4%","±0.1","7.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.5","±0.2","38.1","±0.2","40.8","±0.2"
"    Sex ratio (males per 100 females)","97.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.7","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","22.9","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","33.7","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
