"Label (Grouping)","Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Total!!Margin of Error","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Male!!Margin of Error","Santa Barbara County, California!!Female!!Estimate","Santa Barbara County, California!!Female!!Margin of Error"
"Total population","446,170","*****","223,041","±411","223,129","±411"
"AGE","","","","","",""
"    Under 5 years","6.5%","±0.1","6.7%","±0.1","6.2%","±0.1"
"    5 to 9 years","6.5%","±0.5","7.0%","±0.7","6.1%","±0.7"
"    10 to 14 years","5.7%","±0.5","5.6%","±0.6","5.9%","±0.8"
"    15 to 19 years","8.3%","±0.2","8.0%","±0.3","8.5%","±0.3"
"    20 to 24 years","11.1%","±0.3","11.6%","±0.3","10.6%","±0.3"
"    25 to 29 years","7.0%","±0.1","7.3%","±0.2","6.7%","±0.2"
"    30 to 34 years","6.3%","±0.1","6.7%","±0.1","5.9%","±0.2"
"    35 to 39 years","6.0%","±0.6","6.1%","±0.7","5.8%","±0.8"
"    40 to 44 years","5.4%","±0.6","5.6%","±0.7","5.2%","±0.7"
"    45 to 49 years","5.5%","±0.1","5.6%","±0.2","5.4%","±0.1"
"    50 to 54 years","5.7%","±0.1","5.7%","±0.2","5.7%","±0.1"
"    55 to 59 years","5.8%","±0.4","5.9%","±0.5","5.6%","±0.6"
"    60 to 64 years","5.6%","±0.4","5.1%","±0.5","6.0%","±0.6"
"    65 to 69 years","4.8%","±0.3","4.8%","±0.4","4.8%","±0.4"
"    70 to 74 years","3.2%","±0.3","2.8%","±0.4","3.7%","±0.5"
"    75 to 79 years","2.4%","±0.3","2.1%","±0.3","2.7%","±0.4"
"    80 to 84 years","2.1%","±0.2","1.9%","±0.3","2.4%","±0.4"
"    85 years and over","2.1%","±0.3","1.5%","±0.3","2.6%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.3%","±0.1","12.5%","±0.1","12.0%","±0.1"
"    15 to 17 years","3.7%","±0.1","3.6%","±0.1","3.8%","±0.2"
"    18 to 24 years","15.7%","±0.2","16.1%","±0.2","15.3%","±0.2"
"    15 to 44 years","44.1%","±0.2","45.4%","±0.2","42.8%","±0.2"
"    16 years and over","79.9%","±0.2","79.3%","±0.4","80.5%","±0.3"
"    18 years and over","77.6%","±0.1","77.2%","±0.2","78.0%","±0.1"
"    60 years and over","20.2%","±0.4","18.1%","±0.5","22.2%","±0.6"
"    62 years and over","17.8%","±0.4","15.8%","±0.4","19.7%","±0.5"
"    65 years and over","14.6%","±0.1","13.0%","±0.1","16.2%","±0.1"
"    75 years and over","6.6%","±0.1","5.5%","±0.2","7.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.8","±0.2","32.8","±0.3","35.0","±0.2"
"    Sex ratio (males per 100 females)","100.0","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","58.9","±0.2","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","23.2","±0.2","(X)","(X)","(X)","(X)"
"    Child dependency ratio","35.7","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
