"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error"
"Total population","1,919,402","*****","968,824","±334","950,578","±334"
"AGE","","","","","",""
"    Under 5 years","6.2%","±0.1","6.3%","±0.1","6.0%","±0.1"
"    5 to 9 years","6.4%","±0.2","6.6%","±0.3","6.2%","±0.3"
"    10 to 14 years","6.3%","±0.2","6.3%","±0.3","6.3%","±0.3"
"    15 to 19 years","5.9%","±0.1","6.0%","±0.1","5.8%","±0.1"
"    20 to 24 years","6.3%","±0.1","6.6%","±0.1","6.0%","±0.1"
"    25 to 29 years","7.9%","±0.1","8.3%","±0.1","7.4%","±0.1"
"    30 to 34 years","7.9%","±0.1","8.3%","±0.1","7.6%","±0.1"
"    35 to 39 years","7.3%","±0.2","7.5%","±0.3","7.1%","±0.3"
"    40 to 44 years","7.2%","±0.2","7.2%","±0.3","7.3%","±0.3"
"    45 to 49 years","7.2%","±0.1","7.2%","±0.1","7.2%","±0.1"
"    50 to 54 years","6.9%","±0.1","7.0%","±0.1","6.9%","±0.1"
"    55 to 59 years","6.3%","±0.2","6.2%","±0.2","6.4%","±0.3"
"    60 to 64 years","5.3%","±0.2","5.3%","±0.2","5.4%","±0.3"
"    65 to 69 years","4.1%","±0.2","3.9%","±0.2","4.2%","±0.2"
"    70 to 74 years","3.1%","±0.2","2.7%","±0.2","3.6%","±0.2"
"    75 to 79 years","2.1%","±0.1","1.9%","±0.2","2.4%","±0.2"
"    80 to 84 years","1.6%","±0.1","1.5%","±0.2","1.8%","±0.2"
"    85 years and over","1.8%","±0.1","1.2%","±0.1","2.4%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.8%","±0.1","13.0%","±0.1","12.5%","±0.1"
"    15 to 17 years","3.7%","±0.1","3.7%","±0.1","3.6%","±0.1"
"    18 to 24 years","8.6%","±0.1","8.9%","±0.1","8.3%","±0.1"
"    15 to 44 years","42.6%","±0.1","44.0%","±0.1","41.2%","±0.1"
"    16 years and over","79.9%","±0.1","79.7%","±0.2","80.1%","±0.1"
"    18 years and over","77.4%","*****","77.1%","±0.1","77.8%","±0.1"
"    60 years and over","18.1%","±0.2","16.5%","±0.2","19.8%","±0.3"
"    62 years and over","15.7%","±0.2","14.2%","±0.2","17.3%","±0.2"
"    65 years and over","12.8%","±0.1","11.3%","±0.1","14.4%","±0.1"
"    75 years and over","5.6%","±0.1","4.6%","±0.1","6.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.0","±0.2","35.9","±0.2","38.1","±0.2"
"    Sex ratio (males per 100 females)","101.9","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","54.7","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","19.8","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","34.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
