"Label (Grouping)","Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Total!!Margin of Error","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Male!!Margin of Error","Santa Cruz County, California!!Female!!Estimate","Santa Cruz County, California!!Female!!Margin of Error"
"Total population","262,340","*****","130,813","±130","131,527","±130"
"AGE","","","","","",""
"    Under 5 years","5.7%","±0.1","5.9%","±0.1","5.6%","±0.1"
"    5 to 9 years","5.6%","±0.2","5.7%","±0.4","5.6%","±0.3"
"    10 to 14 years","5.9%","±0.2","6.2%","±0.4","5.6%","±0.3"
"    15 to 19 years","8.5%","±0.1","8.5%","±0.1","8.4%","±0.1"
"    20 to 24 years","9.8%","±0.1","10.2%","±0.1","9.3%","±0.1"
"    25 to 29 years","6.3%","±0.1","6.6%","±0.1","6.1%","±0.1"
"    30 to 34 years","6.1%","±0.1","6.2%","±0.1","6.0%","±0.1"
"    35 to 39 years","5.8%","±0.3","5.7%","±0.4","5.9%","±0.3"
"    40 to 44 years","6.8%","±0.3","7.1%","±0.4","6.5%","±0.4"
"    45 to 49 years","7.0%","±0.1","7.0%","±0.1","7.1%","±0.1"
"    50 to 54 years","7.6%","±0.1","7.4%","±0.1","7.7%","±0.1"
"    55 to 59 years","7.6%","±0.2","7.5%","±0.3","7.7%","±0.3"
"    60 to 64 years","6.0%","±0.2","6.1%","±0.3","5.9%","±0.3"
"    65 to 69 years","3.7%","±0.2","3.6%","±0.2","3.9%","±0.2"
"    70 to 74 years","2.4%","±0.2","2.3%","±0.2","2.5%","±0.2"
"    75 to 79 years","1.8%","±0.1","1.6%","±0.2","2.0%","±0.2"
"    80 to 84 years","1.7%","±0.1","1.3%","±0.2","2.0%","±0.2"
"    85 years and over","1.7%","±0.2","1.1%","±0.2","2.3%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.5%","±0.1","11.9%","±0.1","11.1%","±0.1"
"    15 to 17 years","3.8%","±0.1","3.9%","±0.1","3.6%","±0.1"
"    18 to 24 years","14.4%","±0.1","14.8%","±0.1","14.0%","±0.1"
"    15 to 44 years","43.3%","±0.1","44.4%","±0.1","42.2%","±0.1"
"    16 years and over","81.6%","±0.1","81.1%","±0.2","82.1%","±0.2"
"    18 years and over","79.0%","*****","78.3%","±0.1","79.6%","±0.1"
"    60 years and over","17.3%","±0.2","16.0%","±0.3","18.7%","±0.3"
"    62 years and over","14.4%","±0.2","12.9%","±0.3","15.9%","±0.3"
"    65 years and over","11.3%","±0.1","9.9%","±0.1","12.8%","±0.1"
"    75 years and over","5.1%","±0.1","3.9%","±0.1","6.3%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.9","±0.2","35.7","±0.2","38.2","±0.3"
"    Sex ratio (males per 100 females)","99.5","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","47.8","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","16.7","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.0%","(X)","(X)","(X)","(X)","(X)"
