"Label (Grouping)","Shasta County, California!!Total!!Estimate","Shasta County, California!!Total!!Margin of Error","Shasta County, California!!Male!!Estimate","Shasta County, California!!Male!!Margin of Error","Shasta County, California!!Female!!Estimate","Shasta County, California!!Female!!Margin of Error"
"Total population","178,586","*****","88,736","±947","89,850","±947"
"AGE","","","","","",""
"    Under 5 years","5.5%","±0.4","6.1%","±0.9","5.0%","±0.5"
"    5 to 9 years","5.5%","±0.6","5.8%","±0.8","5.2%","±0.7"
"    10 to 14 years","6.3%","±0.6","6.7%","±1.0","5.8%","±0.7"
"    15 to 19 years","6.9%","±0.5","7.6%","±1.0","6.2%","±0.6"
"    20 to 24 years","6.3%","±0.4","6.4%","±0.6","6.2%","±0.6"
"    25 to 29 years","5.9%","±0.4","6.2%","±0.5","5.6%","±0.6"
"    30 to 34 years","5.2%","±0.4","4.8%","±0.3","5.5%","±0.7"
"    35 to 39 years","5.1%","±0.8","5.6%","±1.1","4.7%","±0.9"
"    40 to 44 years","6.2%","±0.8","6.6%","±1.2","5.9%","±1.0"
"    45 to 49 years","6.6%","±0.4","6.2%","±0.3","7.0%","±0.7"
"    50 to 54 years","7.7%","±0.5","7.3%","±0.4","8.2%","±0.8"
"    55 to 59 years","7.4%","±0.7","7.0%","±0.9","7.7%","±0.9"
"    60 to 64 years","7.1%","±0.7","7.1%","±0.8","7.2%","±0.9"
"    65 to 69 years","6.1%","±0.7","6.0%","±0.9","6.1%","±0.9"
"    70 to 74 years","4.3%","±0.6","4.1%","±0.7","4.6%","±0.8"
"    75 to 79 years","2.7%","±0.4","2.9%","±0.5","2.6%","±0.6"
"    80 to 84 years","2.7%","±0.5","2.0%","±0.6","3.4%","±0.8"
"    85 years and over","2.5%","±0.5","1.7%","±0.5","3.3%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.7%","±0.5","12.5%","±0.9","11.0%","±0.3"
"    15 to 17 years","4.7%","±0.4","5.5%","±1.0","3.9%","±0.5"
"    18 to 24 years","8.5%","±0.4","8.5%","±0.5","8.4%","±0.5"
"    15 to 44 years","35.6%","±0.7","37.1%","±1.1","34.1%","±0.8"
"    16 years and over","80.9%","±0.4","79.6%","±0.6","82.2%","±0.7"
"    18 years and over","78.0%","±0.3","75.9%","±0.5","80.1%","±0.6"
"    60 years and over","25.4%","±0.7","23.7%","±0.9","27.1%","±0.9"
"    62 years and over","22.4%","±0.6","21.0%","±1.0","23.7%","±0.8"
"    65 years and over","18.3%","±0.2","16.6%","±0.5","19.9%","±0.4"
"    75 years and over","7.9%","±0.2","6.6%","±0.3","9.2%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","42.7","±0.6","40.8","±1.1","45.0","±0.7"
"    Sex ratio (males per 100 females)","98.8","±2.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","67.4","±1.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","30.6","±0.6","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.8","±0.8","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.8%","(X)","(X)","(X)","(X)","(X)"
