"Label (Grouping)","Sierra County, California!!Total!!Estimate","Sierra County, California!!Total!!Margin of Error","Sierra County, California!!Male!!Estimate","Sierra County, California!!Male!!Margin of Error","Sierra County, California!!Female!!Estimate","Sierra County, California!!Female!!Margin of Error"
"Total population","2,931","±191","1,449","±126","1,482","±92"
"AGE","","","","","",""
"    Under 5 years","3.5%","±0.6","2.6%","±2.0","4.5%","±2.1"
"    5 to 9 years","5.3%","±1.8","5.5%","±2.5","5.0%","±2.1"
"    10 to 14 years","4.4%","±1.5","5.0%","±2.3","3.9%","±2.2"
"    15 to 19 years","3.4%","±1.9","4.5%","±3.1","2.3%","±2.2"
"    20 to 24 years","2.2%","±1.4","1.8%","±2.1","2.6%","±2.1"
"    25 to 29 years","2.6%","±1.8","3.2%","±2.5","2.1%","±2.2"
"    30 to 34 years","3.9%","±1.2","4.0%","±2.2","3.8%","±1.1"
"    35 to 39 years","6.2%","±2.2","5.5%","±2.3","6.9%","±3.8"
"    40 to 44 years","4.8%","±2.5","2.8%","±2.4","6.8%","±4.6"
"    45 to 49 years","4.9%","±2.4","7.0%","±3.8","2.8%","±2.5"
"    50 to 54 years","8.2%","±2.2","8.6%","±3.8","7.9%","±1.6"
"    55 to 59 years","16.1%","±3.1","13.0%","±3.4","19.2%","±5.1"
"    60 to 64 years","8.4%","±3.0","10.4%","±3.9","6.3%","±4.2"
"    65 to 69 years","10.7%","±2.2","11.4%","±3.6","10.1%","±2.5"
"    70 to 74 years","5.9%","±2.2","6.4%","±3.2","5.4%","±2.4"
"    75 to 79 years","3.0%","±1.7","3.2%","±2.6","2.8%","±2.5"
"    80 to 84 years","3.3%","±1.6","1.5%","±2.3","5.0%","±2.6"
"    85 years and over","3.2%","±1.9","3.7%","±3.1","2.6%","±2.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","9.7%","±1.5","10.5%","±2.4","8.9%","±1.7"
"    15 to 17 years","1.3%","±1.0","2.1%","±1.8","0.5%","±0.8"
"    18 to 24 years","4.3%","±1.9","4.1%","±3.3","4.4%","±2.4"
"    15 to 44 years","23.1%","±2.8","21.7%","±4.3","24.5%","±3.1"
"    16 years and over","86.6%","±1.8","87.0%","±3.0","86.2%","±2.9"
"    18 years and over","85.5%","±1.9","84.8%","±3.2","86.2%","±2.9"
"    60 years and over","34.4%","±3.4","36.7%","±4.2","32.2%","±4.8"
"    62 years and over","32.4%","±3.3","33.9%","±3.7","31.0%","±4.6"
"    65 years and over","26.1%","±2.6","26.3%","±3.6","25.8%","±2.6"
"    75 years and over","9.5%","±1.6","8.5%","±2.9","10.4%","±1.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","55.2","±1.5","54.9","±1.7","55.7","±3.9"
"    Sex ratio (males per 100 females)","97.8","±7.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.3","±7.0","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","43.9","±5.7","(X)","(X)","(X)","(X)"
"    Child dependency ratio","24.4","±3.7","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.4%","(X)","(X)","(X)","(X)","(X)"
