"Label (Grouping)","Siskiyou County, California!!Total!!Estimate","Siskiyou County, California!!Total!!Margin of Error","Siskiyou County, California!!Male!!Estimate","Siskiyou County, California!!Male!!Margin of Error","Siskiyou County, California!!Female!!Estimate","Siskiyou County, California!!Female!!Margin of Error"
"Total population","44,673","*****","22,262","±68","22,411","±68"
"AGE","","","","","",""
"    Under 5 years","5.3%","±0.1","5.7%","±0.1","5.0%","±0.1"
"    5 to 9 years","5.9%","±0.5","6.2%","±0.7","5.6%","±0.7"
"    10 to 14 years","5.6%","±0.5","5.5%","±0.6","5.6%","±0.7"
"    15 to 19 years","6.2%","±0.2","6.9%","±0.4","5.5%","±0.1"
"    20 to 24 years","4.9%","±0.2","5.1%","±0.4","4.7%","±0.2"
"    25 to 29 years","4.9%","±0.2","5.1%","±0.3","4.7%","±0.2"
"    30 to 34 years","4.6%","±0.2","4.8%","±0.3","4.4%","±0.2"
"    35 to 39 years","5.0%","±0.5","5.1%","±0.6","4.9%","±0.6"
"    40 to 44 years","5.2%","±0.5","5.0%","±0.6","5.4%","±0.5"
"    45 to 49 years","6.7%","±0.1","6.6%","±0.1","6.8%","±0.1"
"    50 to 54 years","8.3%","±0.1","7.9%","±0.2","8.7%","±0.1"
"    55 to 59 years","8.7%","±0.5","8.8%","±0.7","8.6%","±0.8"
"    60 to 64 years","8.8%","±0.5","8.3%","±0.7","9.2%","±0.8"
"    65 to 69 years","6.3%","±0.4","6.9%","±0.6","5.7%","±0.5"
"    70 to 74 years","5.0%","±0.4","4.8%","±0.6","5.3%","±0.5"
"    75 to 79 years","3.5%","±0.4","3.2%","±0.5","3.8%","±0.6"
"    80 to 84 years","2.7%","±0.3","2.4%","±0.4","3.0%","±0.5"
"    85 years and over","2.4%","±0.3","1.8%","±0.4","3.0%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.5%","±0.1","11.7%","±0.2","11.2%","±0.2"
"    15 to 17 years","3.8%","±0.1","4.1%","±0.1","3.5%","±0.1"
"    18 to 24 years","7.3%","±0.2","7.9%","±0.4","6.7%","±0.2"
"    15 to 44 years","30.8%","±0.1","32.0%","±0.2","29.6%","±0.2"
"    16 years and over","82.0%","±0.2","81.5%","±0.4","82.5%","±0.4"
"    18 years and over","79.4%","±0.1","78.5%","±0.2","80.3%","±0.2"
"    60 years and over","28.7%","±0.5","27.4%","±0.7","30.0%","±0.7"
"    62 years and over","25.0%","±0.4","23.9%","±0.7","26.0%","±0.7"
"    65 years and over","20.0%","±0.1","19.1%","±0.2","20.8%","±0.2"
"    75 years and over","8.6%","±0.2","7.4%","±0.2","9.9%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","47.0","±0.3","45.4","±0.2","48.5","±0.4"
"    Sex ratio (males per 100 females)","99.3","±0.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.2","±0.3","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","33.6","±0.2","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.6","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)"
