"Label (Grouping)","Solano County, California!!Total!!Estimate","Solano County, California!!Total!!Margin of Error","Solano County, California!!Male!!Estimate","Solano County, California!!Male!!Margin of Error","Solano County, California!!Female!!Estimate","Solano County, California!!Female!!Margin of Error"
"Total population","429,596","*****","213,518","±94","216,078","±94"
"AGE","","","","","",""
"    Under 5 years","6.2%","±0.1","6.3%","±0.1","6.0%","±0.1"
"    5 to 9 years","6.4%","±0.2","6.3%","±0.2","6.5%","±0.3"
"    10 to 14 years","6.5%","±0.2","6.9%","±0.2","6.0%","±0.3"
"    15 to 19 years","6.4%","±0.1","6.7%","±0.1","6.2%","±0.1"
"    20 to 24 years","7.2%","±0.1","7.7%","±0.1","6.7%","±0.1"
"    25 to 29 years","7.3%","±0.1","7.5%","±0.1","7.0%","±0.1"
"    30 to 34 years","6.9%","±0.1","7.1%","±0.1","6.7%","±0.1"
"    35 to 39 years","6.3%","±0.2","6.4%","±0.3","6.2%","±0.2"
"    40 to 44 years","6.1%","±0.2","6.1%","±0.3","6.1%","±0.2"
"    45 to 49 years","6.7%","±0.1","6.7%","±0.1","6.6%","±0.1"
"    50 to 54 years","7.3%","±0.1","7.3%","±0.1","7.4%","±0.1"
"    55 to 59 years","6.9%","±0.2","6.7%","±0.2","7.0%","±0.2"
"    60 to 64 years","6.4%","±0.2","6.1%","±0.2","6.7%","±0.2"
"    65 to 69 years","5.0%","±0.1","4.6%","±0.2","5.3%","±0.2"
"    70 to 74 years","3.1%","±0.1","3.0%","±0.2","3.3%","±0.2"
"    75 to 79 years","2.3%","±0.1","2.1%","±0.1","2.6%","±0.2"
"    80 to 84 years","1.5%","±0.1","1.3%","±0.1","1.8%","±0.1"
"    85 years and over","1.6%","±0.1","1.1%","±0.1","2.1%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.9%","±0.1","13.2%","±0.1","12.5%","±0.1"
"    15 to 17 years","4.0%","±0.1","4.0%","±0.1","3.9%","±0.1"
"    18 to 24 years","9.7%","±0.1","10.4%","±0.1","8.9%","±0.1"
"    15 to 44 years","40.1%","±0.1","41.6%","±0.1","38.7%","±0.1"
"    16 years and over","79.7%","±0.1","79.2%","±0.2","80.1%","±0.1"
"    18 years and over","77.0%","*****","76.4%","±0.1","77.6%","±0.1"
"    60 years and over","19.9%","±0.2","18.1%","±0.2","21.7%","±0.2"
"    62 years and over","17.3%","±0.2","15.6%","±0.2","18.9%","±0.2"
"    65 years and over","13.6%","*****","12.0%","±0.1","15.1%","±0.1"
"    75 years and over","5.5%","±0.1","4.5%","±0.1","6.5%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.5","±0.2","36.1","±0.1","39.0","±0.2"
"    Sex ratio (males per 100 females)","98.8","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","57.7","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","21.4","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","36.3","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
