"Label (Grouping)","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Total!!Margin of Error","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Male!!Margin of Error","Sonoma County, California!!Female!!Estimate","Sonoma County, California!!Female!!Margin of Error"
"Total population","497,776","*****","243,919","±109","253,857","±109"
"AGE","","","","","",""
"    Under 5 years","5.3%","±0.1","5.5%","±0.1","5.1%","±0.1"
"    5 to 9 years","5.8%","±0.2","6.2%","±0.3","5.5%","±0.2"
"    10 to 14 years","5.8%","±0.2","6.0%","±0.3","5.7%","±0.2"
"    15 to 19 years","6.2%","±0.1","6.3%","±0.1","6.0%","±0.1"
"    20 to 24 years","6.4%","±0.1","6.7%","±0.1","6.0%","±0.1"
"    25 to 29 years","6.5%","±0.1","6.9%","±0.1","6.1%","±0.1"
"    30 to 34 years","6.5%","±0.1","6.7%","±0.1","6.3%","±0.1"
"    35 to 39 years","6.0%","±0.2","6.2%","±0.2","5.7%","±0.2"
"    40 to 44 years","6.3%","±0.2","6.4%","±0.2","6.1%","±0.2"
"    45 to 49 years","6.5%","±0.1","6.6%","±0.1","6.4%","±0.1"
"    50 to 54 years","7.3%","±0.1","7.2%","±0.1","7.5%","±0.1"
"    55 to 59 years","7.3%","±0.2","6.9%","±0.2","7.7%","±0.2"
"    60 to 64 years","7.3%","±0.2","7.3%","±0.2","7.4%","±0.2"
"    65 to 69 years","6.1%","±0.1","5.6%","±0.2","6.5%","±0.2"
"    70 to 74 years","3.9%","±0.1","3.9%","±0.2","3.9%","±0.2"
"    75 to 79 years","2.6%","±0.1","2.3%","±0.1","2.9%","±0.2"
"    80 to 84 years","1.9%","±0.1","1.6%","±0.1","2.1%","±0.2"
"    85 years and over","2.3%","±0.1","1.6%","±0.2","3.0%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.7%","±0.1","12.2%","±0.1","11.2%","±0.1"
"    15 to 17 years","3.6%","±0.1","3.8%","±0.1","3.5%","±0.1"
"    18 to 24 years","8.9%","±0.1","9.3%","±0.1","8.6%","±0.1"
"    15 to 44 years","37.7%","±0.1","39.2%","±0.1","36.3%","±0.1"
"    16 years and over","81.7%","±0.1","80.9%","±0.1","82.5%","±0.1"
"    18 years and over","79.4%","*****","78.5%","±0.1","80.2%","±0.1"
"    60 years and over","24.1%","±0.2","22.3%","±0.2","25.8%","±0.2"
"    62 years and over","20.9%","±0.2","19.2%","±0.2","22.7%","±0.2"
"    65 years and over","16.7%","±0.1","15.0%","±0.1","18.4%","±0.1"
"    75 years and over","6.8%","±0.1","5.5%","±0.1","8.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","41.2","±0.2","39.5","±0.2","43.0","±0.2"
"    Sex ratio (males per 100 females)","96.1","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.7","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","26.7","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","32.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"
