"Label (Grouping)","Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Total!!Margin of Error","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Male!!Margin of Error","Stanislaus County, California!!Female!!Estimate","Stanislaus County, California!!Female!!Margin of Error"
"Total population","521,726","*****","257,193","±851","264,533","±851"
"AGE","","","","","",""
"    Under 5 years","7.6%","±0.2","7.7%","±0.1","7.4%","±0.3"
"    5 to 9 years","7.2%","±0.5","7.0%","±0.7","7.3%","±0.6"
"    10 to 14 years","8.4%","±0.5","9.2%","±0.8","7.6%","±0.6"
"    15 to 19 years","7.9%","±0.1","8.3%","±0.2","7.5%","±0.2"
"    20 to 24 years","7.4%","±0.2","7.6%","±0.3","7.3%","±0.2"
"    25 to 29 years","7.0%","±0.2","7.2%","±0.3","6.8%","±0.2"
"    30 to 34 years","6.6%","±0.1","6.7%","±0.1","6.5%","±0.1"
"    35 to 39 years","5.9%","±0.4","5.8%","±0.6","6.0%","±0.6"
"    40 to 44 years","6.8%","±0.5","6.9%","±0.7","6.6%","±0.6"
"    45 to 49 years","6.8%","±0.2","6.7%","±0.2","6.9%","±0.3"
"    50 to 54 years","6.6%","±0.1","6.6%","±0.1","6.6%","±0.2"
"    55 to 59 years","5.5%","±0.4","5.6%","±0.5","5.4%","±0.6"
"    60 to 64 years","5.1%","±0.4","4.8%","±0.5","5.4%","±0.6"
"    65 to 69 years","3.7%","±0.3","3.4%","±0.4","3.9%","±0.4"
"    70 to 74 years","2.7%","±0.3","2.5%","±0.4","3.0%","±0.3"
"    75 to 79 years","1.8%","±0.2","1.5%","±0.3","2.1%","±0.4"
"    80 to 84 years","1.5%","±0.2","1.1%","±0.2","1.9%","±0.3"
"    85 years and over","1.6%","±0.2","1.4%","±0.3","1.8%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.6%","±0.1","16.2%","±0.2","14.9%","±0.2"
"    15 to 17 years","4.9%","±0.1","5.0%","±0.1","4.7%","±0.1"
"    18 to 24 years","10.4%","±0.2","10.8%","±0.3","10.1%","±0.2"
"    15 to 44 years","41.6%","±0.2","42.5%","±0.2","40.6%","±0.3"
"    16 years and over","75.5%","±0.2","74.8%","±0.3","76.1%","±0.4"
"    18 years and over","72.0%","±0.1","71.1%","±0.2","73.0%","±0.2"
"    60 years and over","16.4%","±0.4","14.7%","±0.5","18.1%","±0.6"
"    62 years and over","14.4%","±0.3","12.9%","±0.5","15.9%","±0.4"
"    65 years and over","11.4%","±0.1","9.9%","±0.1","12.8%","±0.2"
"    75 years and over","5.0%","±0.1","4.0%","±0.1","5.9%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.3","±0.3","32.2","±0.3","34.7","±0.3"
"    Sex ratio (males per 100 females)","97.2","±0.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.8","±0.4","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","18.7","±0.2","(X)","(X)","(X)","(X)"
"        Child dependency ratio","46.1","±0.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.6%","(X)","(X)","(X)","(X)","(X)"
