"Label (Grouping)","Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Total!!Margin of Error","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Male!!Margin of Error","Stanislaus County, California!!Female!!Estimate","Stanislaus County, California!!Female!!Margin of Error"
"Total population","515,115","*****","254,802","±132","260,313","±132"
"AGE","","","","","",""
"    Under 5 years","7.8%","*****","8.0%","±0.1","7.5%","±0.1"
"    5 to 9 years","7.4%","±0.2","7.8%","±0.3","7.1%","±0.3"
"    10 to 14 years","8.3%","±0.2","8.5%","±0.3","8.1%","±0.3"
"    15 to 19 years","8.2%","±0.1","8.7%","±0.1","7.8%","±0.1"
"    20 to 24 years","7.3%","±0.1","7.5%","±0.1","7.2%","±0.1"
"    25 to 29 years","7.1%","±0.1","7.2%","±0.1","7.0%","±0.1"
"    30 to 34 years","6.6%","±0.1","6.7%","±0.1","6.5%","±0.1"
"    35 to 39 years","6.4%","±0.2","6.4%","±0.2","6.5%","±0.3"
"    40 to 44 years","6.6%","±0.2","6.7%","±0.3","6.5%","±0.3"
"    45 to 49 years","6.8%","±0.1","6.8%","±0.1","6.9%","±0.1"
"    50 to 54 years","6.5%","±0.1","6.5%","±0.1","6.5%","±0.1"
"    55 to 59 years","5.7%","±0.1","5.5%","±0.2","5.8%","±0.2"
"    60 to 64 years","4.5%","±0.1","4.4%","±0.2","4.6%","±0.2"
"    65 to 69 years","3.3%","±0.1","3.1%","±0.2","3.6%","±0.1"
"    70 to 74 years","2.5%","±0.1","2.3%","±0.2","2.7%","±0.1"
"    75 to 79 years","1.8%","±0.1","1.6%","±0.1","2.0%","±0.2"
"    80 to 84 years","1.6%","±0.1","1.2%","±0.1","1.9%","±0.1"
"    85 years and over","1.5%","±0.1","1.1%","±0.1","2.0%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.7%","*****","16.3%","±0.1","15.2%","±0.1"
"    15 to 17 years","5.1%","*****","5.4%","±0.1","4.8%","±0.1"
"    18 to 24 years","10.5%","±0.1","10.8%","±0.1","10.2%","±0.1"
"    15 to 44 years","42.2%","±0.1","43.1%","±0.1","41.3%","±0.1"
"    16 years and over","74.9%","±0.1","74.0%","±0.2","75.7%","±0.2"
"    18 years and over","71.4%","*****","70.4%","±0.1","72.5%","±0.1"
"    60 years and over","15.3%","±0.1","13.8%","±0.2","16.7%","±0.2"
"    62 years and over","13.4%","±0.1","11.9%","±0.1","14.8%","±0.2"
"    65 years and over","10.8%","±0.1","9.4%","±0.1","12.1%","±0.1"
"    75 years and over","4.9%","±0.1","3.9%","±0.1","5.9%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.8","±0.2","31.7","±0.2","34.0","±0.1"
"    Sex ratio (males per 100 females)","97.9","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.8","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.7","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.1","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
