"Label (Grouping)","Sutter County, California!!Total!!Estimate","Sutter County, California!!Total!!Margin of Error","Sutter County, California!!Male!!Estimate","Sutter County, California!!Male!!Margin of Error","Sutter County, California!!Female!!Estimate","Sutter County, California!!Female!!Margin of Error"
"Total population","94,615","*****","47,074","±67","47,541","±67"
"AGE","","","","","",""
"    Under 5 years","7.5%","±0.1","7.8%","±0.1","7.2%","±0.1"
"    5 to 9 years","8.0%","±0.4","7.3%","±0.7","8.7%","±0.5"
"    10 to 14 years","7.1%","±0.5","8.2%","±0.7","6.0%","±0.5"
"    15 to 19 years","7.7%","±0.1","8.2%","±0.2","7.1%","±0.1"
"    20 to 24 years","6.9%","±0.1","7.3%","±0.2","6.6%","±0.1"
"    25 to 29 years","6.9%","±0.1","6.9%","±0.2","6.8%","±0.1"
"    30 to 34 years","6.5%","±0.1","6.5%","±0.1","6.5%","±0.2"
"    35 to 39 years","6.5%","±0.4","6.7%","±0.6","6.3%","±0.5"
"    40 to 44 years","6.2%","±0.4","6.1%","±0.6","6.3%","±0.5"
"    45 to 49 years","6.8%","±0.1","7.0%","±0.2","6.7%","±0.1"
"    50 to 54 years","6.5%","±0.1","6.5%","±0.1","6.5%","±0.1"
"    55 to 59 years","5.4%","±0.4","5.6%","±0.5","5.2%","±0.5"
"    60 to 64 years","5.2%","±0.4","4.6%","±0.5","5.7%","±0.5"
"    65 to 69 years","3.8%","±0.3","3.5%","±0.4","4.1%","±0.4"
"    70 to 74 years","3.3%","±0.3","3.3%","±0.4","3.2%","±0.4"
"    75 to 79 years","2.4%","±0.2","1.8%","±0.3","3.0%","±0.4"
"    80 to 84 years","1.9%","±0.2","1.9%","±0.3","1.9%","±0.3"
"    85 years and over","1.4%","±0.2","0.8%","±0.2","2.0%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.1%","±0.1","15.5%","±0.1","14.7%","±0.1"
"    15 to 17 years","4.8%","±0.1","5.0%","±0.1","4.5%","±0.1"
"    18 to 24 years","9.8%","±0.1","10.4%","±0.2","9.3%","±0.1"
"    15 to 44 years","40.7%","±0.1","41.6%","±0.2","39.8%","±0.2"
"    16 years and over","76.0%","±0.2","75.2%","±0.4","76.8%","±0.3"
"    18 years and over","72.6%","*****","71.6%","±0.1","73.6%","±0.1"
"    60 years and over","18.0%","±0.4","16.0%","±0.5","20.0%","±0.5"
"    62 years and over","15.9%","±0.3","13.9%","±0.4","17.8%","±0.4"
"    65 years and over","12.8%","±0.1","11.4%","±0.1","14.3%","±0.1"
"    75 years and over","5.7%","±0.1","4.6%","±0.2","6.9%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.5","±0.1","33.2","±0.3","35.6","±0.2"
"    Sex ratio (males per 100 females)","99.0","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","67.3","±0.2","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","21.5","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","45.8","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
