"Label (Grouping)","Tehama County, California!!Total!!Estimate","Tehama County, California!!Total!!Margin of Error","Tehama County, California!!Male!!Estimate","Tehama County, California!!Male!!Margin of Error","Tehama County, California!!Female!!Estimate","Tehama County, California!!Female!!Margin of Error"
"Total population","63,015","*****","31,379","±113","31,636","±113"
"AGE","","","","","",""
"    Under 5 years","6.1%","±0.1","6.5%","±0.2","5.8%","±0.1"
"    5 to 9 years","7.1%","±0.7","8.1%","±0.9","6.2%","±0.8"
"    10 to 14 years","6.6%","±0.6","6.3%","±0.8","7.0%","±0.7"
"    15 to 19 years","6.3%","±0.3","6.1%","±0.5","6.5%","±0.2"
"    20 to 24 years","5.9%","±0.3","6.3%","±0.5","5.4%","±0.1"
"    25 to 29 years","6.0%","±0.2","6.0%","±0.3","6.0%","±0.4"
"    30 to 34 years","5.6%","±0.1","5.9%","±0.3","5.2%","±0.1"
"    35 to 39 years","5.6%","±0.7","5.7%","±1.0","5.4%","±0.8"
"    40 to 44 years","5.8%","±0.7","5.7%","±1.0","5.8%","±0.9"
"    45 to 49 years","6.1%","±0.2","6.0%","±0.2","6.3%","±0.3"
"    50 to 54 years","7.3%","±0.1","7.3%","±0.2","7.3%","±0.2"
"    55 to 59 years","6.8%","±0.6","6.7%","±0.8","6.9%","±0.8"
"    60 to 64 years","6.9%","±0.6","6.5%","±0.7","7.2%","±0.8"
"    65 to 69 years","5.9%","±0.4","5.3%","±0.7","6.5%","±0.5"
"    70 to 74 years","4.6%","±0.4","5.0%","±0.7","4.1%","±0.5"
"    75 to 79 years","3.6%","±0.4","3.3%","±0.5","3.8%","±0.6"
"    80 to 84 years","1.8%","±0.3","1.4%","±0.4","2.2%","±0.4"
"    85 years and over","2.1%","±0.4","1.9%","±0.4","2.2%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.8%","±0.2","14.3%","±0.3","13.2%","±0.2"
"    15 to 17 years","4.2%","±0.2","4.0%","±0.2","4.3%","±0.3"
"    18 to 24 years","8.0%","±0.2","8.4%","±0.3","7.6%","±0.2"
"    15 to 44 years","35.1%","±0.2","35.8%","±0.3","34.4%","±0.3"
"    16 years and over","78.8%","±0.4","77.6%","±0.5","79.9%","±0.4"
"    18 years and over","75.9%","*****","75.2%","±0.2","76.7%","±0.2"
"    60 years and over","24.8%","±0.6","23.4%","±0.8","26.1%","±0.8"
"    62 years and over","22.2%","±0.5","21.4%","±0.8","23.1%","±0.7"
"    65 years and over","17.9%","±0.2","16.9%","±0.3","18.9%","±0.2"
"    75 years and over","7.4%","±0.1","6.6%","±0.2","8.3%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","40.6","±0.5","39.5","±0.5","42.3","±1.1"
"    Sex ratio (males per 100 females)","99.2","±0.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","72.3","±0.5","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","30.8","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","41.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.3%","(X)","(X)","(X)","(X)","(X)"
