"Label (Grouping)","Trinity County, California!!Total!!Estimate","Trinity County, California!!Total!!Margin of Error","Trinity County, California!!Male!!Estimate","Trinity County, California!!Male!!Margin of Error","Trinity County, California!!Female!!Estimate","Trinity County, California!!Female!!Margin of Error"
"Total population","13,180","*****","6,752","±102","6,428","±102"
"AGE","","","","","",""
"    Under 5 years","4.4%","±0.3","4.6%","±0.7","4.2%","±0.3"
"    5 to 9 years","4.6%","±0.8","2.9%","±1.0","6.4%","±1.4"
"    10 to 14 years","5.0%","±0.8","6.0%","±1.1","3.9%","±1.3"
"    15 to 19 years","5.7%","±1.2","6.6%","±1.9","4.8%","±1.3"
"    20 to 24 years","3.0%","±1.1","3.0%","±1.5","3.0%","±1.3"
"    25 to 29 years","3.7%","±0.4","4.1%","±0.8","3.2%","±0.1"
"    30 to 34 years","4.7%","±0.6","4.9%","±0.9","4.4%","±0.6"
"    35 to 39 years","5.8%","±1.2","4.7%","±1.5","6.9%","±1.7"
"    40 to 44 years","5.6%","±1.3","6.0%","±1.6","5.3%","±1.8"
"    45 to 49 years","6.3%","±0.6","6.8%","±0.9","5.8%","±0.5"
"    50 to 54 years","7.5%","±0.3","7.4%","±0.5","7.6%","±0.4"
"    55 to 59 years","9.1%","±1.3","8.3%","±2.0","9.9%","±1.7"
"    60 to 64 years","10.5%","±1.5","10.6%","±2.1","10.4%","±2.1"
"    65 to 69 years","8.9%","±1.0","9.3%","±1.4","8.5%","±1.2"
"    70 to 74 years","5.4%","±1.1","5.8%","±1.4","4.9%","±1.3"
"    75 to 79 years","4.2%","±0.9","4.3%","±1.0","4.1%","±1.4"
"    80 to 84 years","3.0%","±0.9","2.4%","±1.1","3.6%","±1.3"
"    85 years and over","2.6%","±0.9","2.4%","±1.0","2.8%","±1.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","9.6%","±0.7","8.9%","±0.7","10.3%","±1.1"
"    15 to 17 years","3.3%","±0.4","3.2%","±0.6","3.4%","±0.6"
"    18 to 24 years","5.4%","±0.7","6.4%","±1.3","4.4%","±0.3"
"    15 to 44 years","28.5%","±0.6","29.3%","±1.1","27.6%","±0.9"
"    16 years and over","85.5%","±0.7","86.2%","±0.9","84.7%","±1.2"
"    18 years and over","82.7%","±0.5","83.4%","±0.8","82.0%","±0.9"
"    60 years and over","34.6%","±1.4","34.8%","±2.2","34.4%","±1.8"
"    62 years and over","31.0%","±1.4","31.5%","±2.1","30.6%","±1.8"
"    65 years and over","24.1%","±0.6","24.2%","±0.5","24.1%","±1.2"
"    75 years and over","9.8%","±0.8","9.1%","±0.6","10.6%","±1.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","50.6","±0.4","50.3","±0.5","50.9","±0.8"
"    Sex ratio (males per 100 females)","105.0","±3.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","70.7","±1.9","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","41.2","±1.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","29.5","±1.0","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.8%","(X)","(X)","(X)","(X)","(X)"
