"Label (Grouping)","Tulare County, California!!Total!!Estimate","Tulare County, California!!Total!!Margin of Error","Tulare County, California!!Male!!Estimate","Tulare County, California!!Male!!Margin of Error","Tulare County, California!!Female!!Estimate","Tulare County, California!!Female!!Margin of Error"
"Total population","451,977","*****","227,060","±639","224,917","±639"
"AGE","","","","","",""
"    Under 5 years","9.1%","±0.1","9.3%","±0.1","8.8%","±0.1"
"    5 to 9 years","9.2%","±0.4","9.4%","±0.7","9.0%","±0.7"
"    10 to 14 years","8.6%","±0.4","8.8%","±0.7","8.4%","±0.7"
"    15 to 19 years","8.5%","±0.2","9.0%","±0.3","8.1%","±0.2"
"    20 to 24 years","7.6%","±0.1","7.7%","±0.1","7.5%","±0.2"
"    25 to 29 years","7.0%","±0.1","7.1%","±0.1","6.9%","±0.1"
"    30 to 34 years","7.2%","±0.2","7.4%","±0.3","7.0%","±0.2"
"    35 to 39 years","5.9%","±0.4","5.9%","±0.6","5.8%","±0.6"
"    40 to 44 years","6.3%","±0.5","6.4%","±0.7","6.2%","±0.6"
"    45 to 49 years","5.8%","±0.1","5.8%","±0.2","5.8%","±0.2"
"    50 to 54 years","5.6%","±0.1","5.5%","±0.1","5.8%","±0.1"
"    55 to 59 years","5.0%","±0.4","5.0%","±0.5","4.9%","±0.5"
"    60 to 64 years","4.2%","±0.4","3.9%","±0.5","4.5%","±0.6"
"    65 to 69 years","3.2%","±0.3","3.0%","±0.3","3.5%","±0.4"
"    70 to 74 years","2.4%","±0.3","2.3%","±0.3","2.4%","±0.4"
"    75 to 79 years","1.8%","±0.2","1.7%","±0.3","2.0%","±0.3"
"    80 to 84 years","1.2%","±0.2","0.9%","±0.2","1.5%","±0.3"
"    85 years and over","1.3%","±0.2","1.0%","±0.3","1.5%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","17.8%","±0.1","18.2%","±0.2","17.4%","±0.2"
"    15 to 17 years","5.2%","±0.1","5.4%","±0.1","5.1%","±0.2"
"    18 to 24 years","10.9%","±0.2","11.3%","±0.2","10.6%","±0.2"
"    15 to 44 years","42.5%","±0.2","43.4%","±0.3","41.6%","±0.3"
"    16 years and over","71.4%","±0.3","70.7%","±0.5","72.0%","±0.4"
"    18 years and over","67.9%","*****","67.1%","±0.2","68.7%","±0.2"
"    60 years and over","14.1%","±0.4","12.8%","±0.5","15.5%","±0.6"
"    62 years and over","12.4%","±0.4","11.1%","±0.5","13.7%","±0.5"
"    65 years and over","9.9%","±0.1","8.9%","±0.1","11.0%","±0.1"
"    75 years and over","4.3%","±0.1","3.6%","±0.2","5.0%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.0","±0.2","29.2","±0.3","30.7","±0.3"
"    Sex ratio (males per 100 females)","101.0","±0.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","72.5","±0.2","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","17.1","±0.2","(X)","(X)","(X)","(X)"
"        Child dependency ratio","55.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
