"Label (Grouping)","Ventura County, California!!Total!!Estimate","Ventura County, California!!Total!!Margin of Error","Ventura County, California!!Male!!Estimate","Ventura County, California!!Male!!Margin of Error","Ventura County, California!!Female!!Estimate","Ventura County, California!!Female!!Margin of Error"
"Total population","822,794","*****","408,800","±79","413,994","±79"
"AGE","","","","","",""
"    Under 5 years","6.7%","±0.1","6.9%","±0.1","6.6%","±0.1"
"    5 to 9 years","7.0%","±0.2","7.0%","±0.2","7.1%","±0.2"
"    10 to 14 years","7.1%","±0.2","7.6%","±0.2","6.7%","±0.2"
"    15 to 19 years","7.7%","±0.1","8.1%","±0.1","7.4%","±0.1"
"    20 to 24 years","6.9%","±0.1","7.4%","±0.1","6.5%","±0.1"
"    25 to 29 years","6.6%","±0.1","6.9%","±0.1","6.3%","±0.1"
"    30 to 34 years","6.2%","±0.1","6.4%","±0.1","6.1%","±0.1"
"    35 to 39 years","6.5%","±0.2","6.5%","±0.2","6.5%","±0.2"
"    40 to 44 years","7.0%","±0.2","7.0%","±0.2","7.0%","±0.2"
"    45 to 49 years","7.5%","±0.1","7.5%","±0.1","7.6%","±0.1"
"    50 to 54 years","7.4%","±0.1","7.3%","±0.1","7.5%","±0.1"
"    55 to 59 years","6.1%","±0.1","6.0%","±0.2","6.2%","±0.2"
"    60 to 64 years","5.3%","±0.1","5.1%","±0.2","5.4%","±0.1"
"    65 to 69 years","3.8%","±0.1","3.7%","±0.1","4.0%","±0.1"
"    70 to 74 years","2.5%","±0.1","2.3%","±0.1","2.7%","±0.1"
"    75 to 79 years","2.1%","±0.1","1.8%","±0.1","2.4%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.4%","±0.1","2.0%","±0.1"
"    85 years and over","1.7%","±0.1","1.2%","±0.1","2.2%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.2%","±0.1","14.6%","±0.1","13.8%","±0.1"
"    15 to 17 years","4.7%","±0.1","4.9%","±0.1","4.6%","±0.1"
"    18 to 24 years","9.9%","±0.1","10.5%","±0.1","9.3%","±0.1"
"    15 to 44 years","40.9%","±0.1","42.2%","±0.1","39.7%","±0.1"
"    16 years and over","77.5%","±0.1","77.0%","±0.1","78.1%","±0.1"
"    18 years and over","74.4%","*****","73.6%","±0.1","75.1%","±0.1"
"    60 years and over","17.1%","±0.1","15.6%","±0.2","18.6%","±0.2"
"    62 years and over","14.8%","±0.1","13.2%","±0.1","16.3%","±0.2"
"    65 years and over","11.9%","±0.1","10.5%","±0.1","13.3%","±0.1"
"    75 years and over","5.5%","±0.1","4.5%","±0.1","6.5%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.4","±0.1","34.9","±0.1","37.8","±0.2"
"    Sex ratio (males per 100 females)","98.7","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.0","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","19.0","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","41.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.9%","(X)","(X)","(X)","(X)","(X)"
