"Label (Grouping)","Yolo County, California!!Total!!Estimate","Yolo County, California!!Total!!Margin of Error","Yolo County, California!!Male!!Estimate","Yolo County, California!!Male!!Margin of Error","Yolo County, California!!Female!!Estimate","Yolo County, California!!Female!!Margin of Error"
"Total population","200,873","*****","98,020","±124","102,853","±124"
"AGE","","","","","",""
"    Under 5 years","6.2%","±0.1","6.5%","±0.1","5.9%","±0.1"
"    5 to 9 years","6.2%","±0.3","6.6%","±0.4","5.7%","±0.4"
"    10 to 14 years","6.1%","±0.3","6.3%","±0.4","6.0%","±0.4"
"    15 to 19 years","9.6%","±0.1","9.4%","±0.1","9.7%","±0.1"
"    20 to 24 years","14.0%","±0.2","13.8%","±0.3","14.1%","±0.1"
"    25 to 29 years","7.2%","±0.1","7.5%","±0.3","6.9%","±0.1"
"    30 to 34 years","6.6%","±0.1","6.8%","±0.1","6.4%","±0.1"
"    35 to 39 years","6.0%","±0.3","5.9%","±0.4","6.1%","±0.4"
"    40 to 44 years","5.9%","±0.3","6.2%","±0.4","5.6%","±0.4"
"    45 to 49 years","6.2%","±0.1","6.2%","±0.1","6.2%","±0.1"
"    50 to 54 years","6.1%","±0.1","6.0%","±0.1","6.2%","±0.1"
"    55 to 59 years","5.4%","±0.2","5.3%","±0.3","5.5%","±0.3"
"    60 to 64 years","4.6%","±0.2","4.6%","±0.3","4.5%","±0.3"
"    65 to 69 years","3.4%","±0.2","3.1%","±0.3","3.6%","±0.3"
"    70 to 74 years","2.0%","±0.2","1.9%","±0.3","2.1%","±0.2"
"    75 to 79 years","1.8%","±0.1","1.6%","±0.2","1.9%","±0.2"
"    80 to 84 years","1.4%","±0.1","1.2%","±0.2","1.6%","±0.2"
"    85 years and over","1.5%","±0.2","1.0%","±0.2","1.9%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.3%","±0.1","13.0%","±0.1","11.7%","±0.1"
"    15 to 17 years","4.1%","±0.1","4.3%","±0.1","3.9%","±0.1"
"    18 to 24 years","19.5%","±0.1","18.9%","±0.3","20.0%","±0.1"
"    15 to 44 years","49.3%","±0.1","49.6%","±0.1","48.9%","±0.2"
"    16 years and over","80.2%","±0.1","79.4%","±0.2","81.0%","±0.2"
"    18 years and over","77.5%","*****","76.3%","±0.1","78.6%","±0.1"
"    60 years and over","14.5%","±0.2","13.4%","±0.3","15.6%","±0.3"
"    62 years and over","12.5%","±0.2","11.4%","±0.3","13.6%","±0.3"
"    65 years and over","10.0%","±0.1","8.9%","±0.1","11.0%","±0.1"
"    75 years and over","4.6%","±0.1","3.9%","±0.1","5.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.5","±0.1","29.8","±0.2","31.3","±0.2"
"    Sex ratio (males per 100 females)","95.3","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","48.2","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","14.8","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)"
