"Label (Grouping)","Yuba County, California!!Total!!Estimate","Yuba County, California!!Total!!Margin of Error","Yuba County, California!!Male!!Estimate","Yuba County, California!!Male!!Margin of Error","Yuba County, California!!Female!!Estimate","Yuba County, California!!Female!!Margin of Error"
"Total population","75,275","*****","37,967","±817","37,308","±817"
"AGE","","","","","",""
"    Under 5 years","7.6%","±0.4","7.7%","±0.8","7.5%","±0.7"
"    5 to 9 years","8.7%","±1.4","8.6%","±2.1","8.8%","±2.1"
"    10 to 14 years","7.6%","±1.6","8.9%","±2.5","6.3%","±1.7"
"    15 to 19 years","6.3%","±0.9","4.2%","±1.4","8.5%","±2.0"
"    20 to 24 years","7.3%","±1.1","8.9%","±1.7","5.8%","±1.7"
"    25 to 29 years","8.3%","±1.0","8.6%","±1.6","8.0%","±0.9"
"    30 to 34 years","8.0%","±1.1","7.6%","±1.1","8.3%","±1.8"
"    35 to 39 years","6.7%","±1.2","7.6%","±1.5","5.7%","±1.6"
"    40 to 44 years","5.1%","±1.2","5.0%","±1.6","5.1%","±1.6"
"    45 to 49 years","5.4%","±1.0","4.9%","±1.1","6.0%","±1.6"
"    50 to 54 years","6.2%","±0.9","5.9%","±1.1","6.4%","±1.2"
"    55 to 59 years","5.9%","±1.3","5.6%","±1.6","6.3%","±1.6"
"    60 to 64 years","6.1%","±1.6","5.6%","±1.8","6.6%","±1.8"
"    65 to 69 years","5.2%","±0.8","5.2%","±1.2","5.1%","±0.8"
"    70 to 74 years","1.7%","±0.6","2.2%","±0.9","1.2%","±0.7"
"    75 to 79 years","1.4%","±0.6","1.3%","±0.7","1.5%","±0.8"
"    80 to 84 years","1.0%","±0.5","1.1%","±0.7","0.8%","±0.6"
"    85 years and over","1.5%","±0.6","1.0%","±0.7","2.1%","±1.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.3%","±0.7","17.5%","±1.3","15.2%","±1.1"
"    15 to 17 years","4.0%","±0.4","3.1%","±1.3","4.8%","±1.3"
"    18 to 24 years","9.7%","±1.1","9.9%","±1.6","9.5%","±1.3"
"    15 to 44 years","41.7%","±1.3","42.0%","±1.7","41.4%","±1.8"
"    16 years and over","73.8%","±1.0","72.7%","±2.0","75.0%","±1.4"
"    18 years and over","72.1%","±0.5","71.7%","±1.9","72.6%","±1.4"
"    60 years and over","16.9%","±1.3","16.5%","±1.7","17.3%","±1.5"
"    62 years and over","14.4%","±1.1","14.4%","±1.5","14.4%","±1.5"
"    65 years and over","10.8%","±0.7","10.9%","±1.0","10.8%","±1.0"
"    75 years and over","3.9%","±0.4","3.4%","±0.4","4.5%","±0.7"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.4","±0.5","32.2","±0.9","32.6","±0.9"
"    Sex ratio (males per 100 females)","101.8","±4.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","63.1","±2.4","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","17.6","±1.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","45.4","±1.3","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.3%","(X)","(X)","(X)","(X)","(X)"
